"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
166,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W10","0030","Marked","Male","S",24.00,"PB","dark brown back",33.00,18.00,12.00,,,,,,,,,,,
167,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W11","0030","Recap","Male","S",25.00,"SEED",,,,,,,,,,,,,,,
168,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W1","0030","Recap","Male","S",22.00,"SEED",,,,,,,,,,,,,,,
169,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W9","0030","Recap","Male","S",23.00,"SEED",,,,,,,,,,,,,,,
170,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Microtus montanus?","M1","0035","""Marked""","Male","S",38.00,"PB","MAYBE A NATURAL TAG?",,,,,,,,,,,,,,
171,8/5/2011 0:00:00,"Beaver Ponds","Meadow","Microtus montanus?","M6","1000","Marked","Female","R",38.00,"PB","montanus? Deep brown with grey ventrally",43.00,18.00,13.00,,,,,,,,,,,
172,8/6/2011 0:00:00,"Beaver Ponds","Meadow","Microtus montanus?","M40","1100","Marked","Male","S",24.00,"SEED",,,,,,,,,,,,,,,
173,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W10","3000","Marked","Female","R",29.00,"PB",,39.00,17.00,13.00,,,,,,,,,,,
174,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W12","3000","Recap","Female","R",29.00,"PB",,,,,,,,,,,,,,,
175,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus","W7","ss","Collected","Male","NS",9.50,"SEED","dead in trap",28.00,16.00,10.00,"ID based on skull & teeth characteristics, mostly montanus. Dead in trap; no ear tag",,,,,,,,,,
176,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus","W12","tt","Collected","Male","S",33.00,"SEED","dead in trap",,19.00,12.00,"ID verified with external, skull & dentition characteristics, originally noted as M. montanus? Dead in trap; no ear tag",,,,,,,,,,
177,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus","W7","uu","Collected","Male","NS",12.00,"SEED","dead in trap",27.00,16.50,9.00,"ID verified with external, skull & dentition characteristics, originally noted as M. montanus? Dead in trap; no ear tag",,,,,,,,,,
