"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
39,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W29","0300","Recap","Female","R",23.00,"PB",,,,,,,,,,,,,,,
40,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W25","0300","Recap","Female","R",22.00,"PB",,,,,,,,,,,,,,,
41,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W24","0300","Recap","Female","R",24.00,"PB",,,,,,,,,,,,,,,
42,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W24","0300","Recap","Female","R",24.00,"PB",,,,,,,,,,,,,,,
43,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W48","0400","Marked","Female","R",24.00,"SEED",,,,,,,,,,,,,,,
44,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W48","0400","Recap","Female","R",24.00,"PB",,,,,,,,,,,,,,,
45,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W49","0400","Recap","Female","R",26.00,"PB",,,,,,,,,,,,,,,
46,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W45","0400","Recap","Female","R",22.00,"PB",,,,,,,,,,,,,,,
47,8/8/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F32","1001","Marked","Male","S",14.00,"PB",,,,,,,,,,,,,,,
48,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Myodes gapperi","M40","1010","Marked","Male","S",16.00,"SEED",,,,,,,,,,,,,,,
49,8/6/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F54","1200","Marked","Male","NS",19.00,"PB",,,,,,,,,,,,,,,
50,8/7/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F51","1200","Recap","Male","NS",18.00,"SEED",,,,,,,,,,,,,,,
51,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W5","2000","Marked","Male","S",15.00,"PB",,,,,,,,,,,,,,,
52,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W19","2000","Recap","Male","S",16.00,"PB",,,,,,,,,,,,,,,
53,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W36","2000","Recap","Male","S",17.00,"PB",,,,,,,,,,,,,,,
54,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W37","2000","Recap","Male","S",16.00,"SEED",,,,,,,,,,,,,,,
55,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W36","2000","Recap","Male","S",15.00,"PB",,,,,,,,,,,,,,,
56,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W43","2010","Marked","Male","S",17.00,"SEED",,,,,,,,,,,,,,,
57,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F38","2010","Recap","Male","S",17.00,"SEED",,,,,,,,,,,,,,,
58,8/8/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F49","2020","Marked","Male","S",16.00,"PB",,,,,,,,,,,,,,,
59,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F50","2020","Recap","Male","S",15.00,"SEED",,,,,,,,,,,,,,,
60,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W44","2100","Marked","Male","S",15.00,"SEED",,,,,,,,,,,,,,,
61,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W44","2100","Recap","Male","S",13.00,"PB",,,,,,,,,,,,,,,
62,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W46","2100","Recap","Male","S",14.00,"SEED",,,,,,,,,,,,,,,
63,8/7/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F54","2200","Marked","Male","S",16.00,"PB",,,,,,,,,,,,,,,
64,8/8/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F50","2200","Recap","Male","S",14.50,"SEED",,,,,,,,,,,,,,,
65,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F52","2200","Recap","Male","S",15.00,"SEED",,,,,,,,,,,,,,,
66,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W5","2300","Collected","Male","S",15.00,"PB","Moribund, went back and found it dead; collected",,,,,,,,,,,,,,
67,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W13","2400","Marked","Male","S",16.00,"SEED",,,,,,,,,,,,,,,
68,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W14","2400","Recap","Male","S",17.00,"SEED",,,,,,,,,,,,,,,
69,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W15","4000","Marked","Female","NR",12.00,"PB",,,,,,,,,,,,,,,
70,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W14","4000","Recap","Female","NR",14.00,"PB",,,,,,,,,,,,,,,
71,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W16","4000","Recap","Female","NR",13.00,"PB",,,,,,,,,,,,,,,
72,8/8/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F55","12000","Recap","Female","R",20.00,"SEED",,,,,,,,,,,,,,,
73,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F54","12000","Recap","Female","R",19.00,"PB",,,,,,,,,,,,,,,
74,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F19","d","NEW","Female","R",12.00,"PB",,,,,,,,,,,,,,,
75,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W17","e","NEW","Female","R",26.00,"PB",,,,,,,,,,,,,,,
76,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W37","f","NEW","Male","S",15.00,"SEED",,,,,,,,,,,,,,,
78,8/6/2011 0:00:00,"Beaver Ponds","Forest","Neotoma cinerea","F26","3977","Marked","Female","NR",93.00,"PB","Noted as Scrotal Male, but JH/RP got it wrong",,,,,,,,,,,,,,
79,8/7/2011 0:00:00,"Beaver Ponds","Forest","Neotoma cinerea","F26","3977","Recap","Female","NR",,"PB","Chest hair white to base, very grey, hairy tail",98.00,35.00,25.00,,,,,,,,,,,
80,8/8/2011 0:00:00,"Beaver Ponds","Forest","Neotoma cinerea","F27","3977","Recap","Female","NR",84.00,"PB","juvenille",,,,,,,,,,,,,,
81,8/9/2011 0:00:00,"Beaver Ponds","Forest","Neotoma cinerea","F28","3977","Recap","Female","NR",98.00,"SEED",,,,,,,,,,,,,,,
82,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M37","377","Marked","Male","S",15.50,"?",,,,,,,,,,,,,,,
83,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M36","377","Recap","Male","S",14.50,"SEED",,,,,,,,,,,,,,,
84,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M36","377","Recap","Male","S",14.00,"PB",,,,,,,,,,,,,,,
85,8/5/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M32","378","Marked","Female","R",18.00,"PB",,,,,,,,,,,,,,,
86,8/6/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M43","378","Recap","Female","R",19.00,"SEED",,,,,,,,,,,,,,,
87,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M43","378","Recap","Female","R",18.50,"SEED",,,,,,,,,,,,,,,
88,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M43","378","Recap","Female","R",19.00,"SEED","RP thought maybe P. nasustus",62.00,19.00,17.00,,,,,,,,,,,
89,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M41","378","Recap","Female","R",20.00,"PB",,,,,,,,,,,,,,,
90,8/5/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M44","379","Marked","Male","NS",15.00,"PB",,,,,,,,,,,,,,,
91,8/5/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M15","381","Marked","Male","S",18.00,"SEED",,,,,,,,,,,,,,,
92,8/6/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M17","381","Recap","Male","S",19.00,"PB",,,,,,,,,,,,,,,
93,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M18","381","Recap","Male","S",19.00,"PB",,,,,,,,,,,,,,,
94,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M28","381","Recap","Male","S",18.00,"PB",,,,,,,,,,,,,,,
95,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M33","381","Recap","Male","S",19.00,"SEED",,,,,,,,,,,,,,,
96,8/5/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F2 ","395","Marked","Female","NR",13.50,"PB",,,,,,,,,,,,,,,
97,8/6/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F2","395","Recap","Female","NR",13.00,"PB",,,,,,,,,,,,,,,
98,8/7/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F2","395","Recap","Female","NR",13.50,"SEED",,,,,,,,,,,,,,,
