"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","ID notes"
88,7/21/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F83","new","h","Marked","Male","Non-scrotal",14.00,"PB",,,,,
89,7/21/2012 0:00:00,"Navajo","Riparian","Peromyscus maniculatus","W28","new","i","Marked","Female","Reproductive",30.00,"PB",,,,,
90,7/17/2012 0:00:00,"Navajo","Forest","Microtus sp.","F32","--","j","Collected","Female","Non-reprod.",33.00,"PB",,,,,"Listed as Microtus sp. in Collected database. "
91,7/20/2012 0:00:00,"Navajo","Riparian","Phenacomys intermedius","W12","0050","0050","Marked","Male","Scrotal",25.00,"PB","Fluffy fur; long, thick whiskers",27.00,18.00,15.00,"ID verified with skull"
92,7/21/2012 0:00:00,"Navajo","Riparian","Phenacomys intermedius","W39","0050","0050","Recap, Collected","Male","Scrotal",25.00,"PB","Tick on head",,,,"ID verified with skull"
93,7/18/2012 0:00:00,"Navajo","Riparian","Sorex palustris","W18","--","k","Released","?","?",,"PB","Alive, released without marking",,,,
94,7/18/2012 0:00:00,"Navajo","Riparian","Sorex palustris","W22","--","l","Dead, Collected","Female?","?",9.50,"Seed",,,,,"ID verified with skull"
95,7/19/2012 0:00:00,"Navajo","Riparian","Sorex palustris","W33","--","m","Dead, Collected","?","?",11.00,"Seed",,,,,"ID verified with skull"
96,7/19/2012 0:00:00,"Navajo","Riparian","Sorex palustris","W45","--","n","Dead, Collected","?","?",11.00,"PB",,,,,"ID verified with skull"
97,7/20/2012 0:00:00,"Navajo","Riparian","Sorex palustris","W11","--","o","Dead, Collected","?","?",10.00,"Seed",,,,,"ID verified with skull"
98,7/21/2012 0:00:00,"Navajo","Meadow","Sorex palustris","M9","--","p","Released","?","?",,"PB",,,,,
99,7/21/2012 0:00:00,"Navajo","Meadow","Sorex palustris","M19","--","q","Dead, Collected","Female","Reproductive",19.00,"PB",,,,,"ID verified with skull"
100,7/18/2012 0:00:00,"Navajo","Riparian","Sorex monticolus","W30","--","r","Dead, Collected","Female","Reproductive",7.00,"PB",,,,,"ID verified with skull"
101,7/20/2012 0:00:00,"Navajo","Forest","Sorex sp.","F61","--","s","Released","Female","Reproductive",8.00,"PB",,42.00,12.00,,
102,7/20/2012 0:00:00,"Navajo","Forest","Sorex monticolus","F75","--","t","Dead, Collected","?","?",4.00,"Seed",,,,,"ID verified with skull"
103,7/20/2012 0:00:00,"Navajo","Forest","Sorex sp.","F54","--","u","Released","?","?",4.50,"PB",,45.00,13.00,,
104,7/20/2012 0:00:00,"Navajo","Forest","Sorex sp.","F51","--","v","Released","?","?",4.50,"PB",,40.00,12.00,,
105,7/21/2012 0:00:00,"Navajo","Meadow","Sorex sp.","M5","--","w","Released","?","?",,"PB",,,,,
106,7/21/2012 0:00:00,"Navajo","Riparian","Sorex monticolus","W22","--","x","Dead, Collected","Male","Scrotal",7.00,"Seed",,,,,"ID verified with skull"
107,7/21/2012 0:00:00,"Navajo","Forest","Sorex monticolus","F74","--","y","Dead, Collected","?","?",4.50,"Seed",,,,,"ID verified with skull"
108,7/19/2012 0:00:00,"Navajo","Forest","Tamias minimus","F70","371","371","Marked","Female","Reproductive",50.00,"Seed","Originally noted as scrotal male, but I handled the next day as reprod female",,,,
109,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F71","371","371","Recap","Female","Reproductive",54.00,"Seed",,,,,
110,7/18/2012 0:00:00,"Navajo","Meadow","Tamias minimus","M4","382","382","Marked","Male","Scrotal",42.00,"PB",,,,,
111,7/20/2012 0:00:00,"Navajo","Forest","Tamias minimus","F83","382","382","Recap","Male","Scrotal",42.50,"PB",,,,,
112,7/20/2012 0:00:00,"Navajo","Forest","Tamias minimus","F19","391","391","Marked","Female","Reproductive",54.00,"Seed",,,,,
113,7/20/2012 0:00:00,"Navajo","Forest","Tamias minimus","F79","3658","3658","Marked","Female","Reproductive",54.50,"Seed",,,,,
114,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F80","3658","3658","Recap","Female","Reproductive",,"Seed","Escaped; original incorrectly ID'd as 9658",,,,
115,7/18/2012 0:00:00,"Navajo","Forest","Tamias minimus","F78","3691","3691","Marked","Male","X",41.50,"Seed",,,,,
116,7/19/2012 0:00:00,"Navajo","Riparian","Tamias minimus","W27","3691","3691","Recap","Male","X",43.00,"Seed",,,,,
117,7/20/2012 0:00:00,"Navajo","Forest","Tamias minimus","F34","3691","3691","Recap","Male","X",43.00,"Seed",,,,,
118,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F72","3691","3691","Recap","Male","X",,"Seed","Escaped",,,,
119,7/18/2012 0:00:00,"Navajo","Forest","Tamias minimus","F79","3692","3692","Marked","Male","Non-scrotal",40.50,"PB",,,,,
120,7/19/2012 0:00:00,"Navajo","Meadow","Tamias minimus","M5","3692","3692","Recap","Male","Non-scrotal",41.00,"Seed",,,,,
121,7/20/2012 0:00:00,"Navajo","Meadow","Tamias minimus","M11","3692","3692","Recap","Male","Non-scrotal",45.00,"Seed",,,,,
122,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F68","3692?","3692","Escaped","Male","Non-scrotal",,"Seed","Given trapping dates and traps could be #3692",,,,
123,7/18/2012 0:00:00,"Navajo","Forest","Tamias minimus","F82","3693","3693","Marked","Male","Scrotal",43.00,"PB",,,,,
124,7/19/2012 0:00:00,"Navajo","Forest","Tamias minimus","F78","3693","3693","Recap","Male","Scrotal",41.00,"Seed",,,,,
125,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F73","3693","3693","Recap","Male","Scrotal",46.00,"Seed",,,,,
126,7/18/2012 0:00:00,"Navajo","Forest","Tamias minimus","F84","3695","3695","Marked","Female","Reproductive",53.00,"Seed",,,,,
127,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F83","3695","3695","Recap","Female","Reproductive",53.00,"Seed",,,,,
128,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F66","new","z","Marked","Male","Scrotal",46.00,"Seed",,,,,
129,7/21/2012 0:00:00,"Navajo","Forest","Tamias minimus","F79","new","aa","Escaped","Male","Scrotal",41.00,"Seed",,,,,
130,7/18/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W15","374","374","Marked","Female","Reproductive",38.00,"Seed",,,,,
131,7/20/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W9","374","374","Recap","Female","Reproductive",39.00,"PB",,,,,
132,7/20/2012 0:00:00,"Navajo","Meadow","Zapus princeps","M12","393","393","Marked","Male","Scrotal",27.00,"Seed",,,,,
133,7/17/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W29","3699","3699","Marked","Female","Reproductive",34.00,"Seed",,,,,
134,7/18/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W32","3699","3699","Recap","Female","Reproductive",33.00,"Seed",,,,,
135,7/19/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W28","3699","3699","Recap","Female","Reproductive",32.00,"Seed",,,,,
136,7/18/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W24","new","bb","Escaped","Male","Scrotal",,"Seed","Did not see if had an ear tag, but no marked scrotal males on 2nd riparian line",,,,
137,7/21/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W6","new","cc","Marked","Male","Scrotal",25.00,"Seed",,,,,
138,7/21/2012 0:00:00,"Navajo","Riparian","Zapus princeps","W34","new","dd","Marked","Male","Non-scrotal",31.00,"Seed",,,,,
