"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24"
174,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,,"Spermophilus lateralis","Camp","kk","Released","Female","Reprod.",220.00,"PB",,100.00,42.00,14.00,,,,,,,
175,"Mavreeso","2500-2600","JH, TS, AW, WW",7/18/2011 0:00:00,"Riparian","Tamias minimus","W20","271","Ear tag","Male","Non-scrotal",37.00,"Seed",,93.00,30.00,11.00,,,,,,,
176,"Mavreeso","2500-2600","JH, TS, AW, WW",7/18/2011 0:00:00,"Riparian","Tamias minimus","W18","272","Ear tag","X","X",35.00,"PB","Same indiv? Same tag, similar mass, different sex.",74.00,27.00,10.00,,,,,,,
177,"Mavreeso","2500-2600","JH, TS, AW, WW",7/19/2011 0:00:00,"Riparian","Tamias minimus","W14","272","Recap","X","X",34.00,"PB","Same indiv? Same tag, similar mass, different sex.",,,,,,,,,,
178,"Mavreeso","2500-2600","JH, TS, AW, WW",7/18/2011 0:00:00,"Riparian","Tamias minimus","W8","273","Ear tag","Female","Reprod.",46.50,"Seed",,71.00,28.00,13.00,,,,,,,
179,"Mavreeso","2500-2600","JH, TS, AW, WW",7/18/2011 0:00:00,"Riparian","Tamias minimus","W7","274","Ear tag","Male","Scrotal",40.00,"Seed",,83.00,29.00,12.00,,,,,,,
180,"Mavreeso","2500-2600","JH, TS, AW, WW",7/18/2011 0:00:00,"Meadow","Tamias minimus","M10","275","Ear tag","Female","Non-reprod.",32.00,"Seed",,75.00,27.00,12.00,,,,,,,
181,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Riparian","Tamias minimus","W9","2108","Ear tag","Male","Scrotal",30.00,"PB",,100.00,30.00,12.00,,,,,,,
182,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Riparian","Tamias minimus","W13","2109","Ear tag","Male","Non-scrotal",,"Seed","Escaped before could be weighed",89.00,29.00,14.00,,,,,,,
183,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Riparian","Tamias minimus","W21","2110","Ear tag","Male","Non-scrotal",42.00,"PB",,88.00,29.00,15.00,,,,,,,
184,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F6","2111","Ear tag","Male","Non-scrotal",31.00,"PB","Tail tuft came off",89.00,27.00,15.00,,,,,,,
185,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F16","2111","Recap","Male","Non-scrotal",32.00,"PB",,,,,,,,,,,
186,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F25","2112","Ear tag","Female","Reprod.",34.00,"PB",,81.00,25.00,12.00,,,,,,,
187,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F6","2113","Ear tag","Male","Scrotal",38.00,"Seed",,94.00,28.00,13.00,,,,,,,
188,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Riparian","Tamias minimus","W3","2115","Ear tag","Male","Non-scrotal",21.50,"PB",,78.00,27.00,12.00,,,,,,,
189,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Riparian","Tamias minimus","W3","2116","Ear tag","Female","Non-reprod.",30.00,"Seed",,85.00,28.00,11.00,,,,,,,
190,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Riparian","Tamias minimus","W1","2117","Ear tag","Female","Non-reprod.",27.00,"PB",,89.00,26.00,13.00,,,,,,,
191,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Meadow","Tamias minimus","M12","2118","Ear tag","Female","Non-reprod.",42.00,"Seed","Photo",92.00,29.00,11.00,,,,,,,
192,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F51","2202","Ear tag","Female","Non-reprod.",33.00,"PB",,100.00,27.00,11.00,,,,,,,
193,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F30","2205","Ear tag","Female","Reprod.",50.00,"PB",,101.00,30.00,13.00,,,,,,,
194,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F10","2210","Ear tag","Female","Non-reprod.",38.00,"PB",,97.00,30.00,13.00,,,,,,,
195,"Mavreeso","2500-2600","SK, JH",7/16/2011 0:00:00,"Forest","Tamias minimus","F16","2212","Ear tag","Female","Non-reprod.",,"Seed","Escaped before could be weighed",93.00,29.00,14.00,,,,,,,
196,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F14","2212","Recap","Female","Non-reprod.",34.00,"Seed",,,,,,,,,,,
197,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F8","2212","Recap","Female","Non-reprod.",38.00,"Seed",,,,,,,,,,,
198,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F17","2212","Recap","Female","Non-reprod.",39.00,"PB",,,,,,,,,,,
199,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F9","2213","Ear tag","Female","Reprod.",53.00,"PB",,105.00,28.00,13.00,,,,,,,
200,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F84","2217","Ear tag","Male","Non-scrotal",40.00,"Seed",,91.00,29.00,12.00,,,,,,,
201,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F94","2217","Recap","Male","Non-scrotal",44.00,"PB",,,,,,,,,,,
202,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F93","2217","Recap","Male","Non-scrotal",38.00,"Seed",,,,,,,,,,,
203,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F59","2224","Ear tag","Female","Non-reprod.",36.00,"Seed",,97.00,27.00,13.00,,,,,,,
204,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F61","2224","Recap","Female","Non-reprod.",35.00,"Seed",,,,,,,,,,,
205,"Mavreeso","2500-2600","SK, JH",7/16/2011 0:00:00,"Meadow","Tamias minimus","M12","2225","Ear tag","Female","Reprod.",43.00,"Seed","Ran with tail up",85.00,28.00,14.00,,,,,,,
206,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Meadow","Tamias minimus","M13","2225","Recap","Female","Reprod.",43.50,"Seed",,,,,,,,,,,
207,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F15","2226","Ear tag","Male","Non-scrotal",29.00,"PB",,85.00,27.00,11.00,,,,,,,
208,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F16","2226","Recap","Male","Non-scrotal",30.00,"Seed",,,,,,,,,,,
209,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F3","2231","Ear tag","Female","Reprod.",45.00,"PB",,93.00,30.00,15.00,,,,,,,
210,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F6","2231","Recap","Female","Reprod.",49.00,"Seed",,,,,,,,,,,
211,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F12","2231","Recap","Female","Reprod.",46.00,"Seed",,,,,,,,,,,
212,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F19","2233","Ear tag","Male","Scrotal",,"Seed","Escaped",93.00,,,,,,,,,
213,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F4","2235","Ear tag","Male","Non-scrotal",38.00,"PB",,88.00,29.00,14.00,,,,,,,
214,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F14","2235","Recap","Male","Non-scrotal",37.00,"Seed",,,,,,,,,,,
215,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F16","2235","Recap","Male","Non-scrotal",39.00,"PB",,,,,,,,,,,
216,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F4","2237","Ear tag","Male","Non-scrotal",36.00,"Seed",,94.00,30.00,13.00,,,,,,,
217,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F5","2238","Ear tag","Female","Non-reprod.",36.00,"PB",,100.00,29.00,12.00,,,,,,,
218,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F63","2240","Ear tag","Male","Non-scrotal",39.00,"PB",,100.00,27.00,11.00,,,,,,,
219,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F72","2240","Recap","Male","Non-scrotal",38.00,"Seed",,,,,,,,,,,
220,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F10","2242","Ear tag","Male","Non-scrotal",37.00,"PB",,109.00,30.00,12.00,,,,,,,
221,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F12","2242","Recap","Male","Non-scrotal",39.00,"PB",,,,,,,,,,,
222,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F13","2242","Recap","Male","Non-scrotal",40.00,"PB",,,,,,,,,,,
223,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F54","2244","Ear tag","Female","Non-reprod.",32.00,"Seed",,93.00,25.00,12.00,,,,,,,
224,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F60","2248","Ear tag","Female","Non-reprod.",32.00,"Seed",,92.00,27.00,11.00,,,,,,,
225,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F66","2248","Recap","Female","Non-reprod.",34.00,"PB",,,,,,,,,,,
226,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F41","2249","Ear tag","Male","Non-scrotal",30.00,"PB",,94.00,27.00,11.00,,,,,,,
227,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F36","2249","Recap","Male","Non-scrotal",31.00,"PB",,,,,,,,,,,
228,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F45","2249","Recap","Male","Non-scrotal",32.00,"PB",,,,,,,,,,,
229,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F87","2251","Ear tag","Male","Non-scrotal",42.00,"Seed",,100.00,25.00,11.00,,,,,,,
230,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F47","2251","Recap","Male","Non-scrotal",44.00,"Seed","Lost end of tail in trap; long movement",,,,,,,,,,
231,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F12","2264","Ear tag","Male","Non-scrotal",35.00,"PB",,94.00,27.00,13.00,,,,,,,
232,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F28","2264","Recap","Male","Non-scrotal",36.00,"PB",,,,,,,,,,,
233,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F76","2269","Ear tag","Female","Reprod.",43.00,"Seed",,104.00,28.00,13.00,,,,,,,
234,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F52","2269","Recap","Female","Reprod.",43.00,"Seed",,,,,,,,,,,
235,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F95","2273","Ear tag","Female","Reprod.",43.00,"Seed",,90.00,29.00,11.00,,,,,,,
236,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F96","2273","Recap","Female","Reprod.",44.00,"Seed",,,,,,,,,,,
237,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F38","2274","Ear tag","Male","Scrotal",39.00,"PB",,95.00,27.00,11.00,,,,,,,
238,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F100","2274","Recap","Male","Scrotal",40.00,"Seed","long movement, but SK said end of Forest line turned back so 40-100 was roughly parallel",,,,,,,,,,
239,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F9","2278","Ear tag","Female","Reprod.",50.00,"Seed","End of tail missing. Lactating",,28.00,13.00,,,,,,,
240,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F64","2283","Ear tag","Female","Reprod.",43.00,"Seed",,101.00,24.00,11.00,,,,,,,
241,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F25","2285","Recap","Male","Non-scrotal",49.00,"Seed",,,,,"Misread tag, no obvious candidates for correct tag",,,,,,
242,"Mavreeso","2500-2600","SK, JH",7/16/2011 0:00:00,"Forest","Tamias minimus","F56","2286","Ear tag","Female","Reprod.",44.00,"Seed",,106.00,29.00,14.00,,,,,,,
243,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F53","2286","Recap","Female","Reprod.",39.00,"Seed","Lost about 3cm of tail",,,,,,,,,,
244,"Mavreeso","2500-2600","SK, JH",7/16/2011 0:00:00,"Forest","Tamias minimus","F19","2291","Ear tag","Male","Scrotal",42.00,"Seed",,105.00,30.00,12.00,,,,,,,
245,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F8","2291","Recap","Male","Scrotal",42.00,"Seed",,,,,,,,,,,
246,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F12","2291","Recap","Male","Scrotal",43.00,"Seed",,,,,,,,,,,
247,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F17","2291","Recap","Male","Scrotal",44.00,"Seed",,,,,,,,,,,
248,"Mavreeso","2500-2600","SK, TS",7/17/2011 0:00:00,"Forest","Tamias minimus","F17","2292","Ear tag","Male","Scrotal",43.50,"Seed",,97.00,29.00,11.00,,,,,,,
249,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F17","2292","Recap","Male","Scrotal",44.00,"Seed",,,,,,,,,,,
250,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F13","2292","Recap","Male","Scrotal",42.00,"Seed",,,,,,,,,,,
251,"Mavreeso","2500-2600","SK",7/18/2011 0:00:00,"Forest","Tamias minimus","F13","2294","Ear tag","Male","X",44.00,"Seed",,94.00,29.00,12.00,,,,,,,
252,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F7","2294","Recap","Male","X",44.00,"Seed",,,,,,,,,,,
253,"Mavreeso","2500-2600","SK, JH",7/16/2011 0:00:00,"Forest","Tamias minimus","F12","2298","Ear tag","Female","Non-reprod.",37.00,"PB","Grey haunches, 5 stripes, bright orange sides",101.00,30.00,12.00,,,,,,,
