"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22"
37,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian I","Myodes gapperi","W17","0043","Marked","Female","R",30,"SEED",,,,,,,,,,,
38,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F45","0050","Marked","Female","R",26,"PB",,,,,,,,,,,
39,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F48","0050","Recap","Female","R",28,"PB",,,,,,,,,,,
40,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F44","0050","Recap","Female","R",29,"PB",,,,,,,,,,,
41,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F14","0100","Marked","Female","NR",17,"PB",,40.00,18.00,13.00,,,,,,,
42,7/20/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W19","0100","Recap","Female","NR",15,"PB","W19 and F14 are 1-2 traps apart",,,,"Mass listed as 5. Seems very low, so corrected to 15.",,,,,,
43,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F16","0100","Recap","Female","NR",16,"PB",,,,,,,,,,,
44,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F21","0100","Recap","Female","NR",17,"SEED",,,,,,,,,,,
45,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F19","0100","Recap","Female","NR",17,"SEED",,,,,,,,,,,
46,7/19/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W20","0200","Marked","Female","R",28,"SEED",,,,,,,,,,,
47,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F11","0200","Recap","Female","R",27,"SEED",,,,,,,,,,,
48,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W21","0200","Recap","Female","R",25,"PB","REPROD = F (?)",,,,,,,,,,
49,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F14","0200","Recap","Female","R",24,"PB","Noted as Male, but other 4 captures were female",,,,,,,,,,
50,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F16","0200","Recap","Female","R",22,"PB",,,,,,,,,,,
51,7/19/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W29","0300","Marked","Female","R",40,"PB",,,,,,,,,,,
52,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W26","0300","Recap","Female","R",26,"PB","REPROD = F (=R)",,,,,,,,,,
53,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W29","0300","Recap","Female","R",22,"PB","DOUBLE CAPTURE",,,,,,,,,,
54,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","W31","0300","Recap","Female","R",24,"PB",,,,,,,,,,,
55,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W31","0303","Marked","Female","R",23,"PB",,,,,,,,,,,
56,7/23/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W29","0303","Recap","Female","R",21,"SEED",,,,,,,,,,,
57,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F21","0304","Marked","Male","S",23,"PB",,,,,,,,,,,
58,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F21","0304","Recap","Male","S",23,"PB",,,,,,,,,,,
59,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F32","0305","Marked","Male","X",15,"SEED",,,,,,,,,,,
60,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F33","0305","Recap","Male","X",14,"SEED",,,,,,,,,,,
61,7/19/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W30","0400","Marked","Male","S",26,"PB",,,,,,,,,,,
62,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F26","0400","Recap","Male","S",22,"SEED",,,,,,,,,,,
63,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W23","0400","Recap","Male","S",22,"PB",,,,,,,,,,,
64,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F19","0400","Recap","Male","S",21,"PB",,,,,,,,,,,
65,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F86","0401","NEW","Male","S",21,"PB","Noted as recap, but doesn’t match any animals; natural clip?",,,,,,,,,,
66,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F38","0410","Marked","Female","R",30,"PB",,,,,,,,,,,
67,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F44","0420","Marked","Female","NR",11,"PB",,,,,,,,,,,
68,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F53","0430","Marked","Male","S",23,"PB",,,,,,,,,,,
69,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F54","0440","Marked","Female","R",24,"PB",,,,,,,,,,,
70,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F80","0450","NEW","Female","R",18,"PB","Noted as recap, but doesn’t match any animals; natural clip?",,,,,,,,,,
71,7/20/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W30","1001","Marked","Male","S",19,"PB",,,,,,,,,,,
72,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W25","1001","Recap","Male","S",20,"PB",,,,,,,,,,,
73,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W21","1001","Recap","Male","S",21,"PB",,,,,,,,,,,
74,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F11","1001","Recap","Male","S",19,"PB",,,,,,,,,,,
75,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F30","1002","Marked","Male","NS",12,"PB",,,,,,,,,,,
76,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F30","1002","Recap","Male","NS",10,"PB","DEAD, COLLECTED",31.00,17.00,11.00,"DEAD, COLLECTED; ear tag #1002",,,,,,
77,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F33","1003","Marked","Female","R",27,"PB",,,,,,,,,,,
78,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F39","1003","Recap","Female","R",24,"PB",,,,,,,,,,,
79,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F36","1003","Recap","Female","R",30,"PB",,,,,,,,,,,
80,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F42","1004","Marked","Male","S",23,"SEED",,,,,,,,,,,
81,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F32","1004","Recap","Male","S",22,"PB",,,,,,,,,,,
82,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F50","1004","Recap","Male","S",20,"PB",,,,,,,,,,,
83,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F53","1005","Marked","Female","X",13,"PB",,,,,,,,,,,
84,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F52","1005","Recap","Female","X",14,"PB",,,,,,,,,,,
85,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F81","1010","Marked","Male","S",25,"PB",,,,,,,,,,,
86,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F2","1020","Marked","Male","NS",8,"PB",,,,,,,,,,,
87,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F8","1030","Marked","Female","R",30,"PB",,,,,,,,,,,
88,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F6","1030","Recap","Female","R",32,"PB",,,,,,,,,,,
89,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F8","1030","Recap","Female","R",23,"PB",,,,,,,,,,,
90,7/20/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W25","1040","Marked","Female","R",23,"PB",,,,,,,,,,,
91,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W25","1040","Recap","Female","R",26,"PB",,,,,,,,,,,
92,7/23/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W23","1040","Recap","Female","R",26,"PB",,,,,,,,,,,
93,7/20/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W28","1050","Marked","Male","S",24,"SEED",,,,,,,,,,,
94,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W29","1050","Recap","Male","S",25,"SEED",,,,,,,,,,,
95,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W29","1050","Recap","Male","S",22,"SEED",,,,,,,,,,,
96,7/23/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W30","1050","Recap","Male","S",21,"SEED",,,,,,,,,,,
97,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F71","1100","Marked","Female","R",25,"PB",,,,,,,,,,,
98,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F72","1100","Recap","Female","R",24,"PB","Dead in trap; Collected",46.00,18.00,14.00,"ID verified with skull. Dead in trap; Collected; ear tag #1100; specimen tag UHV 7",,,,,,
99,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F72","1200","Marked","Female","R",32,"PB",,,,,,,,,,,
100,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F73","1300","Marked","Male","S",25,"SEED",,,,,,,,,,,
101,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F80","1300","Recap","Male","S",25,"PB","tag noted as 13000",,,,,,,,,,
102,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F67","1300","Recap","Male","S",25,"SEED",,,,,,,,,,,
103,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F66","1300","Recap","Male","S",25,"PB",,,,,,,,,,,
104,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F58","1300","Recap","Male","S",20,"PB",,,,,,,,,,,
105,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F77","1400","Marked","Female","R",25,"SEED",,,,,,,,,,,
