"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25"
138,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Forest","Peromyscus maniculatus","F54","g","Released","Female","Non-reprod.",11.50,"PB",,45.00,19.00,13.00,,,,,,,,
139,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Meadow","Peromyscus maniculatus","M15","h","Released","Male","Non-scrotal",20.00,"PB",,62.00,19.00,16.00,,,,,,,,
140,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Meadow","Peromyscus maniculatus","M5","I","Released","Female","Reprod.",24.00,"PB",,64.00,15.00,20.00,,,,,,,,
141,"McPhee","2100-2200","SK, AW",6/13/2011 0:00:00,"Rocky","Peromyscus maniculatus","R9","j","Released","Male","Non-scrotal",19.00,"PB",,71.00,20.00,15.00,,,,,,,,
142,"McPhee","2100-2200","JH, JH",6/11/2011 0:00:00,"Rocky","Peromyscus boylii","R15","276","Ear tag","Male","Scrotal",28.00,"Seed","P. crinitus or P. boylii",85.00,22.00,20.00,"ID as P. boylii based on skull and teeth characteristics, although tail on the short side but auditory bullae too large for maniculatus. Oringinally noted as P. crinitus or P. boylii? Ear tag #276 (Sarah tag #33)",,,,,,,
143,"McPhee","2100-2200","SK, AW",6/13/2011 0:00:00,"Rocky","Peromyscus boylii","R21","276","Collected","Male","Scrotal",29.00,"Seed","P. crinitus or P. boylii",,,,"ID as P. boylii based on skull and teeth characteristics, although tail on the short side but auditory bullae too large for maniculatus. Oringinally noted as P. crinitus or P. boylii? Ear tag #276 (Sarah tag #33)",,,,,,,
144,"McPhee","2100-2200","SK, AW",6/11/2011 0:00:00,"Meadow","Spermophilus lateralis","M23","2122","Ear tag","Female","Reprod.",175.00,"PB",,112.00,42.00,14.00,,,,,,,,
145,"McPhee","2100-2200","SK, AW",6/12/2011 0:00:00,"Forest","Spermophilus lateralis","F8","2156","Ear tag","Male","Non-scrotal",150.00,"Seed",,88.00,35.00,17.00,,,,,,,,
146,"McPhee","2100-2200","SK, AW",6/13/2011 0:00:00,"Rocky","Spermophilus lateralis","R20","k","Released","Male","Scrotal",200.00,"Seed",,112.00,39.00,16.00,,,,,,,,
147,"McPhee","2100-2200","JH, JH",6/11/2011 0:00:00,"Rocky","Sylvilagus sp.","R21","l","Released","--","--",,"PB",,,,,,,,,,,,
148,"McPhee","2100-2200","SK, AW",6/12/2011 0:00:00,"Riparian","Sylvilagus sp.","W22","m","Released","--","--",,"Seed",,,,,,,,,,,,
149,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Forest","Tamias minimus","F21","229","Ear tag","Male","Non-scrotal",43.00,"Seed","End of tail cut off",54.00,26.00,13.00,,,,,,,,
150,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Forest","Tamias minimus","F15","231","Ear tag","Female","Reprod.",43.00,"Seed","In torpor. Put in sun.",93.00,27.00,15.00,,,,,,,,
151,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Meadow","Tamias minimus","M20","241","Ear tag","Female","Reprod.",48.00,"PB",,70.00,28.00,16.00,,,,,,,,
152,"McPhee","2100-2200","SK, AW",6/11/2011 0:00:00,"Forest","Tamias minimus","F34","2101","Ear tag","Female","Reprod.",44.50,"PB",,84.00,29.00,12.00,,,,,,,,
153,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Forest","Tamias minimus","F35","2101","Recap","Female","Reprod.",42.50,"PB",,,,,,,,,,,,
154,"McPhee","2100-2200","SK, AW",6/11/2011 0:00:00,"Forest","Tamias minimus","F26","2102","Ear tag","Female","Reprod.",43.00,"PB",,92.00,27.00,13.00,,,,,,,,
155,"McPhee","2100-2200","SK, AW",6/12/2011 0:00:00,"Riparian","Tamias minimus","W14","2152","Ear tag","Female","Reprod.",48.00,"PB","Ran with tail up",91.00,29.00,11.00,,,,,,,,
156,"McPhee","2100-2200","SK, AW",6/12/2011 0:00:00,"Rocky","Tamias minimus","R16","2154","Ear tag","Female","Reprod.",42.00,"PB",,92.00,28.00,14.00,,,,,,,,
157,"McPhee","2100-2200","SK, AW",6/13/2011 0:00:00,"Rocky","Tamias minimus","R11","n","Escape","Male","Non-scrotal",,"Seed","Escaped before weighing. End of tail deformed/missing.",,30.00,12.00,,,,,,,,
158,"McPhee","2100-2200","SK, AW",6/13/2011 0:00:00,"Rocky","Tamias minimus","R13","o","Released","Female","Reprod.",51.00,"PB",,95.00,28.00,11.00,,,,,,,,
