"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
259,7/8/2012 0:00:00,"Grouse Point","SK","M6","Seed","Tamias minimus",3764.00,"3764","Ear tag","Male","Scrotal",101.00,29.00,11.00,39.00,,
260,7/9/2012 0:00:00,"Grouse Point","SY","M2","Seed","Tamias minimus",3764.00,"3764","Recap","Male","Scrotal",,,,39.00,,
261,7/8/2012 0:00:00,"Grouse Point","SK","M14","PB","Tamias minimus",3765.00,"3765","Ear tag","Female","Non-reprod.",95.00,28.00,12.00,,"Escaped from scale",
262,7/8/2012 0:00:00,"Grouse Point","JB","M13","PB","Tamias minimus",3766.00,"3766","Ear tag","Female","Non-reprod.",99.00,28.00,13.00,33.00,,
263,7/9/2012 0:00:00,"Grouse Point","SY","M14","PB","Tamias minimus",3766.00,"3766","Recap","Female","Non-reprod.",,,,33.00,,
264,7/8/2012 0:00:00,"Grouse Point","JB","M20","Seed","Tamias minimus",3767.00,"3767","Ear tag","Male","Scrotal",99.00,30.00,15.00,40.00,,
265,7/8/2012 0:00:00,"Grouse Point","SK","M31","PB","Tamias minimus",3769.00,"3769","Ear tag","Male","Non-scrotal",100.00,27.00,11.00,29.00,,
266,7/8/2012 0:00:00,"Grouse Point","SY","M31","Seed","Tamias minimus",3770.00,"3770","Ear tag","Male","Non-scrotal",98.00,30.00,12.00,36.00,,
267,7/9/2012 0:00:00,"Grouse Point","JB","M32","Seed","Tamias minimus",3770.00,"3770","Recap","Male","Non-scrotal",,,,35.00,,
268,7/11/2012 0:00:00,"Grouse Point","SY","M32","Seed","Tamias minimus",3770.00,"3770","Recap","Male","Non-scrotal",,,,37.00,"In hand called Female NR, but was Male NS in previous captures",
269,7/8/2012 0:00:00,"Grouse Point","SK","M33","Seed","Tamias minimus",3772.00,"3772","Ear tag","Male","Scrotal",100.00,30.00,12.00,45.00,,
270,7/9/2012 0:00:00,"Grouse Point","JB","M31","Seed","Tamias minimus",3772.00,"3772","Recap","Male","Scrotal",,,,45.00,,
271,7/11/2012 0:00:00,"Grouse Point","SY","M34","Seed","Tamias minimus",3772.00,"3772","Recap","Male","Scrotal",,,,44.00,,
272,7/8/2012 0:00:00,"Grouse Point","JB","M34","Seed","Tamias minimus",3773.00,"3773","Ear tag","Male","Scrotal",90.00,27.00,12.00,31.00,,
273,7/9/2012 0:00:00,"Grouse Point","SY","M32","PB","Tamias minimus",3773.00,"3773","Recap","Male","Scrotal",,,,30.50,,
274,7/11/2012 0:00:00,"Grouse Point","SY","M43","PB","Tamias minimus",3773.00,"3773","Recap","Male","Scrotal",,,,31.00,"Called NS in hand, but S in other captures",
275,7/8/2012 0:00:00,"Grouse Point","SY","M34","PB","Tamias minimus",3774.00,"3774","Ear tag","Female","Reprod.",101.00,30.00,13.00,56.00,,"ID verified with skull"
