"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27"
276,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus truei","R17","2395","Recap","Female","Non-reprod.",15.50,"Seed","Originally entered as P. crinitus, but skull characteristics ID as P. truei",,,,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. truei. Missing L hind leg. Ear tag #2395 (Sarah tag #60)",,,,,,,,,
277,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus truei","R19","2395","Collected","Female","Non-reprod.",14.50,"Seed","Originally entered as P. crinitus, but skull characteristics ID as P. truei",,,,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. truei. Missing L hind leg. Ear tag #2395 (Sarah tag #60)",,,,,,,,,
278,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus truei","R25","2396","Ear tag","Female","Non-reprod.",22.00,"Seed","noted as P. crinitus but ear >23mm, so probably truei",95.00,22.00,24.00,,,,,,,,,,
279,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus truei","R24","2396","Recap","Female","Non-reprod.",21.00,"Seed",,,,,,,,,,,,,,
280,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus truei","R27","2396","Recap","Female","Non-reprod.",21.00,"Seed",,,,,,,,,,,,,,
281,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus truei","R13","2396","Recap","Female","Non-reprod.",21.50,"Seed",,,,,,,,,,,,,,
282,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus truei","R31","2397","Ear tag","Male","Non-scrotal",15.00,"PB",,81.00,22.00,25.00,,,,,,,,,,
283,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus truei","R34","2397","Recap","Male","Non-scrotal",14.00,"Seed",,,,,,,,,,,,,,
284,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus truei","R34","2397","Recap","Male","Non-scrotal",,"Seed","No data entered for weight",,,,,,,,,,,,,
285,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F11","j","Released","Male","Non-scrotal",17.00,"PB",,88.00,21.00,25.00,,,,,,,,,,
286,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F40","k","Released","Male","Non-scrotal",20.00,"PB","noted as P. crinitus but ear >23mm, so probably truei",83.00,23.00,24.00,,,,,,,,,,
287,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus truei","R10","l","Collected","Female","Non-reprod.",21.00,"PB","Originally entered as P. crinitus, but skull characteristics ID as P. truei",90.00,24.00,22.00,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. truei except long tail for head-body length. Shaggy. No ear tag (Sarah tag #57)",,,,,,,,,
288,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus truei","R6","m","Collected","Male","Non-scrotal",20.50,"PB","Originally entered as P. crinitus, but skull characteristics ID as P. truei",97.00,23.00,26.00,"ID verified with external, skull and teeth characteristics, except long tail in relation to head-body. Ear>23 but shaggy. No ear tag (Sarah tag #53)",,,,,,,,,
289,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Reithrodontomys megalotis","R35","n","Released","Female","Non-reprod.",11.00,"PB","Grooved incisors",64.00,18.00,12.00,,,,,,,,,,
290,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Tamias rufus","R5","261","Ear tag","Male","Non-scrotal",,"Seed","No data entered for weight",90.00,30.00,15.00,,,,,,,,,,
291,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Tamias rufus","R13","261","Recap","Male","Non-scrotal",47.00,"Seed",,,,,,,,,,,,,,
292,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Tamias rufus","R1","2340","Collected","Female","Non-reprod.",47.00,"Seed",,85.00,32.00,16.00,"ID verified by skull measurements. Collected. Ear tag #2340 (Sarah tag #50)",,,,,,,,,
293,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Tamias rufus","R10","23??","Ear tag","Male","Non-scrotal",45.00,"Seed","Pale and orange, ran with tail out. Scab on end of broken end of tail",,31.00,12.00,,,,,,,,,,
294,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Tamias rufus","F61","o","Escape",,,,"PB",,,,,,,,,,,,,,
