"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27"
77,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus boylii","F33","2301","Recap","Male","Non-scrotal",17.00,"Seed",,,,,,,,,,,,,,
78,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus boylii","R2","2324","Ear tag","Male","Non-scrotal",22.50,"PB","noted as P. crinitus but last capture boylii",100.00,22.00,22.00,,,,,,,,,,
79,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus boylii","R2","2324","Recap","Male","Non-scrotal",21.50,"Seed","noted as P. crinitus but last capture boylii",,,,,,,,,,,,,
80,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus boylii","R2","2324","Recap","Male","Non-scrotal",22.50,"Seed","noted as P. crinitus but last capture boylii",,,,,,,,,,,,,
81,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus boylii","R3","2324","Recap","Male","Non-scrotal",20.50,"Seed","noted as 2326 but 2326 individual was collected the previous day, must be misread tag; given trapping record appears to be 2324",,,,,,,,,,,,,
82,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus boylii","R14","2326","Ear tag","Male","Non-scrotal",17.00,"Seed","Originally noted as P. crinitus but skull characteristics ID as P. boylii",93.00,22.00,19.00,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. boylii.Found half dead in trap - neck broken somehow. Collected. Ear tag #2326 (Sarah tag #51)",,,,,,,,,
83,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus boylii","R14","2326","Recap","Male","Non-scrotal",15.00,"PB","Originally noted as P. crinitus but skull characteristics ID as P. boylii",,,,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. boylii.Found half dead in trap - neck broken somehow. Collected. Ear tag #2326 (Sarah tag #51)",,,,,,,,,
84,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus boylii","R12","2326","Collected/Recap","Male","Non-scrotal",14.00,"Seed","collected (not marked so in notes, but in collected specimens with ""Found half dead in trap - neck broken somehow'). Originally noted as P. crinitus but skull characteristics ID as P. boylii",,,17.00,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. boylii.Found half dead in trap - neck broken somehow. Collected. Ear tag #2326 (Sarah tag #51)",,,,,,,,,
85,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus boylii","R7","2341","Ear tag","Female","Reprod.",24.50,"Seed",,90.00,21.00,21.00,,,,,,,,,,
86,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus boylii","R7","2341","Recap","Female","Reprod.",19.50,"PB",,,,,,,,,,,,,,
87,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus boylii","R9","2341","Recap","Female","Reprod.",19.50,"PB","Escaped when trying to collect",,,,,,,,,,,,,
88,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus boylii","R12","2343","Ear tag","Male","Non-scrotal",,"Seed","Escaped",93.00,23.00,17.00,,,,,,,,,,
89,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus boylii","R9","2391","Ear tag","Female","Non-reprod.",17.50,"Seed","short tail tuft. Cut lip. Originally noted as P. crinitus but skull characteristics ID as P. boylii",96.00,20.00,20.00,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. boylii. Buff sides, grey back. Ear tag #2391 (Sarah tag #58)",,,,,,,,,
90,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus boylii","R11","2391","Collected","Female","Non-reprod.",16.50,"Seed","Originally noted as P. crinitus but skull characteristics ID as P. boylii",94.00,23.00,21.00,"Original ID was P. crinitus, but almost all external, skull, and teeth characteristics suggest P. boylii. Buff sides, grey back. Ear tag #2391 (Sarah tag #58)",,,,,,,,,
91,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus boylii","F30","f","Released","Female","Non-reprod.",19.00,"Seed","Broken tail",,21.00,17.00,,,,,,,,,,
92,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Riparian","Peromyscus truei","W8","267","Ear tag","Female","Non-reprod.",19.00,"Seed",,88.00,23.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
93,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F57","269","Ear tag","Female","Non-reprod.",16.00,"Seed",,82.00,22.00,21.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
94,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F57","269","Recap","Female","Non-reprod.",14.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
95,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F56","269","Recap","Female","Non-reprod.",15.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
96,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F71","2302","Ear tag","Male","Non-scrotal",18.00,"Seed",,85.00,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
97,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F69","2302","Recap","Male","Non-scrotal",19.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
98,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F68","2302","Recap","Male","Non-scrotal",17.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
99,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F74","2302","Recap","Male","Non-scrotal",16.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
100,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F41","2304","Ear tag","Male","Non-scrotal",19.00,"Seed",,94.00,22.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
101,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F39","2304","Recap","Male","Non-scrotal",18.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
102,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F42","2304","Recap","Male","Non-scrotal",16.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
103,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Meadow","Peromyscus truei","M5","2306","Ear tag","Female","Non-reprod.",18.50,"Seed",,80.00,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
104,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Meadow","Peromyscus truei","M7","2306","Recap","Female","Non-reprod.",18.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
105,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Meadow","Peromyscus truei","M7","2306","Recap","Female","Non-reprod.",16.50,"Seed","Ear=HF",,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
106,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Meadow","Peromyscus truei","M23","2308","Ear tag","Female","Non-reprod.",,"Seed","Escaped",82.00,22.50,,"Original ID was P crinitus. Tail length suggests probably P. truei",,,,,,,,,
107,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Meadow","Peromyscus truei","M23","2308","Recap","Female","Non-reprod.",15.50,"Seed",,,,,"Original ID was P crinitus. Tail length suggests probably P. truei",,,,,,,,,
108,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Meadow","Peromyscus truei","M21","2308","Recap","Female","Non-reprod.",14.00,"PB",,,,,"Original ID was P crinitus. Tail length suggests probably P. truei",,,,,,,,,
109,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F75","2314","Ear tag","Male","Non-scrotal",19.50,"PB",,84.00,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
110,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F75","2314","Recap","Male","Non-scrotal",18.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
111,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F75","2314","Recap","Male","Non-scrotal",18.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
112,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F75","2314","Recap","Male","Non-scrotal",19.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
113,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F72","2315","Ear tag","Female","Non-reprod.",19.00,"PB",,91.00,24.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
114,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F71","2315","Recap","Female","Non-reprod.",19.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
115,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F72","2315","Recap","Female","Non-reprod.",18.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
116,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F69","2315","Recap","Female","Non-reprod.",17.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
117,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F16","2317","Ear tag","Female","Non-reprod.",19.50,"Seed",,91.00,22.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
118,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F63","2318","Ear tag","Male","Non-scrotal",18.50,"Seed",,92.00,22.00,21.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
119,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F63","2318","Recap","Male","Non-scrotal",16.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
120,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F65","2318","Recap","Male","Non-scrotal",16.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
121,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F66","2318","Recap","Male","Non-scrotal",16.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
122,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F54","2319","Ear tag","Male","Non-scrotal",20.00,"Seed",,86.00,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
123,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F51","2319","Recap","Male","Non-scrotal",17.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
124,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F52","2319","Recap","Male","Non-scrotal",17.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
125,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F46","2319","Recap","Male","Non-scrotal",16.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
126,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F52","2319","Recap","Male","Non-scrotal",,"Seed","Escaped",,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
127,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Riparian","Peromyscus truei","W1","2333","Ear tag","Female","Non-reprod.",19.00,"Seed",,86.00,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
128,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus boylii","F55","2337","Ear tag","Female","Non-reprod.",18.00,"Seed",,85.00,22.00,20.00,"Original ID was P crinitus. Ear and tail length similar to P. boylii in prev capture (tag 2301)",,,,,,,,,
129,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus boylii","F55","2337","Recap","Female","Non-reprod.",16.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length similar to P. boylii in prev capture (tag 2301)",,,,,,,,,
130,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F58","2338","Ear tag","Male","Non-scrotal",23.00,"Seed",,77.00,22.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
131,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F56","2338","Recap","Male","Non-scrotal",21.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
132,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F22","2347","Ear tag","Male","Non-scrotal",17.00,"Seed",,93.00,22.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
133,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F19","2347","Recap","Male","Non-scrotal",16.50,"Seed","Tag misread since this is a recap but no 2367 ear tag exists; from trapping record appears to be 2347",,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
134,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F20","2347","Recap","Male","Non-scrotal",16.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
135,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F20","2347","Recap","Male","Non-scrotal",18.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
136,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus crinitus","F32","2348","Ear tag","Female","Non-reprod.",17.50,"Seed",,78.00,22.00,19.00,,,,,,,,,,
137,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus crinitus","F32","2348","Recap","Female","Non-reprod.",15.50,"Seed",,,,,,,,,,,,,,
138,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus crinitus","F32","2348","Recap","Female","Non-reprod.",14.50,"Seed",,,,,,,,,,,,,,
139,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus crinitus","F27","2348","Recap","Female","Non-reprod.",13.50,"Seed",,,,,,,,,,,,,,
140,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus crinitus","F31","2348","Recap","Female","Non-reprod.",14.00,"Seed",,,,,,,,,,,,,,
141,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus truei","R1","2378","Ear tag","Female","Non-reprod.",23.50,"PB",,85.00,21.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
142,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus truei","R1","2378","Recap","Female","Non-reprod.",21.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
143,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus truei","R8","2378","Recap","Female","Non-reprod.",21.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
144,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus truei","R6","2378","Recap","Female","Non-reprod.",20.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
145,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus truei","R1","2378","Recap","Female","Non-reprod.",21.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
146,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Riparian","Peromyscus truei","W14","2381","Ear tag","Male","Non-scrotal",23.00,"Seed",,85.00,22.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
147,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Riparian","Peromyscus truei","W12","2381","Recap","Male","Non-scrotal",23.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
148,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Riparian","Peromyscus truei","W12","2381","Recap","Male","Non-scrotal",22.00,"Seed","Very shaggy",,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
149,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F22","2383","Ear tag","Male","Non-scrotal",19.00,"Seed",,82.00,22.00,21.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
150,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F17","2383","Recap","Male","Non-scrotal",17.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
151,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F16","2383","Recap","Male","Non-scrotal",19.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
152,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F15","2383","Recap","Male","Non-scrotal",17.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
153,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F16","2383","Recap","Male","Non-scrotal",21.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
154,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F29","2384","Ear tag","Female","Non-reprod.",25.00,"Seed",,94.00,22.50,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
155,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F28","2384","Recap","Female","Non-reprod.",25.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
156,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F27","2384","Recap","Female","Non-reprod.",23.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
157,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F27","2384","Recap","Female","Non-reprod.",23.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
158,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus truei","F27","2385","Ear tag","Male","Non-scrotal",21.50,"PB",,87.00,23.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
159,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus truei","F27","2385","Recap","Male","Non-scrotal",18.00,"PB","Pectoral spot",,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
160,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus truei","F30","2385","Recap","Male","Non-scrotal",20.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
161,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Peromyscus truei","F27","2385","Recap","Male","Non-scrotal",18.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
162,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F27","2385","Recap","Male","Non-scrotal",18.50,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
163,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus truei","R3","2390","Ear tag","Male","Non-scrotal",15.50,"Seed",,74.00,22.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
164,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus truei","R7","2390","Recap","Male","Non-scrotal",16.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
165,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus truei","R6","2390","Recap","Male","Non-scrotal",15.00,"PB",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
166,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus truei","R2","2390","Recap","Male","Non-scrotal",14.00,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
167,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus boylii","R9","2392","Ear tag","Male","Non-scrotal",25.50,"PB",,102.00,23.00,20.00,"Originially described as P crinitus. From tail and ear length and comment on 14 Aug probably boylii.",,,,,,,,,
168,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus boylii","R9","2392","Recap","Male","Non-scrotal",22.00,"PB","Lost end of tail in trap",,,,"Originially described as P crinitus. From tail and ear length and comment on 14 Aug probably boylii.",,,,,,,,,
169,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus boylii","R16","2392","Recap","Male","Non-scrotal",,"PB","Escaped. P boylii?",,,,"Originially described as P crinitus. From tail and ear length and comment on 14 Aug probably boylii.",,,,,,,,,
170,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus boylii","R9","2392","Recap","Male","Non-scrotal",17.00,"PB","Chopped off tail",,,,"Originially described as P crinitus. From tail and ear length and comment on 14 Aug probably boylii.",,,,,,,,,
171,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus boylii","R13","2393","Ear tag","Male","Non-scrotal",22.00,"Seed",,100.00,23.00,22.00,"Originially described as P crinitus. From tail length probably boylii.",,,,,,,,,
172,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus boylii","R8","2393","Recap","Male","Non-scrotal",20.00,"PB",,,,,"Originially described as P crinitus. From tail length probably boylii.",,,,,,,,,
173,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus boylii","R8","2393","Recap","Male","Non-scrotal",18.00,"Seed",,,,,"Originially described as P crinitus. From tail length probably boylii.",,,,,,,,,
174,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus boylii","R8","2393","Recap","Male","Non-scrotal",19.50,"Seed",,,,,"Originially described as P crinitus. From tail length probably boylii.",,,,,,,,,
175,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus boylii","R8","2393","Recap","Male","Non-scrotal",18.50,"Seed",,,,,"Originially described as P crinitus. From tail length probably boylii.",,,,,,,,,
176,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Rocky","Peromyscus truei","R15","2394","Ear tag","Male","Non-scrotal",22.50,"Seed",,81.00,23.00,22.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
177,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Peromyscus truei","R15","2394","Recap","Male","Non-scrotal",21.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
178,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Peromyscus truei","R16","2394","Recap","Male","Non-scrotal",18.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
179,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus truei","R10","2394","Recap","Male","Non-scrotal",18.50,"Seed",,,,,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
180,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Peromyscus truei","F31","g","Released","Female","Non-reprod.",18.50,"PB",,85.00,22.00,23.00,"Original ID was P crinitus. Ear and tail length suggests probably P. truei",,,,,,,,,
181,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Peromyscus maniculatus","F5","264","Ear tag","Male","Non-scrotal",15.50,"Seed",,66.00,19.00,17.00,,,,,,,,,,
182,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Forest","Peromyscus maniculatus","F2","264","Recap","Male","Non-scrotal",17.00,"PB",,,,,,,,,,,,,,
