"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","ID notes"
131,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M105","371","371","Recap","Male","Non-scrotal",41.00,"Seed",,,,,
132,7/9/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F29","372","372","Marked","Male","Non-scrotal",41.00,"Seed",,,,,
133,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F27","372","372","Recap","Male","Non-scrotal",38.00,"Seed",,,,,
134,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M21","373","373","Marked","Male","Non-scrotal",43.50,"Seed",,,,,
135,7/8/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F7","375","375","Marked","Female","Non-reprod.",48.00,"Seed",,,,,
136,7/10/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F2","375","375","Recap","Female","Non-reprod.",59.00,"Seed",,,,,
137,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F7","375","375","Recap","Female","Non-reprod.",48.00,"PB","Stubbed tail",,,,
138,7/11/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F29","379","379","Marked","Male","Non-scrotal",44.00,"Seed",,,,,
139,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F22","379","379","Recap","Male","Non-scrotal",45.00,"Seed",,,,,
140,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M93","380","380","Marked","Female","Reproductive",46.50,"PB",,,,,
141,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M95","380","380","Recap","Female","Reproductive",48.00,"Seed",,,,,
142,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M65","381","381","Marked","Female","Non-reprod.",45.00,"Seed",,,,,
143,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M53","381","381","Recap","Female","Non-reprod.",46.00,"Seed",,,,,
144,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M55","381","381","Recap","Female","Non-reprod.",46.00,"Seed",,,,,
145,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M4","393","393","Marked","Female","Non-reprod.",42.00,"PB",,,,,
146,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M1","393","393","Recap","Female","Non-reprod.",43.00,"Seed",,,,,
147,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M47","394","394","Marked","Male","X",42.50,"Seed",,,,,
148,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M55","394","394","Recap","Male","X",41.50,"Seed",,,,,
150,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F1","--","o","New","Female","Non-reprod.",42.00,"Seed",,,,,
151,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F18","--","p","New","Male","Scrotal",43.00,"Seed",,,,,
152,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F29","--","q","New","Male","Non-scrotal",44.00,"Seed",,,,,
153,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M34","--","r","New","Male","Non-scrotal",41.00,"Seed","Stubbed tail",,,,
154,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M52","--","s","New","Male","Non-scrotal",42.00,"Seed",,,,,
155,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M65","--","t","New","Female","Reproductive",50.00,"PB",,,,,
156,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M70","--","u","New","Female","Non-reprod.",42.00,"Seed",,,,,
157,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M72","--","v","New","Female","Reproductive",49.00,"PB",,,,,
158,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M84","--","w","New","Male","Non-scrotal",42.00,"Seed",,,,,
159,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M85","--","x","New","Female","Reproductive",51.00,"Seed",,,,,
160,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M99","--","y","New","Female","Non-reprod.",45.00,"PB",,,,,
161,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M103","--","z","New","Female","Reproductive",47.00,"Seed",,,,,
162,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M113","--","aa","New","Female","Non-reprod.",,"PB",,,,,
163,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M115","--","bb","New","Male","Non-scrotal",40.00,"Seed",,,,,
164,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M117","--","cc","New","Female","Reproductive",51.00,"Seed",,,,,
165,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M118","--","dd","New","?","?",,"Seed","Escaped",,,,
169,7/11/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F14","none","ee","Escape","Male","Non-scrotal",,"Seed","Escaped weighing",,,,
