"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
51,7/21/2012 0:00:00,"556H","JB","F20","Seed","Peromyscus maniculatus",3713.00,"3713","Recap","Male","Scrotal",,,,17.50,,
52,7/22/2012 0:00:00,"556H","SK","F22","Seed","Peromyscus maniculatus",3713.00,"3713","Recap","Male","Scrotal",,,,17.00,,
53,7/18/2012 0:00:00,"556H","SK","F4","Seed","Peromyscus maniculatus",3714.00,"3714","Ear tag","Female","Reprod.",66.00,20.00,18.00,26.00,,
54,7/19/2012 0:00:00,"556H","JH","F3","Seed","Peromyscus maniculatus",3714.00,"3714","Recap","Female","Reprod.",,,,,"Escaped before ear tag read or mass taken. Most likely 3714 from trap and sex.",
55,7/20/2012 0:00:00,"556H","JH","F6","Seed","Peromyscus maniculatus",3714.00,"3714","Recap","Female","Reprod.",,,,29.50,,
56,7/19/2012 0:00:00,"556H","SK","M12","PB","Callospermophilus lateralis",3707.00,"3707","Ear tag","Male","Non-scrotal",105.00,40.00,19.00,151.00,,
57,7/20/2012 0:00:00,"556H","SK","M25","PB","Callospermophilus lateralis",3804.00,"3804","Ear tag","Male","Non-scrotal",101.00,38.00,20.00,128.00,,
58,7/20/2012 0:00:00,"556H","JH","M27","Seed","Callospermophilus lateralis",3807.00,"3807","Ear tag","Male","Non-scrotal",115.00,40.00,18.00,162.00,,
59,7/19/2012 0:00:00,"556H","JB","M18","PB","Callospermophilus lateralis",3823.00,"3823","Ear tag","Male","Non-scrotal",99.00,39.00,20.00,115.00,,
60,7/19/2012 0:00:00,"556H","JH","M17","PB","Callospermophilus lateralis",3824.00,"3824","Ear tag","Male","Non-scrotal",101.00,41.00,15.00,136.00,,
61,7/21/2012 0:00:00,"556H","JB","M31","PB","Callospermophilus lateralis",3870.00,"3870","Ear tag","Female","Non-reprod.",90.00,39.00,18.00,127.00,,
62,7/22/2012 0:00:00,"556H","JH","M19","PB","Callospermophilus lateralis",3870.00,"3870","Recap","Female","Non-reprod.",,,,130.00,,
63,7/21/2012 0:00:00,"556H","SY","M30","PB","Callospermophilus lateralis",3871.00,"3871","Ear tag","Male","Non-scrotal",96.00,42.00,20.00,131.00,,
64,7/19/2012 0:00:00,"556H","JH","M28","Seed","Microtus sp.",,"a","New; Collected","Male","Non-scrotal",,18.00,12.00,31.00,"Tail broken near tip",
65,7/20/2012 0:00:00,"556H","SK","M1","Seed","Microtus sp.",,"b","New; Collected","Male","Non-scrotal",35.00,27.00,14.00,32.50,,
66,7/20/2012 0:00:00,"556H","JB","M2","PB","Microtus sp.",,"c","New; Collected","Male","Non-scrotal",29.00,15.00,13.00,13.00,,
67,7/20/2012 0:00:00,"556H","SK","M28","Seed","Microtus sp.",,"d","New; Collected","Female","Reprod.",42.00,17.00,13.00,34.00,,
68,7/20/2012 0:00:00,"556H","JB","M29","Seed","Microtus sp.",,"e","New; Collected","Female","Non-reprod.",28.00,16.00,16.00,12.00,,
69,7/20/2012 0:00:00,"556H","JH","M30","Seed","Microtus sp.",,"f","New; Collected","Female","Non-reprod.",27.00,17.00,9.00,13.00,,
70,7/20/2012 0:00:00,"556H","SK","M35","PB","Phenacomys intermedius",,"g","Dead in trap; collected","Female","Non-reprod.",26.00,15.00,17.00,8.00,,"Originally called Microtus sp. ID verified with skull"
71,7/20/2012 0:00:00,"556H","SK","M36","Seed","Microtus sp.",,"h","Dead in trap; collected","Female","Reprod.",40.00,16.00,14.00,27.00,,
72,7/21/2012 0:00:00,"556H","SK","M1","Seed","Microtus sp.",,"i","New; Collected","Female","Non-reprod.",26.00,18.00,8.00,12.00,,
73,7/21/2012 0:00:00,"556H","SY","M29","Seed","Microtus sp.",,"j","New; Collected","Female","Non-reprod.",31.00,17.00,10.00,12.00,,
74,7/21/2012 0:00:00,"556H","JB","F4","PB","Peromyscus maniculatus",3714.00,"3714","Recap","Female","Reprod.",,,,29.50,,
75,7/22/2012 0:00:00,"556H","JB","F5","Seed","Peromyscus maniculatus",3714.00,"3714","Recap","Female","Reprod.",,,,22.50,,
76,7/18/2012 0:00:00,"556H","JH","W2","PB","Peromyscus maniculatus",3715.00,"3715","Ear tag","Male","Scrotal",74.00,20.00,16.00,17.00,,
77,7/20/2012 0:00:00,"556H","SY","W3","PB","Peromyscus maniculatus",3715.00,"3715","Recap","Male","Scrotal",,,,20.50,,
78,7/21/2012 0:00:00,"556H","SY","W5","Seed","Peromyscus maniculatus",3715.00,"3715","Recap","Male","Scrotal",,,,18.00,"More bulge on one side",
79,7/18/2012 0:00:00,"556H","SY","F74","Seed","Peromyscus maniculatus",3716.00,"3716","Ear tag","Female","Reprod.",75.00,18.00,16.00,19.00,,
80,7/19/2012 0:00:00,"556H","JH","F72","Seed","Peromyscus maniculatus",3716.00,"3716","Recap","Female","Reprod.",,,,20.00,,
81,7/20/2012 0:00:00,"556H","JH","F76","Seed","Peromyscus maniculatus",3716.00,"3716","Recap","Female","Reprod.",,,,17.00,,
82,7/21/2012 0:00:00,"556H","JB","F68","Seed","Peromyscus maniculatus",3716.00,"3716","Recap","Female","Reprod.",,,,19.50,,
83,7/22/2012 0:00:00,"556H","JH","F68","Seed","Peromyscus maniculatus",3716.00,"3716","Recap","Female","Reprod.",,,,18.00,,
84,7/18/2012 0:00:00,"556H","JB","M26","Seed","Peromyscus maniculatus",3717.00,"3717","Ear tag","Male","Scrotal",64.00,18.00,16.00,16.50,,
85,7/19/2012 0:00:00,"556H","SY","M25","Seed","Peromyscus maniculatus",3717.00,"3717","Recap","Male","Scrotal",,,,14.50,,
86,7/20/2012 0:00:00,"556H","JB","M26","Seed","Peromyscus maniculatus",3717.00,"3717","Recap","Male","Scrotal",,,,16.00,,
87,7/21/2012 0:00:00,"556H","SK","M25","Seed","Peromyscus maniculatus",3717.00,"3717","Recap","Male","Scrotal",,,,14.50,,
88,7/19/2012 0:00:00,"556H","SY","W15","PB","Peromyscus maniculatus",3801.00,"3801","Ear tag","Female","Reprod.",72.00,19.00,16.50,23.00,,
89,7/20/2012 0:00:00,"556H","SK","W16","Seed","Peromyscus maniculatus",3801.00,"3801","Recap","Female","Reprod.",,,,21.00,,
90,7/21/2012 0:00:00,"556H","JB","W14","Seed","Peromyscus maniculatus",3801.00,"3801","Recap","Female","Reprod.",,,,22.00,,
91,7/22/2012 0:00:00,"556H","JB","W14","Seed","Peromyscus maniculatus",3801.00,"3801","Recap","Female","Reprod.",,,,19.00,,
92,7/19/2012 0:00:00,"556H","JB","F11","PB","Peromyscus maniculatus",3802.00,"3802","Ear tag","Male","Scrotal",75.00,21.00,18.00,22.00,"Slightly scrotal",
93,7/20/2012 0:00:00,"556H","JB","F9","PB","Peromyscus maniculatus",3802.00,"3802","Recap","Male","Scrotal",,,,24.50,,
94,7/21/2012 0:00:00,"556H","JH","F17","Seed","Peromyscus maniculatus",3802.00,"3802","Recap","Male","Scrotal",,,,21.50,,
95,7/22/2012 0:00:00,"556H","SK","F11","Seed","Peromyscus maniculatus",3802.00,"3802","Recap","Male","Scrotal",,,,23.00,,
96,7/20/2012 0:00:00,"556H","SK","F80","Seed","Peromyscus maniculatus",3803.00,"3803","Ear tag","Female","Non-reprod.",65.00,19.00,17.00,18.50,,
97,7/22/2012 0:00:00,"556H","JB","F79","PB","Peromyscus maniculatus",3803.00,"3803","Recap","Female","Non-reprod.",,,,20.50,,
98,7/19/2012 0:00:00,"556H","SY","F23","Seed","Peromyscus maniculatus",3805.00,"3805","Ear tag","Male","Scrotal",64.00,20.00,17.00,19.00,,
99,7/20/2012 0:00:00,"556H","SY","F30","Seed","Peromyscus maniculatus",3805.00,"3805","Recap","Male","Scrotal",,,,18.00,,
100,7/21/2012 0:00:00,"556H","SY","F28","Seed","Peromyscus maniculatus",3805.00,"3805","Recap","Male","Scrotal",,,,16.50,,
101,7/19/2012 0:00:00,"556H","JB","F30","Seed","Peromyscus maniculatus",3806.00,"3806","Ear tag","Male","Non-scrotal",68.00,18.00,16.00,17.00,,
102,7/21/2012 0:00:00,"556H","JB","F35","PB","Peromyscus maniculatus",3806.00,"3806","Recap","Male","Non-scrotal",,,,14.00,"Has a definite bulge today. Changed to non-scrotal as called that day before and day after",
103,7/22/2012 0:00:00,"556H","JH","F51","Seed","Peromyscus maniculatus",3806.00,"3806","Recap","Male","Non-scrotal",,,,18.50,,
104,7/20/2012 0:00:00,"556H","SY","M22","Seed","Peromyscus maniculatus",3808.00,"3808","Ear tag","Male","Scrotal",64.00,19.00,17.00,18.00,,
105,7/21/2012 0:00:00,"556H","SY","M24","Seed","Peromyscus maniculatus",3808.00,"3808","Recap","Male","Scrotal",,,,16.50,,
106,7/22/2012 0:00:00,"556H","JB","M25","Seed","Peromyscus maniculatus",3808.00,"3808","Recap","Male","Scrotal",,,,14.50,,
107,7/20/2012 0:00:00,"556H","SK","W2","PB","Peromyscus maniculatus",3810.00,"3810","Ear tag","Male","Scrotal",71.00,21.00,17.00,24.00,,
108,7/22/2012 0:00:00,"556H","JH","W5","Seed","Peromyscus maniculatus",3810.00,"3810","Recap","Male","Scrotal",,,,21.00,,
109,7/20/2012 0:00:00,"556H","SY","F68","Seed","Peromyscus maniculatus",3811.00,"3811","Ear tag","Male","Non-scrotal",67.00,19.00,16.00,16.50,"Originally entered as F NR",
110,7/21/2012 0:00:00,"556H","SY","F71","PB","Peromyscus maniculatus",3811.00,"3811","Recap","Male","Non-scrotal",,,,16.00,"Double-checked sex",
111,7/22/2012 0:00:00,"556H","SK","F69","Seed","Peromyscus maniculatus",3811.00,"3811","Recap","Male","Non-scrotal",,,,15.50,,
112,7/20/2012 0:00:00,"556H","JH","M17","Seed","Peromyscus maniculatus",3815.00,"3815","Ear tag","Female","Non-reprod.",52.00,19.00,18.00,12.00,,
113,7/21/2012 0:00:00,"556H","JH","M20","Seed","Peromyscus maniculatus",3815.00,"3815","Recap","Female","Non-reprod.",,,,12.00,,
114,7/19/2012 0:00:00,"556H","SY","F64","Seed","Peromyscus maniculatus",3816.00,"3816","Ear tag","Female","Non-reprod.",70.00,19.00,16.00,13.00,"Called R in hand, but NR on subsequent captures",
115,7/20/2012 0:00:00,"556H","SY","F56","Seed","Peromyscus maniculatus",3816.00,"3816","Recap","Female","Non-reprod.",,,,13.50,,
116,7/21/2012 0:00:00,"556H","JB","F60","PB","Peromyscus maniculatus",3816.00,"3816","Recap","Female","Non-reprod.",,,,15.50,,
117,7/22/2012 0:00:00,"556H","SK","F59","Seed","Peromyscus maniculatus",3816.00,"3816","Recap","Female","Non-reprod.",,,,16.00,,
