spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1450,2650,1450,2550,1450,2600,1,50,SJ,all,2,H
2,2250,3700,2550,3700,2500,3700,1,50,SJ,all,2,H
3,2100,2500,NA,NA,NA,NA,1,50,SJ,all,2,H
4,1450,2750,1450,2600,1450,2650,1,50,SJ,all,2,H
5,1450,3250,1450,3150,1450,3200,1,50,SJ,all,2,H
6,1950,2550,2000,2500,2000,2500,1,50,SJ,all,2,H
7,1450,2900,1550,2850,1500,2900,1,50,SJ,all,2,H
8,1450,3200,1450,2900,1450,2950,1,50,SJ,all,2,H
9,1750,2600,1900,2550,1850,2600,1,50,SJ,all,2,H
10,NA,NA,NA,NA,NA,NA,1,50,SJ,all,2,H
11,1500,3050,1650,2900,1600,2950,1,50,SJ,all,2,H
12,1450,2700,1450,2600,1450,2650,1,50,SJ,all,2,H
13,2450,2750,2600,2600,2550,2650,1,50,SJ,all,2,H
14,1750,3000,2000,2850,2000,2850,1,50,SJ,all,2,H
15,2250,3700,2250,3450,2200,3550,1,50,SJ,all,2,H
16,1450,2700,1450,2600,1450,2650,1,50,SJ,all,2,H
17,2650,3700,2850,3700,2750,3700,1,50,SJ,all,2,H
18,1950,2500,1950,2200,1950,2250,1,50,SJ,all,2,H
19,2050,3700,2150,3700,2100,3700,1,50,SJ,all,2,H
20,1450,2800,1450,2250,1450,2300,1,50,SJ,all,2,H
21,1800,2550,1850,2550,1800,2550,1,50,SJ,all,2,H
22,2300,2300,NA,NA,NA,NA,1,50,SJ,all,2,H
23,2650,3700,2700,3700,2650,3700,1,50,SJ,all,2,H
24,1800,3200,2100,2900,2000,3000,1,50,SJ,all,2,H
25,2200,3700,2250,3700,2200,3700,1,50,SJ,all,2,H
26,1450,2550,1450,2550,1450,2550,1,50,SJ,all,2,H
27,1450,2850,1450,2850,1450,2900,1,50,SJ,all,2,H
28,1450,2400,1450,1650,1450,1750,1,50,SJ,all,2,H
29,1450,3100,1500,3050,1450,3100,1,50,SJ,all,2,H
30,1650,3200,1800,3150,1750,3200,1,50,SJ,all,2,H
1,1450,2650,1450,2550,1450,2600,2,50,SJ,all,2,H
2,2250,3700,2500,3700,2450,3700,2,50,SJ,all,2,H
3,2100,2500,2350,2350,2300,2400,2,50,SJ,all,2,H
4,1450,2750,1450,2600,1450,2650,2,50,SJ,all,2,H
5,1450,3250,1450,3150,1450,3200,2,50,SJ,all,2,H
6,1950,2550,2000,2550,2000,2550,2,50,SJ,all,2,H
7,1450,2900,1450,2850,1450,2900,2,50,SJ,all,2,H
8,1450,3200,1450,3150,1450,3200,2,50,SJ,all,2,H
9,1750,2600,1950,2600,1900,2650,2,50,SJ,all,2,H
10,NA,NA,NA,NA,NA,NA,2,50,SJ,all,2,H
11,1500,3050,1650,2900,1600,2950,2,50,SJ,all,2,H
12,1450,2700,1450,2600,1450,2650,2,50,SJ,all,2,H
13,2450,2750,2600,2600,2550,2650,2,50,SJ,all,2,H
14,1750,3000,2000,2850,2000,2850,2,50,SJ,all,2,H
15,2250,3700,2250,3700,2200,3700,2,50,SJ,all,2,H
16,1450,2700,1450,2600,1450,2650,2,50,SJ,all,2,H
17,2650,3700,2700,3700,2600,3700,2,50,SJ,all,2,H
18,1950,2500,1950,2400,1950,2400,2,50,SJ,all,2,H
19,2050,3700,2100,3450,2050,3500,2,50,SJ,all,2,H
20,1450,2800,1450,2450,1450,2500,2,50,SJ,all,2,H
21,1800,2550,1850,2550,1800,2600,2,50,SJ,all,2,H
22,2300,2300,NA,NA,NA,NA,2,50,SJ,all,2,H
23,2650,3700,2700,3700,2650,3700,2,50,SJ,all,2,H
24,1800,3200,1900,2900,1850,2950,2,50,SJ,all,2,H
25,2200,3700,2250,3700,2200,3700,2,50,SJ,all,2,H
26,1450,2550,1450,2550,1450,2550,2,50,SJ,all,2,H
27,1450,2850,1450,2700,1450,2750,2,50,SJ,all,2,H
28,1450,2400,1450,2350,1450,2450,2,50,SJ,all,2,H
29,1450,3100,1500,3050,1450,3100,2,50,SJ,all,2,H
30,1650,3200,1950,3150,1950,3200,2,50,SJ,all,2,H
1,1450,2650,1450,2600,1450,2650,3,50,SJ,all,2,H
2,2250,3700,2500,3700,2450,3700,3,50,SJ,all,2,H
3,2100,2500,2250,2250,2200,2300,3,50,SJ,all,2,H
4,1450,2750,1450,2600,1450,2650,3,50,SJ,all,2,H
5,1450,3250,1450,3150,1450,3200,3,50,SJ,all,2,H
6,1950,2550,2000,2500,2000,2500,3,50,SJ,all,2,H
7,1450,2900,1450,2850,1450,2900,3,50,SJ,all,2,H
8,1450,3200,1450,3150,1450,3200,3,50,SJ,all,2,H
9,1750,2600,1950,2600,1900,2650,3,50,SJ,all,2,H
10,NA,NA,NA,NA,NA,NA,3,50,SJ,all,2,H
11,1500,3050,1500,2850,1450,2900,3,50,SJ,all,2,H
12,1450,2700,1450,2500,1450,2550,3,50,SJ,all,2,H
13,2450,2750,2600,2600,2550,2650,3,50,SJ,all,2,H
14,1750,3000,2000,2850,2000,2850,3,50,SJ,all,2,H
15,2250,3700,2250,3700,2200,3700,3,50,SJ,all,2,H
16,1450,2700,1450,2600,1450,2650,3,50,SJ,all,2,H
17,2650,3700,2850,3450,2750,3550,3,50,SJ,all,2,H
18,1950,2500,1950,2200,1950,2250,3,50,SJ,all,2,H
19,2050,3700,2100,3700,2050,3700,3,50,SJ,all,2,H
20,1450,2800,1450,2450,1450,2500,3,50,SJ,all,2,H
21,1800,2550,1850,2500,1800,2550,3,50,SJ,all,2,H
22,2300,2300,NA,NA,NA,NA,3,50,SJ,all,2,H
23,2650,3700,2700,3700,2650,3700,3,50,SJ,all,2,H
24,1800,3200,1850,2850,1800,2950,3,50,SJ,all,2,H
25,2200,3700,2300,3700,2250,3700,3,50,SJ,all,2,H
26,1450,2550,1450,2550,1450,2550,3,50,SJ,all,2,H
27,1450,2850,1450,2750,1450,2800,3,50,SJ,all,2,H
28,1450,2400,1900,2350,1850,2400,3,50,SJ,all,2,H
29,1450,3100,1500,3050,1450,3100,3,50,SJ,all,2,H
30,1650,3200,2000,3150,1950,3200,3,50,SJ,all,2,H
1,1450,2650,1450,2600,1450,2650,4,50,SJ,all,2,H
2,2250,3700,2550,3700,2500,3700,4,50,SJ,all,2,H
3,2100,2500,2350,2350,2300,2400,4,50,SJ,all,2,H
4,1450,2750,1450,2600,1450,2650,4,50,SJ,all,2,H
5,1450,3250,1450,3150,1450,3200,4,50,SJ,all,2,H
6,1950,2550,2000,2550,2000,2550,4,50,SJ,all,2,H
7,1450,2900,1450,2850,1450,2950,4,50,SJ,all,2,H
8,1450,3200,1450,2900,1450,2950,4,50,SJ,all,2,H
9,1750,2600,1800,2600,1750,2650,4,50,SJ,all,2,H
10,NA,NA,NA,NA,NA,NA,4,50,SJ,all,2,H
11,1500,3050,1650,2900,1600,2950,4,50,SJ,all,2,H
12,1450,2700,1450,2500,1450,2550,4,50,SJ,all,2,H
13,2450,2750,2600,2600,2550,2650,4,50,SJ,all,2,H
14,1750,3000,2000,2850,2000,2850,4,50,SJ,all,2,H
15,2250,3700,2250,3450,2200,3550,4,50,SJ,all,2,H
