spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2000,2850,2000,2650,1950,2700,1,50,SJ,all,2,C
2,2150,3000,2200,2900,2150,2900,1,50,SJ,all,2,C
3,2250,3000,2250,2800,2200,2850,1,50,SJ,all,2,C
4,1950,3550,2000,3500,1950,3500,1,50,SJ,all,2,C
5,1600,3500,1700,3400,1650,3400,1,50,SJ,all,2,C
6,1500,1850,1500,1850,1500,1900,1,50,SJ,all,2,C
7,1500,2950,1500,2900,1500,2900,1,50,SJ,all,2,C
8,2450,2950,2600,2600,2600,2650,1,50,SJ,all,2,C
9,2000,3000,2100,2850,2100,2850,1,50,SJ,all,2,C
10,2350,3600,2350,3550,2350,3550,1,50,SJ,all,2,C
11,1500,2600,1500,2600,1500,2600,1,50,SJ,all,2,C
12,2150,3600,2150,3550,2150,3600,1,50,SJ,all,2,C
13,1650,2900,1800,2600,1750,2650,1,50,SJ,all,2,C
14,1500,3050,1500,3050,1500,3100,1,50,SJ,all,2,C
15,1550,2550,1750,2550,1700,2550,1,50,SJ,all,2,C
16,1500,2550,1500,2550,1500,2550,1,50,SJ,all,2,C
17,1500,2900,1750,2600,1700,2650,1,50,SJ,all,2,C
18,1500,2750,1500,2650,1500,2700,1,50,SJ,all,2,C
19,2250,3600,2350,3600,2350,3600,1,50,SJ,all,2,C
20,1500,2800,1500,2800,1500,2850,1,50,SJ,all,2,C
21,1500,2600,1500,2600,1500,2650,1,50,SJ,all,2,C
22,1900,3250,2000,3250,1950,3250,1,50,SJ,all,2,C
23,1500,3600,1500,3600,1500,3600,1,50,SJ,all,2,C
24,1500,2900,1500,2900,1500,2900,1,50,SJ,all,2,C
25,1500,2800,1500,2650,1500,2700,1,50,SJ,all,2,C
26,1500,2350,1500,2300,1500,2300,1,50,SJ,all,2,C
27,1500,3600,1500,3250,1500,3250,1,50,SJ,all,2,C
28,1750,3100,1750,3100,1700,3150,1,50,SJ,all,2,C
29,1500,2750,1500,2750,1500,2800,1,50,SJ,all,2,C
30,2250,2650,2350,2650,2350,2650,1,50,SJ,all,2,C
1,2000,2850,2000,2600,1950,2650,2,50,SJ,all,2,C
2,2150,3000,2200,2950,2150,3000,2,50,SJ,all,2,C
3,2250,3000,2250,2800,2200,2850,2,50,SJ,all,2,C
4,1950,3550,2000,3450,1950,3450,2,50,SJ,all,2,C
5,1600,3500,1700,3450,1650,3450,2,50,SJ,all,2,C
6,1500,1850,1500,1850,1500,1900,2,50,SJ,all,2,C
7,1500,2950,1500,2900,1500,2900,2,50,SJ,all,2,C
8,2450,2950,2600,2600,2600,2650,2,50,SJ,all,2,C
9,2000,3000,2200,2800,2150,2850,2,50,SJ,all,2,C
10,2350,3600,2350,3600,2350,3600,2,50,SJ,all,2,C
11,1500,2600,1500,2600,1500,2600,2,50,SJ,all,2,C
12,2150,3600,2250,3550,2200,3600,2,50,SJ,all,2,C
13,1650,2900,1750,2600,1700,2650,2,50,SJ,all,2,C
14,1500,3050,1500,3050,1500,3100,2,50,SJ,all,2,C
15,1550,2550,1750,2550,1700,2550,2,50,SJ,all,2,C
16,1500,2550,1500,2550,1500,2550,2,50,SJ,all,2,C
17,1500,2900,1750,2600,1700,2650,2,50,SJ,all,2,C
18,1500,2750,1500,2650,1500,2700,2,50,SJ,all,2,C
19,2250,3600,2400,3550,2400,3550,2,50,SJ,all,2,C
20,1500,2800,1500,2800,1500,2850,2,50,SJ,all,2,C
21,1500,2600,1500,2600,1500,2650,2,50,SJ,all,2,C
22,1900,3250,2000,3200,1950,3200,2,50,SJ,all,2,C
23,1500,3600,1500,3600,1500,3600,2,50,SJ,all,2,C
24,1500,2900,1500,2900,1500,2950,2,50,SJ,all,2,C
25,1500,2800,1500,2650,1500,2700,2,50,SJ,all,2,C
26,1500,2350,1500,2300,1500,2300,2,50,SJ,all,2,C
27,1500,3600,1500,3250,1500,3250,2,50,SJ,all,2,C
28,1750,3100,1750,3050,1700,3050,2,50,SJ,all,2,C
29,1500,2750,1500,2750,1500,2800,2,50,SJ,all,2,C
30,2250,2650,2250,2650,2250,2650,2,50,SJ,all,2,C
1,2000,2850,2050,2750,2050,2750,3,50,SJ,all,2,C
2,2150,3000,2200,2950,2150,3000,3,50,SJ,all,2,C
3,2250,3000,2250,2800,2250,2800,3,50,SJ,all,2,C
4,1950,3550,2000,3450,1950,3450,3,50,SJ,all,2,C
5,1600,3500,1750,3400,1700,3400,3,50,SJ,all,2,C
6,1500,1850,1500,1850,1500,1900,3,50,SJ,all,2,C
7,1500,2950,1500,2900,1500,2900,3,50,SJ,all,2,C
8,2450,2950,NA,NA,NA,NA,3,50,SJ,all,2,C
9,2000,3000,2100,2850,2050,2850,3,50,SJ,all,2,C
10,2350,3600,2350,3550,2350,3600,3,50,SJ,all,2,C
11,1500,2600,1500,2600,1500,2600,3,50,SJ,all,2,C
12,2150,3600,2250,3550,2200,3600,3,50,SJ,all,2,C
13,1650,2900,1800,2600,1750,2650,3,50,SJ,all,2,C
14,1500,3050,1500,3050,1500,3100,3,50,SJ,all,2,C
15,1550,2550,1700,2550,1650,2550,3,50,SJ,all,2,C
16,1500,2550,1500,2550,1500,2550,3,50,SJ,all,2,C
17,1500,2900,1750,2600,1700,2650,3,50,SJ,all,2,C
18,1500,2750,1500,2600,1500,2650,3,50,SJ,all,2,C
19,2250,3600,2400,3600,2400,3600,3,50,SJ,all,2,C
20,1500,2800,1500,2800,1500,2850,3,50,SJ,all,2,C
21,1500,2600,1500,2600,1500,2650,3,50,SJ,all,2,C
22,1900,3250,2000,3200,1950,3200,3,50,SJ,all,2,C
23,1500,3600,1500,3550,1500,3600,3,50,SJ,all,2,C
24,1500,2900,1500,2900,1500,2950,3,50,SJ,all,2,C
25,1500,2800,1500,2650,1500,2700,3,50,SJ,all,2,C
26,1500,2350,1500,2300,1500,2300,3,50,SJ,all,2,C
27,1500,3600,1500,3250,1500,3250,3,50,SJ,all,2,C
28,1750,3100,1750,3100,1700,3150,3,50,SJ,all,2,C
29,1500,2750,1500,2600,1500,2650,3,50,SJ,all,2,C
30,2250,2650,2350,2650,2350,2650,3,50,SJ,all,2,C
1,2000,2850,2050,2600,2050,2650,4,50,SJ,all,2,C
2,2150,3000,2200,2950,2150,3000,4,50,SJ,all,2,C
3,2250,3000,2500,2800,2450,2850,4,50,SJ,all,2,C
4,1950,3550,2000,3450,1950,3450,4,50,SJ,all,2,C
5,1600,3500,1750,3450,1700,3450,4,50,SJ,all,2,C
6,1500,1850,1500,1850,1500,1900,4,50,SJ,all,2,C
7,1500,2950,1500,2900,1500,2900,4,50,SJ,all,2,C
8,2450,2950,NA,NA,NA,NA,4,50,SJ,all,2,C
9,2000,3000,2100,2800,2050,2850,4,50,SJ,all,2,C
10,2350,3600,2350,3550,2350,3550,4,50,SJ,all,2,C
