spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2350,3000,2450,2900,2400,2950,1,50,FR,all,1,H
2,1500,2700,1500,2650,1500,2700,1,50,FR,all,1,H
3,2150,3450,2150,3400,2100,3400,1,50,FR,all,1,H
4,1500,2800,1550,2800,1500,2850,1,50,FR,all,1,H
5,1500,2450,1550,2250,1500,2300,1,50,FR,all,1,H
6,1500,2800,1500,2750,1500,2750,1,50,FR,all,1,H
7,1500,2850,1550,2850,1500,2850,1,50,FR,all,1,H
8,2150,3650,2250,3500,2250,3500,1,50,FR,all,1,H
9,1500,2800,1500,2750,1500,2800,1,50,FR,all,1,H
10,1950,2750,2050,2650,2000,2700,1,50,FR,all,1,H
11,1500,2800,1500,2650,1500,2650,1,50,FR,all,1,H
12,1700,2800,1700,2800,1700,2850,1,50,FR,all,1,H
13,1750,2900,2100,2850,2050,2850,1,50,FR,all,1,H
14,2100,2700,2200,2600,2150,2650,1,50,FR,all,1,H
15,1800,3550,1850,3450,1850,3500,1,50,FR,all,1,H
16,1550,2800,1600,2800,1550,2850,1,50,FR,all,1,H
17,1500,3100,1550,3000,1500,3050,1,50,FR,all,1,H
18,1500,2900,1500,2900,1500,2950,1,50,FR,all,1,H
19,1500,2750,1500,2750,1500,2800,1,50,FR,all,1,H
20,1500,2950,1500,2850,1500,2850,1,50,FR,all,1,H
21,2150,3700,2250,3600,2200,3650,1,50,FR,all,1,H
22,1500,2850,1550,2800,1500,2800,1,50,FR,all,1,H
23,2250,3000,2500,2800,2450,2800,1,50,FR,all,1,H
24,1500,2525,1500,2250,1500,2300,1,50,FR,all,1,H
25,1500,2700,1500,2650,1500,2650,1,50,FR,all,1,H
26,1500,2850,1500,2850,1500,2850,1,50,FR,all,1,H
27,1500,3700,1500,3650,1500,3700,1,50,FR,all,1,H
28,2350,3150,2550,3050,2500,3100,1,50,FR,all,1,H
29,1950,3100,2200,2950,2150,3000,1,50,FR,all,1,H
30,1500,2800,1550,2800,1500,2800,1,50,FR,all,1,H
31,2200,3150,2250,3050,2200,3100,1,50,FR,all,1,H
32,1500,2950,1550,2950,1500,3000,1,50,FR,all,1,H
33,2250,2900,2350,2900,2300,2950,1,50,FR,all,1,H
34,1550,3350,1600,3300,1550,3350,1,50,FR,all,1,H
35,2100,3100,2100,3050,2050,3100,1,50,FR,all,1,H
36,2050,3700,2150,3700,2100,3700,1,50,FR,all,1,H
