spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,NA,NA,NA,NA,NA,NA,1,100,SJ,all,0.5,C
2,2800,2800,NA,NA,NA,NA,1,100,SJ,all,0.5,C
3,1500,2500,1500,2400,1500,2400,1,100,SJ,all,0.5,C
4,1500,2800,1500,2800,1500,2800,1,100,SJ,all,0.5,C
5,2200,2600,2500,2500,2500,2500,1,100,SJ,all,0.5,C
6,1500,2600,1500,2300,1500,2300,1,100,SJ,all,0.5,C
7,1500,2800,1500,2800,1500,2800,1,100,SJ,all,0.5,C
8,1600,2600,1600,2600,1600,2600,1,100,SJ,all,0.5,C
9,2400,3400,2900,3300,2800,3300,1,100,SJ,all,0.5,C
10,1500,3600,1600,3600,1600,3600,1,100,SJ,all,0.5,C
11,1500,2600,1500,2600,1500,2700,1,100,SJ,all,0.5,C
12,1500,2400,1800,2000,1700,2000,1,100,SJ,all,0.5,C
13,1500,3000,1500,3000,1500,3000,1,100,SJ,all,0.5,C
14,1500,2800,NA,NA,NA,NA,1,100,SJ,all,0.5,C
15,1500,2500,1500,2500,1500,2500,1,100,SJ,all,0.5,C
16,1500,2400,1500,2300,1500,2300,1,100,SJ,all,0.5,C
17,1500,2400,1500,2400,1500,2400,1,100,SJ,all,0.5,C
18,1500,2900,1500,2900,1500,2900,1,100,SJ,all,0.5,C
19,2800,3300,2800,3100,2800,3100,1,100,SJ,all,0.5,C
20,1600,3000,1600,2900,1600,2900,1,100,SJ,all,0.5,C
21,2400,3600,2400,3600,2400,3600,1,100,SJ,all,0.5,C
22,1700,2800,2300,2500,2300,2500,1,100,SJ,all,0.5,C
23,1900,3000,2000,3000,2000,3000,1,100,SJ,all,0.5,C
24,1500,2500,1500,2500,1500,2500,1,100,SJ,all,0.5,C
25,1500,2700,1500,2600,1500,2700,1,100,SJ,all,0.5,C
26,1500,2200,1500,2100,1500,2200,1,100,SJ,all,0.5,C
27,1800,3200,1900,3200,1900,3200,1,100,SJ,all,0.5,C
28,1500,2700,1500,2700,1500,2800,1,100,SJ,all,0.5,C
29,1500,2500,1500,2400,1500,2500,1,100,SJ,all,0.5,C
30,1500,2800,1500,2600,1500,2700,1,100,SJ,all,0.5,C
1,NA,NA,NA,NA,NA,NA,2,100,SJ,all,0.5,C
2,2800,2800,NA,NA,NA,NA,2,100,SJ,all,0.5,C
3,1500,2500,1500,2400,1500,2400,2,100,SJ,all,0.5,C
4,1500,2800,1500,2800,1500,2800,2,100,SJ,all,0.5,C
5,2200,2600,2500,2500,2500,2500,2,100,SJ,all,0.5,C
6,1500,2600,1500,2500,1500,2500,2,100,SJ,all,0.5,C
7,1500,2800,1500,2800,1500,2800,2,100,SJ,all,0.5,C
8,1600,2600,1600,2600,1600,2600,2,100,SJ,all,0.5,C
9,2400,3400,2600,3300,2500,3400,2,100,SJ,all,0.5,C
10,1500,3600,1500,3600,1500,3600,2,100,SJ,all,0.5,C
11,1500,2600,1500,2600,1500,2700,2,100,SJ,all,0.5,C
12,1500,2400,1500,2000,1500,2100,2,100,SJ,all,0.5,C
13,1500,3000,1500,3000,1500,3000,2,100,SJ,all,0.5,C
14,1500,2800,NA,NA,NA,NA,2,100,SJ,all,0.5,C
15,1500,2500,1500,2500,1500,2500,2,100,SJ,all,0.5,C
16,1500,2400,1500,2300,1500,2400,2,100,SJ,all,0.5,C
17,1500,2400,1500,2400,1500,2400,2,100,SJ,all,0.5,C
18,1500,2900,1500,2900,1500,2900,2,100,SJ,all,0.5,C
19,2800,3300,2900,3100,2900,3100,2,100,SJ,all,0.5,C
20,1600,3000,1600,2900,1600,2900,2,100,SJ,all,0.5,C
21,2400,3600,2400,3600,2400,3600,2,100,SJ,all,0.5,C
22,1700,2800,2300,2500,2300,2500,2,100,SJ,all,0.5,C
23,1900,3000,2100,3000,2100,3000,2,100,SJ,all,0.5,C
24,1500,2500,1500,2500,1500,2500,2,100,SJ,all,0.5,C
25,1500,2700,1500,2400,1500,2400,2,100,SJ,all,0.5,C
26,1500,2200,1500,2100,1500,2200,2,100,SJ,all,0.5,C
27,1800,3200,1900,3200,1900,3200,2,100,SJ,all,0.5,C
28,1500,2700,1500,2700,1500,2700,2,100,SJ,all,0.5,C
29,1500,2500,1500,2400,1500,2500,2,100,SJ,all,0.5,C
30,1500,2800,1500,2600,1500,2700,2,100,SJ,all,0.5,C
1,NA,NA,NA,NA,1700,1700,3,100,SJ,all,0.5,C
2,2800,2800,NA,NA,1700,2700,3,100,SJ,all,0.5,C
3,1500,2500,1500,2400,1500,2400,3,100,SJ,all,0.5,C
4,1500,2800,1500,2800,1500,2800,3,100,SJ,all,0.5,C
5,2200,2600,2500,2500,2500,2500,3,100,SJ,all,0.5,C
6,1500,2600,1500,2500,1500,2500,3,100,SJ,all,0.5,C
7,1500,2800,1500,2800,1500,2800,3,100,SJ,all,0.5,C
8,1600,2600,1600,2600,1600,2600,3,100,SJ,all,0.5,C
9,2400,3400,2900,3300,2800,3400,3,100,SJ,all,0.5,C
10,1500,3600,1500,3600,1500,3600,3,100,SJ,all,0.5,C
11,1500,2600,1500,2600,1500,2700,3,100,SJ,all,0.5,C
12,1500,2400,1500,2000,1500,2100,3,100,SJ,all,0.5,C
13,1500,3000,1500,3000,1500,3000,3,100,SJ,all,0.5,C
14,1500,2800,2400,2400,2400,2400,3,100,SJ,all,0.5,C
15,1500,2500,1500,2500,1500,2500,3,100,SJ,all,0.5,C
16,1500,2400,1500,2300,1500,2300,3,100,SJ,all,0.5,C
17,1500,2400,1500,2400,1500,2400,3,100,SJ,all,0.5,C
18,1500,2900,1500,2900,1500,2900,3,100,SJ,all,0.5,C
19,2800,3300,2900,3100,2900,3100,3,100,SJ,all,0.5,C
20,1600,3000,1800,2900,1700,3000,3,100,SJ,all,0.5,C
21,2400,3600,2400,3600,2400,3600,3,100,SJ,all,0.5,C
22,1700,2800,2300,2300,2300,2300,3,100,SJ,all,0.5,C
23,1900,3000,2000,3000,2000,3000,3,100,SJ,all,0.5,C
24,1500,2500,1500,2500,1500,2500,3,100,SJ,all,0.5,C
25,1500,2700,1500,2600,1500,2700,3,100,SJ,all,0.5,C
26,1500,2200,1500,2000,1500,2100,3,100,SJ,all,0.5,C
27,1800,3200,1900,3100,1900,3100,3,100,SJ,all,0.5,C
28,1500,2700,1500,2600,1500,2700,3,100,SJ,all,0.5,C
29,1500,2500,1500,2400,1500,2500,3,100,SJ,all,0.5,C
30,1500,2800,1500,2700,1500,2700,3,100,SJ,all,0.5,C
1,NA,NA,NA,NA,NA,NA,4,100,SJ,all,0.5,C
2,2800,2800,NA,NA,NA,NA,4,100,SJ,all,0.5,C
3,1500,2500,1500,2400,1500,2400,4,100,SJ,all,0.5,C
4,1500,2800,1500,2800,1500,2800,4,100,SJ,all,0.5,C
5,2200,2600,2500,2500,2500,2500,4,100,SJ,all,0.5,C
6,1500,2600,1500,2400,1500,2400,4,100,SJ,all,0.5,C
7,1500,2800,1500,2800,1500,2800,4,100,SJ,all,0.5,C
8,1600,2600,1600,2600,1600,2600,4,100,SJ,all,0.5,C
9,2400,3400,3100,3300,3000,3400,4,100,SJ,all,0.5,C
