spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1850,2625,2000,2550,1950,2600,1,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,1,50,SJ,all,0.5,C
3,2050,3150,2100,3100,2050,3150,1,50,SJ,all,0.5,C
4,1850,2450,2000,2350,1950,2400,1,50,SJ,all,0.5,C
5,1500,2800,1500,2800,1500,2850,1,50,SJ,all,0.5,C
6,1500,3050,1500,3000,1500,3000,1,50,SJ,all,0.5,C
7,1500,2900,1550,2800,1550,2850,1,50,SJ,all,0.5,C
8,1950,3150,2100,3100,2050,3150,1,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1700,3450,1,50,SJ,all,0.5,C
10,1950,2850,2100,2650,2050,2700,1,50,SJ,all,0.5,C
11,1500,2525,1500,2500,1500,2500,1,50,SJ,all,0.5,C
12,1550,3000,1700,2800,1650,2850,1,50,SJ,all,0.5,C
13,1500,2500,1550,2500,1550,2500,1,50,SJ,all,0.5,C
14,1500,2600,2350,2350,2300,2350,1,50,SJ,all,0.5,C
15,1600,2950,1750,2750,1700,2800,1,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,1,50,SJ,all,0.5,C
17,1750,2650,1800,2600,1800,2650,1,50,SJ,all,0.5,C
18,1500,2600,1500,2500,1500,2550,1,50,SJ,all,0.5,C
19,1500,2750,1500,2600,1500,2700,1,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,1,50,SJ,all,0.5,C
21,1500,3600,2300,3550,2300,3550,1,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,1,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,1,50,SJ,all,0.5,C
24,2450,3450,3050,3400,3000,3400,1,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,1,50,SJ,all,0.5,C
26,1900,3250,2250,2250,2200,2300,1,50,SJ,all,0.5,C
27,2400,3350,2400,3300,2350,3350,1,50,SJ,all,0.5,C
28,1750,2900,1800,2800,1750,2850,1,50,SJ,all,0.5,C
29,1500,2900,1500,2600,1500,2650,1,50,SJ,all,0.5,C
30,2150,3450,2350,3400,2300,3400,1,50,SJ,all,0.5,C
1,1850,2625,2250,2550,2200,2600,2,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,2,50,SJ,all,0.5,C
3,2050,3150,2100,3100,2050,3150,2,50,SJ,all,0.5,C
4,1850,2450,2000,2350,1950,2400,2,50,SJ,all,0.5,C
5,1500,2800,1500,2800,1500,2850,2,50,SJ,all,0.5,C
6,1500,3050,1500,2950,1500,3000,2,50,SJ,all,0.5,C
7,1500,2900,1550,2850,1550,2850,2,50,SJ,all,0.5,C
8,1950,3150,2050,3100,2000,3150,2,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1750,3450,2,50,SJ,all,0.5,C
10,1950,2850,2000,2600,1950,2650,2,50,SJ,all,0.5,C
11,1500,2525,1500,2450,1500,2500,2,50,SJ,all,0.5,C
12,1550,3000,1750,2800,1700,2850,2,50,SJ,all,0.5,C
13,1500,2500,1550,2500,1550,2500,2,50,SJ,all,0.5,C
14,1500,2600,2250,2250,2200,2300,2,50,SJ,all,0.5,C
15,1600,2950,1750,2650,1700,2700,2,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,2,50,SJ,all,0.5,C
17,1750,2650,1800,2600,1800,2650,2,50,SJ,all,0.5,C
18,1500,2600,1500,2500,1500,2550,2,50,SJ,all,0.5,C
19,1500,2750,1500,2200,1500,2250,2,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,2,50,SJ,all,0.5,C
21,1500,3600,2300,3550,2300,3600,2,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,2,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,2,50,SJ,all,0.5,C
24,2450,3450,3400,3400,3350,3400,2,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,2,50,SJ,all,0.5,C
26,1900,3250,2600,2600,2600,2650,2,50,SJ,all,0.5,C
27,2400,3350,2400,3300,2350,3350,2,50,SJ,all,0.5,C
28,1750,2900,1800,2800,1750,2850,2,50,SJ,all,0.5,C
29,1500,2900,1500,2800,1500,2850,2,50,SJ,all,0.5,C
30,2150,3450,2300,3400,2250,3400,2,50,SJ,all,0.5,C
1,1850,2625,2250,2550,2200,2600,3,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,3,50,SJ,all,0.5,C
3,2050,3150,2200,3100,2150,3150,3,50,SJ,all,0.5,C
4,1850,2450,2000,2400,1950,2450,3,50,SJ,all,0.5,C
5,1500,2800,1500,2800,1500,2850,3,50,SJ,all,0.5,C
6,1500,3050,1500,2950,1500,3000,3,50,SJ,all,0.5,C
7,1500,2900,1550,2800,1550,2850,3,50,SJ,all,0.5,C
8,1950,3150,2000,3100,1950,3150,3,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1750,3450,3,50,SJ,all,0.5,C
10,1950,2850,2000,2650,1950,2700,3,50,SJ,all,0.5,C
11,1500,2525,1500,2350,1500,2400,3,50,SJ,all,0.5,C
12,1550,3000,1750,2900,1700,2950,3,50,SJ,all,0.5,C
13,1500,2500,1550,2500,1550,2500,3,50,SJ,all,0.5,C
14,1500,2600,1500,2500,1500,2500,3,50,SJ,all,0.5,C
15,1600,2950,1750,2650,1650,2700,3,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,3,50,SJ,all,0.5,C
17,1750,2650,1800,2600,1800,2650,3,50,SJ,all,0.5,C
18,1500,2600,1500,2550,1500,2600,3,50,SJ,all,0.5,C
19,1500,2750,1500,2600,1500,2700,3,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,3,50,SJ,all,0.5,C
21,1500,3600,2300,3550,2300,3600,3,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,3,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,3,50,SJ,all,0.5,C
24,2450,3450,NA,NA,NA,NA,3,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,3,50,SJ,all,0.5,C
26,1900,3250,2600,3050,2550,3100,3,50,SJ,all,0.5,C
27,2400,3350,2400,3300,2350,3350,3,50,SJ,all,0.5,C
28,1750,2900,1800,2600,1750,2650,3,50,SJ,all,0.5,C
29,1500,2900,1500,2650,1500,2750,3,50,SJ,all,0.5,C
30,2150,3450,2300,3400,2300,3400,3,50,SJ,all,0.5,C
1,1850,2625,1850,2550,1850,2550,4,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,4,50,SJ,all,0.5,C
3,2050,3150,2100,3100,2050,3150,4,50,SJ,all,0.5,C
4,1850,2450,2000,2350,1950,2400,4,50,SJ,all,0.5,C
5,1500,2800,1500,2750,1500,2800,4,50,SJ,all,0.5,C
6,1500,3050,1500,2900,1500,2950,4,50,SJ,all,0.5,C
7,1500,2900,1550,2800,1550,2850,4,50,SJ,all,0.5,C
8,1950,3150,2050,3100,2000,3150,4,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1750,3450,4,50,SJ,all,0.5,C
10,1950,2850,2000,2650,1950,2700,4,50,SJ,all,0.5,C
11,1500,2525,1500,2500,1500,2550,4,50,SJ,all,0.5,C
12,1550,3000,1700,2900,1650,2950,4,50,SJ,all,0.5,C
13,1500,2500,1550,2500,1550,2500,4,50,SJ,all,0.5,C
14,1500,2600,NA,NA,NA,NA,4,50,SJ,all,0.5,C
15,1600,2950,1750,2650,1700,2700,4,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,4,50,SJ,all,0.5,C
17,1750,2650,1800,2600,1800,2650,4,50,SJ,all,0.5,C
18,1500,2600,1500,2450,1500,2500,4,50,SJ,all,0.5,C
19,1500,2750,1850,2600,1800,2650,4,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,4,50,SJ,all,0.5,C
21,1500,3600,2300,3550,2300,3550,4,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,4,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,4,50,SJ,all,0.5,C
24,2450,3450,2900,2900,2850,2950,4,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,4,50,SJ,all,0.5,C
26,1900,3250,2300,2950,2250,3000,4,50,SJ,all,0.5,C
27,2400,3350,2450,3300,2400,3350,4,50,SJ,all,0.5,C
28,1750,2900,1800,2800,1750,2850,4,50,SJ,all,0.5,C
29,1500,2900,1500,2600,1500,2650,4,50,SJ,all,0.5,C
30,2150,3450,2350,3400,2300,3400,4,50,SJ,all,0.5,C
1,1850,2625,2000,2550,1950,2600,5,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,5,50,SJ,all,0.5,C
3,2050,3150,2100,3100,2050,3150,5,50,SJ,all,0.5,C
4,1850,2450,2000,2350,1950,2400,5,50,SJ,all,0.5,C
5,1500,2800,1500,2800,1500,2850,5,50,SJ,all,0.5,C
6,1500,3050,1500,2950,1500,3000,5,50,SJ,all,0.5,C
7,1500,2900,1550,2800,1550,2850,5,50,SJ,all,0.5,C
8,1950,3150,2100,3100,2050,3150,5,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1750,3450,5,50,SJ,all,0.5,C
10,1950,2850,2000,2650,1950,2700,5,50,SJ,all,0.5,C
11,1500,2525,1500,2450,1500,2500,5,50,SJ,all,0.5,C
12,1550,3000,1700,2900,1650,2950,5,50,SJ,all,0.5,C
13,1500,2500,1550,2500,1550,2500,5,50,SJ,all,0.5,C
14,1500,2600,1800,2000,1750,2050,5,50,SJ,all,0.5,C
15,1600,2950,1800,2650,1800,2700,5,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,5,50,SJ,all,0.5,C
17,1750,2650,1800,2600,1800,2650,5,50,SJ,all,0.5,C
18,1500,2600,1500,2500,1500,2550,5,50,SJ,all,0.5,C
19,1500,2750,1500,2600,1500,2700,5,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,5,50,SJ,all,0.5,C
21,1500,3600,2100,3550,2100,3550,5,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,5,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,5,50,SJ,all,0.5,C
24,2450,3450,NA,NA,NA,NA,5,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,5,50,SJ,all,0.5,C
26,1900,3250,2350,2600,2300,2650,5,50,SJ,all,0.5,C
27,2400,3350,2400,3300,2350,3350,5,50,SJ,all,0.5,C
28,1750,2900,1800,2800,1750,2850,5,50,SJ,all,0.5,C
29,1500,2900,1500,2750,1500,2800,5,50,SJ,all,0.5,C
30,2150,3450,2300,3400,2250,3450,5,50,SJ,all,0.5,C
1,1850,2625,2000,2550,1950,2600,6,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,6,50,SJ,all,0.5,C
3,2050,3150,2100,3100,2050,3150,6,50,SJ,all,0.5,C
4,1850,2450,2000,2350,1950,2400,6,50,SJ,all,0.5,C
5,1500,2800,1500,2800,1500,2850,6,50,SJ,all,0.5,C
6,1500,3050,1500,2950,1500,3000,6,50,SJ,all,0.5,C
7,1500,2900,1550,2850,1550,2850,6,50,SJ,all,0.5,C
8,1950,3150,2050,3050,2050,3050,6,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1750,3450,6,50,SJ,all,0.5,C
10,1950,2850,2100,2600,2050,2650,6,50,SJ,all,0.5,C
11,1500,2525,1500,2400,1500,2450,6,50,SJ,all,0.5,C
12,1550,3000,1750,2900,1700,2950,6,50,SJ,all,0.5,C
13,1500,2500,1550,2500,1550,2500,6,50,SJ,all,0.5,C
14,1500,2600,2450,2450,2450,2450,6,50,SJ,all,0.5,C
15,1600,2950,1750,2600,1700,2650,6,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,6,50,SJ,all,0.5,C
17,1750,2650,1800,2550,1800,2550,6,50,SJ,all,0.5,C
18,1500,2600,1500,2400,1500,2450,6,50,SJ,all,0.5,C
19,1500,2750,2250,2250,2200,2300,6,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,6,50,SJ,all,0.5,C
21,1500,3600,2350,3550,2350,3550,6,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,6,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,6,50,SJ,all,0.5,C
24,2450,3450,2950,3400,2950,3400,6,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,6,50,SJ,all,0.5,C
26,1900,3250,2300,2350,2300,2350,6,50,SJ,all,0.5,C
27,2400,3350,2400,3300,2350,3350,6,50,SJ,all,0.5,C
28,1750,2900,1800,2600,1750,2650,6,50,SJ,all,0.5,C
29,1500,2900,1500,2650,1500,2700,6,50,SJ,all,0.5,C
30,2150,3450,2350,3400,2300,3450,6,50,SJ,all,0.5,C
1,1850,2625,2250,2550,2200,2600,7,50,SJ,all,0.5,C
2,NA,NA,NA,NA,NA,NA,7,50,SJ,all,0.5,C
3,2050,3150,2100,3100,2050,3150,7,50,SJ,all,0.5,C
4,1850,2450,2000,2400,1950,2450,7,50,SJ,all,0.5,C
5,1500,2800,1500,2800,1500,2850,7,50,SJ,all,0.5,C
6,1500,3050,1500,2950,1500,3000,7,50,SJ,all,0.5,C
7,1500,2900,1550,2850,1550,2850,7,50,SJ,all,0.5,C
8,1950,3150,2000,3100,1950,3150,7,50,SJ,all,0.5,C
9,1600,3450,1750,3450,1750,3450,7,50,SJ,all,0.5,C
10,1950,2850,2000,2600,1950,2650,7,50,SJ,all,0.5,C
11,1500,2525,1500,2450,1500,2500,7,50,SJ,all,0.5,C
12,1550,3000,1750,2900,1700,2950,7,50,SJ,all,0.5,C
13,1500,2500,1500,2500,1500,2500,7,50,SJ,all,0.5,C
14,1500,2600,2350,2350,2350,2350,7,50,SJ,all,0.5,C
15,1600,2950,1800,2650,1800,2700,7,50,SJ,all,0.5,C
16,2550,2750,NA,NA,NA,NA,7,50,SJ,all,0.5,C
17,1750,2650,1800,2600,1800,2650,7,50,SJ,all,0.5,C
18,1500,2600,1500,2550,1500,2600,7,50,SJ,all,0.5,C
19,1500,2750,1750,2600,1650,2700,7,50,SJ,all,0.5,C
20,2400,2475,NA,NA,NA,NA,7,50,SJ,all,0.5,C
21,1500,3600,2300,3550,2300,3550,7,50,SJ,all,0.5,C
22,NA,NA,NA,NA,NA,NA,7,50,SJ,all,0.5,C
23,2350,3600,2350,3550,2350,3600,7,50,SJ,all,0.5,C
24,2450,3450,NA,NA,NA,NA,7,50,SJ,all,0.5,C
25,1500,2900,1500,2900,1500,2950,7,50,SJ,all,0.5,C
