spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1500,2700,1500,2700,1500,2700,1,100,SJ,all,2,C
2,1500,2700,1500,2600,1500,2700,1,100,SJ,all,2,C
3,1500,2700,1500,2600,1500,2600,1,100,SJ,all,2,C
4,1500,3600,1500,3600,1500,3600,1,100,SJ,all,2,C
5,NA,NA,NA,NA,NA,NA,1,100,SJ,all,2,C
6,2600,3600,3200,3600,3200,3600,1,100,SJ,all,2,C
7,1500,2900,1500,2800,1500,2800,1,100,SJ,all,2,C
8,1500,2800,1500,2800,1500,2800,1,100,SJ,all,2,C
9,2400,3600,2400,3600,2400,3600,1,100,SJ,all,2,C
10,1500,2600,1500,2500,1500,2500,1,100,SJ,all,2,C
11,2300,3400,2300,3400,2300,3400,1,100,SJ,all,2,C
12,1600,3600,1900,3600,1900,3600,1,100,SJ,all,2,C
13,1900,3200,2000,3100,2000,3100,1,100,SJ,all,2,C
14,2200,2900,2200,2900,2200,2900,1,100,SJ,all,2,C
15,1500,3600,1500,3600,1500,3600,1,100,SJ,all,2,C
16,2400,3600,2400,3600,2400,3600,1,100,SJ,all,2,C
17,1500,2700,1500,2700,1500,2700,1,100,SJ,all,2,C
18,2400,3600,2500,3600,2500,3600,1,100,SJ,all,2,C
19,1700,2900,1800,2800,1700,2800,1,100,SJ,all,2,C
20,NA,NA,NA,NA,NA,NA,1,100,SJ,all,2,C
21,1900,2800,1900,2700,1900,2700,1,100,SJ,all,2,C
22,1900,2700,2000,2300,2000,2300,1,100,SJ,all,2,C
23,1500,2500,1500,2400,1500,2400,1,100,SJ,all,2,C
24,1600,2200,1600,1900,1600,1900,1,100,SJ,all,2,C
25,1500,2600,1500,2600,1500,2600,1,100,SJ,all,2,C
26,2300,3600,2300,3600,2300,3600,1,100,SJ,all,2,C
27,1500,2600,1500,2600,1500,2700,1,100,SJ,all,2,C
28,1500,2800,1500,2700,1500,2800,1,100,SJ,all,2,C
29,2200,2900,2200,2800,2200,2800,1,100,SJ,all,2,C
30,2500,3600,2500,3600,2500,3600,1,100,SJ,all,2,C
1,1500,2700,1500,2600,1500,2700,2,100,SJ,all,2,C
2,1500,2700,1500,2600,1500,2600,2,100,SJ,all,2,C
3,1500,2700,1500,2600,1500,2600,2,100,SJ,all,2,C
4,1500,3600,1500,3600,1500,3600,2,100,SJ,all,2,C
5,NA,NA,NA,NA,NA,NA,2,100,SJ,all,2,C
6,2600,3600,3200,3600,3200,3600,2,100,SJ,all,2,C
7,1500,2900,1500,2800,1500,2800,2,100,SJ,all,2,C
8,1500,2800,1500,2700,1500,2700,2,100,SJ,all,2,C
9,2400,3600,2400,3600,2400,3600,2,100,SJ,all,2,C
10,1500,2600,1500,2500,1500,2500,2,100,SJ,all,2,C
11,2300,3400,2400,3400,2400,3400,2,100,SJ,all,2,C
12,1600,3600,1900,3600,1900,3600,2,100,SJ,all,2,C
13,1900,3200,2000,3100,2000,3100,2,100,SJ,all,2,C
14,2200,2900,2200,2900,2200,2900,2,100,SJ,all,2,C
15,1500,3600,1500,3600,1500,3600,2,100,SJ,all,2,C
16,2400,3600,2400,3600,2400,3600,2,100,SJ,all,2,C
17,1500,2700,1500,2700,1500,2700,2,100,SJ,all,2,C
18,2400,3600,2400,3600,2400,3600,2,100,SJ,all,2,C
19,1700,2900,1800,2800,1700,2800,2,100,SJ,all,2,C
20,NA,NA,NA,NA,NA,NA,2,100,SJ,all,2,C
21,1900,2800,2000,2600,2000,2600,2,100,SJ,all,2,C
22,1900,2700,2000,2400,2000,2400,2,100,SJ,all,2,C
23,1500,2500,1500,2400,1500,2400,2,100,SJ,all,2,C
24,1600,2200,1600,1900,1600,1900,2,100,SJ,all,2,C
25,1500,2600,1500,2600,1500,2600,2,100,SJ,all,2,C
26,2300,3600,2300,3600,2300,3600,2,100,SJ,all,2,C
27,1500,2600,1500,2600,1500,2700,2,100,SJ,all,2,C
28,1500,2800,1500,2800,1500,2800,2,100,SJ,all,2,C
29,2200,2900,2200,2800,2200,2800,2,100,SJ,all,2,C
30,2500,3600,2500,3600,2500,3600,2,100,SJ,all,2,C
1,1500,2700,1500,2600,1500,2700,3,100,SJ,all,2,C
2,1500,2700,1500,2600,1500,2700,3,100,SJ,all,2,C
3,1500,2700,1500,2600,1500,2600,3,100,SJ,all,2,C
4,1500,3600,1500,3600,1500,3600,3,100,SJ,all,2,C
5,NA,NA,NA,NA,NA,NA,3,100,SJ,all,2,C
6,2600,3600,3200,3600,3200,3600,3,100,SJ,all,2,C
7,1500,2900,1500,2800,1500,2800,3,100,SJ,all,2,C
8,1500,2800,1500,2700,1500,2700,3,100,SJ,all,2,C
9,2400,3600,2400,3600,2400,3600,3,100,SJ,all,2,C
10,1500,2600,1500,2500,1500,2500,3,100,SJ,all,2,C
11,2300,3400,2400,3400,2400,3400,3,100,SJ,all,2,C
12,1600,3600,1900,3600,1900,3600,3,100,SJ,all,2,C
13,1900,3200,2000,3100,2000,3100,3,100,SJ,all,2,C
14,2200,2900,2500,2900,2500,2900,3,100,SJ,all,2,C
15,1500,3600,1500,3600,1500,3600,3,100,SJ,all,2,C
16,2400,3600,2400,3600,2400,3600,3,100,SJ,all,2,C
17,1500,2700,1500,2700,1500,2700,3,100,SJ,all,2,C
18,2400,3600,2500,3600,2500,3600,3,100,SJ,all,2,C
19,1700,2900,1800,2700,1700,2700,3,100,SJ,all,2,C
20,NA,NA,NA,NA,NA,NA,3,100,SJ,all,2,C
21,1900,2800,2000,2600,2000,2600,3,100,SJ,all,2,C
22,1900,2700,2100,2400,2100,2400,3,100,SJ,all,2,C
23,1500,2500,1500,2400,1500,2400,3,100,SJ,all,2,C
24,1600,2200,1600,1900,1600,1900,3,100,SJ,all,2,C
25,1500,2600,1500,2600,1500,2600,3,100,SJ,all,2,C
26,2300,3600,2300,3600,2300,3600,3,100,SJ,all,2,C
27,1500,2600,1500,2600,1500,2600,3,100,SJ,all,2,C
28,1500,2800,1500,2800,1500,2900,3,100,SJ,all,2,C
