spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1600,2900,1600,2900,1600,3000,1,100,FR,all,1,C
2,1700,3700,1800,3500,1700,3600,1,100,FR,all,1,C
3,1600,2800,1600,2800,1600,2800,1,100,FR,all,1,C
4,1800,3800,1900,3800,1900,3800,1,100,FR,all,1,C
5,1600,3700,1600,3700,1600,3700,1,100,FR,all,1,C
6,1700,3200,1900,3000,1900,3000,1,100,FR,all,1,C
7,2500,3800,2500,3800,2500,3800,1,100,FR,all,1,C
8,1600,3100,1600,3000,1600,3000,1,100,FR,all,1,C
9,1700,3400,1800,3400,1800,3400,1,100,FR,all,1,C
10,2900,2900,NA,NA,1600,3800,1,100,FR,all,1,C
11,1600,2800,1600,2700,1600,2700,1,100,FR,all,1,C
12,1600,3100,1600,3000,1600,3000,1,100,FR,all,1,C
13,1600,3200,1600,3200,1600,3200,1,100,FR,all,1,C
14,1600,2600,1600,2500,1600,2500,1,100,FR,all,1,C
15,1600,2800,1600,2800,1600,2800,1,100,FR,all,1,C
16,1800,2700,2000,2700,2000,2700,1,100,FR,all,1,C
17,2400,3400,2500,3400,2500,3400,1,100,FR,all,1,C
18,2600,3800,2700,3800,2700,3800,1,100,FR,all,1,C
19,1600,3500,1600,3300,1600,3300,1,100,FR,all,1,C
20,2600,2800,2700,2700,2700,2700,1,100,FR,all,1,C
21,1600,2950,1600,2900,1600,2900,1,100,FR,all,1,C
22,1600,3800,1600,3800,1600,3800,1,100,FR,all,1,C
23,1600,3500,1600,3500,1600,3500,1,100,FR,all,1,C
24,1600,2800,1600,2800,1600,2800,1,100,FR,all,1,C
25,2700,3100,2700,3100,2700,3100,1,100,FR,all,1,C
26,1800,3600,1800,3500,1800,3500,1,100,FR,all,1,C
27,1700,2900,1800,2900,1800,2900,1,100,FR,all,1,C
28,2300,3400,2300,3400,2300,3400,1,100,FR,all,1,C
29,1600,2700,1600,2500,1600,2600,1,100,FR,all,1,C
30,1900,3000,1900,2700,1900,2700,1,100,FR,all,1,C
31,1600,3000,1600,3000,1600,3000,1,100,FR,all,1,C
1,1600,2900,1700,2800,1700,2800,2,100,FR,all,1,C
2,1700,3700,1800,3500,1700,3600,2,100,FR,all,1,C
3,1600,2800,1600,2800,1600,2800,2,100,FR,all,1,C
4,1800,3800,1900,3800,1900,3800,2,100,FR,all,1,C
5,1600,3700,1800,3700,1800,3700,2,100,FR,all,1,C
6,1700,3200,2000,3000,2000,3000,2,100,FR,all,1,C
7,2500,3800,2500,3800,2500,3800,2,100,FR,all,1,C
8,1600,3100,1600,3000,1600,3000,2,100,FR,all,1,C
9,1700,3400,1800,3400,1800,3400,2,100,FR,all,1,C
10,2900,2900,NA,NA,1600,3800,2,100,FR,all,1,C
11,1600,2800,1600,2700,1600,2700,2,100,FR,all,1,C
12,1600,3100,1600,3000,1600,3000,2,100,FR,all,1,C
13,1600,3200,1700,3100,1700,3100,2,100,FR,all,1,C
14,1600,2600,1700,2500,1700,2500,2,100,FR,all,1,C
15,1600,2800,1600,2800,1600,2800,2,100,FR,all,1,C
16,1800,2700,1900,2700,1900,2700,2,100,FR,all,1,C
17,2400,3400,2500,3400,2500,3400,2,100,FR,all,1,C
18,2600,3800,2700,3800,2700,3800,2,100,FR,all,1,C
19,1600,3500,1600,3300,1600,3300,2,100,FR,all,1,C
20,2600,2800,2700,2700,2700,2700,2,100,FR,all,1,C
21,1600,2950,1600,2900,1600,2900,2,100,FR,all,1,C
22,1600,3800,1600,3800,1600,3800,2,100,FR,all,1,C
23,1600,3500,1600,3300,1600,3300,2,100,FR,all,1,C
24,1600,2800,1600,2800,1600,2800,2,100,FR,all,1,C
25,2700,3100,2700,3100,2700,3100,2,100,FR,all,1,C
26,1800,3600,1900,3500,1900,3500,2,100,FR,all,1,C
27,1700,2900,1800,2900,1800,2900,2,100,FR,all,1,C
28,2300,3400,2300,3400,2300,3400,2,100,FR,all,1,C
29,1600,2700,1700,2500,1600,2600,2,100,FR,all,1,C
30,1900,3000,1900,3000,1900,3000,2,100,FR,all,1,C
31,1600,3000,1600,2900,1600,2900,2,100,FR,all,1,C
1,1600,2900,1700,2800,1600,2800,3,100,FR,all,1,C
2,1700,3700,1800,3500,1800,3600,3,100,FR,all,1,C
3,1600,2800,1600,2800,1600,2800,3,100,FR,all,1,C
4,1800,3800,1900,3800,1900,3800,3,100,FR,all,1,C
5,1600,3700,1700,3700,1700,3700,3,100,FR,all,1,C
6,1700,3200,1900,3000,1900,3000,3,100,FR,all,1,C
7,2500,3800,2500,3800,2500,3800,3,100,FR,all,1,C
8,1600,3100,1600,3000,1600,3000,3,100,FR,all,1,C
9,1700,3400,1800,3400,1800,3400,3,100,FR,all,1,C
10,2900,2900,NA,NA,1600,3800,3,100,FR,all,1,C
11,1600,2800,1700,2800,1700,2800,3,100,FR,all,1,C
12,1600,3100,1600,3000,1600,3000,3,100,FR,all,1,C
13,1600,3200,1600,3100,1600,3100,3,100,FR,all,1,C
14,1600,2600,1600,2500,1600,2500,3,100,FR,all,1,C
15,1600,2800,1800,2800,1800,2800,3,100,FR,all,1,C
