spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1550,2950,1550,2850,1550,2850,1,50,FR,all,1,C
2,1550,3000,1600,2950,1550,3000,1,50,FR,all,1,C
3,1550,2750,1550,2750,1550,2750,1,50,FR,all,1,C
4,2350,2350,2350,2350,2300,2400,1,50,FR,all,1,C
5,1950,2950,1950,2950,1900,3000,1,50,FR,all,1,C
6,2150,3750,2150,3750,2150,3750,1,50,FR,all,1,C
7,1550,2800,1650,2750,1600,2750,1,50,FR,all,1,C
8,2450,3600,2450,3400,2400,3400,1,50,FR,all,1,C
9,1550,3750,1650,3350,1600,3350,1,50,FR,all,1,C
10,2150,3050,2150,3050,2150,3050,1,50,FR,all,1,C
11,1550,2800,1650,2800,1600,2800,1,50,FR,all,1,C
12,2250,3750,2400,3650,2350,3650,1,50,FR,all,1,C
13,1550,3000,1550,2950,1550,3000,1,50,FR,all,1,C
14,1850,3350,1900,3300,1900,3300,1,50,FR,all,1,C
15,1550,2900,1600,2750,1550,2800,1,50,FR,all,1,C
16,1950,3000,2100,2950,2050,3000,1,50,FR,all,1,C
17,1550,3750,1550,3750,1550,3750,1,50,FR,all,1,C
18,1550,2750,1750,2450,1700,2500,1,50,FR,all,1,C
19,1550,3450,1550,3400,1550,3400,1,50,FR,all,1,C
20,1550,2800,1550,2700,1550,2700,1,50,FR,all,1,C
21,1550,3200,1550,3200,1550,3250,1,50,FR,all,1,C
22,1800,3200,1800,3100,1800,3100,1,50,FR,all,1,C
23,2150,3250,2250,3150,2250,3150,1,50,FR,all,1,C
24,1800,2850,1900,2750,1900,2800,1,50,FR,all,1,C
25,2300,3750,2750,3750,2700,3750,1,50,FR,all,1,C
26,1550,3750,1550,3700,1550,3700,1,50,FR,all,1,C
27,1550,2900,1650,2450,1600,2500,1,50,FR,all,1,C
28,1550,2600,1550,2450,1550,2500,1,50,FR,all,1,C
29,1550,3100,1550,2850,1550,2850,1,50,FR,all,1,C
30,2400,3750,2450,3750,2400,3750,1,50,FR,all,1,C
31,1550,3100,1550,2950,1550,3000,1,50,FR,all,1,C
1,1550,2950,1550,2850,1550,2850,2,50,FR,all,1,C
2,1550,3000,1650,2950,1600,3000,2,50,FR,all,1,C
3,1550,2750,1550,2750,1550,2750,2,50,FR,all,1,C
4,2350,2350,NA,NA,1550,3750,2,50,FR,all,1,C
5,1950,2950,1950,2850,1900,2900,2,50,FR,all,1,C
6,2150,3750,2150,3750,2150,3750,2,50,FR,all,1,C
7,1550,2800,1550,2750,1550,2750,2,50,FR,all,1,C
8,2450,3600,2450,3400,2400,3400,2,50,FR,all,1,C
9,1550,3750,1650,3350,1600,3350,2,50,FR,all,1,C
10,2150,3050,2200,3050,2200,3050,2,50,FR,all,1,C
11,1550,2800,1650,2750,1600,2750,2,50,FR,all,1,C
12,2250,3750,2350,3650,2300,3650,2,50,FR,all,1,C
13,1550,3000,1550,2950,1550,2950,2,50,FR,all,1,C
14,1850,3350,1900,3250,1900,3250,2,50,FR,all,1,C
15,1550,2900,1700,2800,1650,2800,2,50,FR,all,1,C
16,1950,3000,2150,2950,2100,3000,2,50,FR,all,1,C
17,1550,3750,1600,3750,1550,3750,2,50,FR,all,1,C
18,1550,2750,1600,2750,1550,2800,2,50,FR,all,1,C
19,1550,3450,1550,3400,1550,3400,2,50,FR,all,1,C
20,1550,2800,1550,2700,1550,2700,2,50,FR,all,1,C
21,1550,3200,1550,3200,1550,3250,2,50,FR,all,1,C
22,1800,3200,1800,3100,1800,3100,2,50,FR,all,1,C
23,2150,3250,2200,3150,2200,3150,2,50,FR,all,1,C
24,1800,2850,1900,2750,1900,2800,2,50,FR,all,1,C
25,2300,3750,2300,3700,2250,3750,2,50,FR,all,1,C
26,1550,3750,1550,3700,1550,3700,2,50,FR,all,1,C
27,1550,2900,1550,2850,1550,2900,2,50,FR,all,1,C
28,1550,2600,1550,2450,1550,2500,2,50,FR,all,1,C
29,1550,3100,1700,2950,1700,2950,2,50,FR,all,1,C
30,2400,3750,2650,3750,2600,3750,2,50,FR,all,1,C
31,1550,3100,1700,2750,1650,2800,2,50,FR,all,1,C
1,1550,2950,1550,2850,1550,2850,3,50,FR,all,1,C
2,1550,3000,1650,2950,1600,3000,3,50,FR,all,1,C
3,1550,2750,1550,2750,1550,2750,3,50,FR,all,1,C
4,2350,2350,NA,NA,1550,3750,3,50,FR,all,1,C
5,1950,2950,1950,2850,1900,2900,3,50,FR,all,1,C
6,2150,3750,2150,3750,2150,3750,3,50,FR,all,1,C
7,1550,2800,1650,2750,1600,2750,3,50,FR,all,1,C
8,2450,3600,2450,3400,2400,3400,3,50,FR,all,1,C
9,1550,3750,1700,3400,1650,3450,3,50,FR,all,1,C
10,2150,3050,2200,3050,2200,3050,3,50,FR,all,1,C
11,1550,2800,1550,2800,1550,2800,3,50,FR,all,1,C
12,2250,3750,2350,3650,2300,3650,3,50,FR,all,1,C
13,1550,3000,1550,2950,1550,2950,3,50,FR,all,1,C
14,1850,3350,1900,3300,1900,3300,3,50,FR,all,1,C
15,1550,2900,1600,2850,1550,2900,3,50,FR,all,1,C
16,1950,3000,2000,2850,2000,2900,3,50,FR,all,1,C
17,1550,3750,1550,3750,1550,3750,3,50,FR,all,1,C
18,1550,2750,1750,2750,1700,2800,3,50,FR,all,1,C
19,1550,3450,1550,3400,1550,3400,3,50,FR,all,1,C
20,1550,2800,1550,2700,1550,2700,3,50,FR,all,1,C
21,1550,3200,1700,3200,1700,3200,3,50,FR,all,1,C
22,1800,3200,1800,3100,1800,3100,3,50,FR,all,1,C
23,2150,3250,2200,3150,2200,3150,3,50,FR,all,1,C
24,1800,2850,1850,2750,1800,2750,3,50,FR,all,1,C
25,2300,3750,2400,3700,2350,3700,3,50,FR,all,1,C
26,1550,3750,1600,3700,1600,3700,3,50,FR,all,1,C
27,1550,2900,1550,2850,1550,2900,3,50,FR,all,1,C
28,1550,2600,1550,2450,1550,2500,3,50,FR,all,1,C
29,1550,3100,1550,2900,1550,2900,3,50,FR,all,1,C
30,2400,3750,2650,3750,2600,3750,3,50,FR,all,1,C
31,1550,3100,1700,2900,1650,2950,3,50,FR,all,1,C
1,1550,2950,1550,2850,1550,2850,4,50,FR,all,1,C
2,1550,3000,1600,2950,1550,3000,4,50,FR,all,1,C
3,1550,2750,1550,2750,1550,2750,4,50,FR,all,1,C
4,2350,2350,NA,NA,1550,3750,4,50,FR,all,1,C
5,1950,2950,1950,2850,1900,2900,4,50,FR,all,1,C
6,2150,3750,2150,3750,2150,3750,4,50,FR,all,1,C
7,1550,2800,1700,2750,1700,2750,4,50,FR,all,1,C
8,2450,3600,2450,3400,2400,3400,4,50,FR,all,1,C
9,1550,3750,1550,3350,1550,3350,4,50,FR,all,1,C
10,2150,3050,2200,3050,2200,3050,4,50,FR,all,1,C
11,1550,2800,1650,2800,1600,2800,4,50,FR,all,1,C
