spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1550,3000,1600,2850,1600,2850,1,50,FR,all,2,C
2,2150,3600,2150,3450,2150,3450,1,50,FR,all,2,C
3,1550,2650,1550,2550,1550,2600,1,50,FR,all,2,C
4,2050,3550,2150,3550,2150,3600,1,50,FR,all,2,C
5,1650,2750,1750,2700,1750,2700,1,50,FR,all,2,C
6,1900,2850,1900,2850,1900,2850,1,50,FR,all,2,C
7,1550,2950,1550,2900,1550,2900,1,50,FR,all,2,C
8,1550,3450,1550,3400,1550,3400,1,50,FR,all,2,C
9,2300,3350,2400,3250,2350,3250,1,50,FR,all,2,C
10,1550,2400,1550,2400,1550,2400,1,50,FR,all,2,C
11,1550,2900,1550,2850,1550,2850,1,50,FR,all,2,C
12,1550,3000,1600,2900,1550,2950,1,50,FR,all,2,C
13,2450,3750,2600,3650,2550,3650,1,50,FR,all,2,C
14,1550,2950,1550,2950,1550,2950,1,50,FR,all,2,C
15,1550,3100,1550,3050,1550,3050,1,50,FR,all,2,C
16,1900,3200,1950,3150,1950,3150,1,50,FR,all,2,C
17,2500,3750,2600,3750,2550,3750,1,50,FR,all,2,C
18,2000,3600,2050,3500,2050,3500,1,50,FR,all,2,C
19,1900,3150,2000,3150,2000,3150,1,50,FR,all,2,C
20,1550,2950,1550,2850,1550,2850,1,50,FR,all,2,C
21,1900,2850,2100,2800,2050,2800,1,50,FR,all,2,C
22,2150,3600,2200,3200,2200,3200,1,50,FR,all,2,C
23,1550,2500,1550,2450,1550,2500,1,50,FR,all,2,C
24,2000,2700,2150,2250,2150,2300,1,50,FR,all,2,C
25,1700,3750,1850,3750,1850,3750,1,50,FR,all,2,C
26,2250,2800,2400,2800,2350,2800,1,50,FR,all,2,C
27,2350,3250,2450,3050,2450,3050,1,50,FR,all,2,C
28,1550,2900,1550,2750,1550,2750,1,50,FR,all,2,C
29,2050,3200,2100,3150,2050,3150,1,50,FR,all,2,C
30,1850,2650,1900,2450,1900,2500,1,50,FR,all,2,C
31,1600,3000,1550,3000,1550,3000,1,50,FR,all,2,C
1,1550,3000,1600,2800,1600,2800,2,50,FR,all,2,C
2,2150,3600,2150,3450,2150,3450,2,50,FR,all,2,C
3,1550,2650,1600,2450,1600,2500,2,50,FR,all,2,C
4,2050,3550,2150,3550,2150,3600,2,50,FR,all,2,C
5,1650,2750,1750,2450,1750,2500,2,50,FR,all,2,C
6,1900,2850,1900,2850,1900,2850,2,50,FR,all,2,C
7,1550,2950,1550,2950,1550,2950,2,50,FR,all,2,C
8,1550,3450,1550,3400,1550,3400,2,50,FR,all,2,C
9,2300,3350,2400,3350,2350,3350,2,50,FR,all,2,C
10,1550,2400,1550,2400,1550,2400,2,50,FR,all,2,C
11,1550,2900,1700,2900,1650,2950,2,50,FR,all,2,C
12,1550,3000,1700,2950,1650,3000,2,50,FR,all,2,C
13,2450,3750,2750,3700,2700,3700,2,50,FR,all,2,C
14,1550,2950,1550,2950,1550,2950,2,50,FR,all,2,C
15,1550,3100,1550,3100,1550,3100,2,50,FR,all,2,C
16,1900,3200,1950,3200,1950,3200,2,50,FR,all,2,C
17,2500,3750,2600,3750,2550,3750,2,50,FR,all,2,C
18,2000,3600,2100,3500,2100,3500,2,50,FR,all,2,C
19,1900,3150,2000,3100,2000,3100,2,50,FR,all,2,C
20,1550,2950,1550,2850,1550,2850,2,50,FR,all,2,C
21,1900,2850,2100,2800,2050,2800,2,50,FR,all,2,C
22,2150,3600,2200,3250,2200,3250,2,50,FR,all,2,C
23,1550,2500,1550,2450,1550,2500,2,50,FR,all,2,C
24,2000,2700,2150,2350,2150,2350,2,50,FR,all,2,C
25,1700,3750,1850,3750,1850,3750,2,50,FR,all,2,C
26,2250,2800,2350,2800,2300,2800,2,50,FR,all,2,C
27,2350,3250,2450,3050,2450,3050,2,50,FR,all,2,C
28,1550,2900,1550,2750,1550,2750,2,50,FR,all,2,C
29,2050,3200,2100,3100,2050,3100,2,50,FR,all,2,C
30,1850,2650,1900,2550,1900,2600,2,50,FR,all,2,C
31,1600,3000,1550,3000,1550,3000,2,50,FR,all,2,C
1,1550,3000,1600,2800,1600,2800,3,50,FR,all,2,C
2,2150,3600,2150,3450,2150,3450,3,50,FR,all,2,C
3,1550,2650,1550,2500,1550,2550,3,50,FR,all,2,C
4,2050,3550,2150,3550,2150,3600,3,50,FR,all,2,C
5,1650,2750,1750,2250,1750,2300,3,50,FR,all,2,C
6,1900,2850,1900,2850,1900,2850,3,50,FR,all,2,C
7,1550,2950,1550,2950,1550,2950,3,50,FR,all,2,C
8,1550,3450,1550,3400,1550,3400,3,50,FR,all,2,C
9,2300,3350,2400,3250,2350,3250,3,50,FR,all,2,C
10,1550,2400,1550,2400,1550,2400,3,50,FR,all,2,C
11,1550,2900,1550,2850,1550,2850,3,50,FR,all,2,C
12,1550,3000,1600,2850,1550,2900,3,50,FR,all,2,C
13,2450,3750,2650,3650,2600,3650,3,50,FR,all,2,C
14,1550,2950,1550,2950,1550,2950,3,50,FR,all,2,C
15,1550,3100,1550,3050,1550,3050,3,50,FR,all,2,C
16,1900,3200,1950,3150,1950,3150,3,50,FR,all,2,C
17,2500,3750,2600,3750,2550,3750,3,50,FR,all,2,C
18,2000,3600,2050,3500,2050,3500,3,50,FR,all,2,C
19,1900,3150,2000,3100,2000,3100,3,50,FR,all,2,C
20,1550,2950,1550,2950,1550,2950,3,50,FR,all,2,C
21,1900,2850,2100,2800,2050,2800,3,50,FR,all,2,C
22,2150,3600,2200,3250,2200,3250,3,50,FR,all,2,C
23,1550,2500,1550,2450,1550,2500,3,50,FR,all,2,C
24,2000,2700,2150,2600,2150,2600,3,50,FR,all,2,C
25,1700,3750,1850,3750,1850,3750,3,50,FR,all,2,C
26,2250,2800,2350,2800,2300,2800,3,50,FR,all,2,C
27,2350,3250,2450,3050,2450,3050,3,50,FR,all,2,C
28,1550,2900,1550,2750,1550,2750,3,50,FR,all,2,C
29,2050,3200,2100,3150,2050,3150,3,50,FR,all,2,C
30,1850,2650,1900,2500,1900,2550,3,50,FR,all,2,C
31,1600,3000,1550,3000,1550,3000,3,50,FR,all,2,C
1,1550,3000,1600,2800,1600,2800,4,50,FR,all,2,C
2,2150,3600,2150,3450,2150,3450,4,50,FR,all,2,C
3,1550,2650,1550,2450,1550,2500,4,50,FR,all,2,C
4,2050,3550,2150,3550,2150,3600,4,50,FR,all,2,C
5,1650,2750,1750,2450,1750,2500,4,50,FR,all,2,C
6,1900,2850,1900,2850,1900,2850,4,50,FR,all,2,C
7,1550,2950,1550,2950,1550,2950,4,50,FR,all,2,C
8,1550,3450,1550,3400,1550,3400,4,50,FR,all,2,C
9,2300,3350,2400,3250,2350,3250,4,50,FR,all,2,C
