spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1500,2900,1600,2900,1500,3000,1,100,FR,all,1,H
2,2000,3500,2400,3300,2400,3300,1,100,FR,all,1,H
3,2200,3100,2300,2800,2300,2800,1,100,FR,all,1,H
4,1500,2800,1500,2800,1500,2800,1,100,FR,all,1,H
5,NA,NA,NA,NA,NA,NA,1,100,FR,all,1,H
6,1500,2800,1600,2800,1600,2800,1,100,FR,all,1,H
7,2400,3600,2500,3500,2500,3500,1,100,FR,all,1,H
8,1500,2900,1500,2900,1500,2900,1,100,FR,all,1,H
9,1500,2900,1600,2900,1600,2900,1,100,FR,all,1,H
10,2100,3600,2200,3500,2200,3500,1,100,FR,all,1,H
11,1600,2500,1600,2500,1600,2500,1,100,FR,all,1,H
12,2100,3600,2100,3500,2100,3500,1,100,FR,all,1,H
13,1800,3400,1900,3400,1900,3400,1,100,FR,all,1,H
14,1600,3200,1700,3200,1700,3200,1,100,FR,all,1,H
15,2100,2700,2200,2500,2200,2500,1,100,FR,all,1,H
16,1900,2800,1900,2800,1900,2800,1,100,FR,all,1,H
17,2100,3700,2200,3700,2200,3700,1,100,FR,all,1,H
18,1500,2800,1600,2800,1600,2800,1,100,FR,all,1,H
19,1500,2600,1500,2600,1500,2600,1,100,FR,all,1,H
20,1500,2800,1600,2800,1600,2800,1,100,FR,all,1,H
21,1500,2800,1600,2700,1600,2700,1,100,FR,all,1,H
22,1500,3100,1600,3000,1600,3000,1,100,FR,all,1,H
23,2200,3700,2600,3600,2600,3600,1,100,FR,all,1,H
24,1500,2300,1800,1900,1800,1900,1,100,FR,all,1,H
25,2500,3700,2500,3500,2500,3500,1,100,FR,all,1,H
26,1500,3700,1500,3700,1500,3700,1,100,FR,all,1,H
27,3100,3100,NA,NA,NA,NA,1,100,FR,all,1,H
28,1500,2800,1500,2800,1500,2800,1,100,FR,all,1,H
29,2200,2900,2200,2900,2200,2900,1,100,FR,all,1,H
30,2600,3700,2600,3500,2600,3500,1,100,FR,all,1,H
31,2600,3100,2700,2900,2700,2900,1,100,FR,all,1,H
32,1600,3300,1700,3300,1700,3300,1,100,FR,all,1,H
33,1500,2800,1600,2800,1600,2800,1,100,FR,all,1,H
34,1500,2900,1500,2800,1500,2900,1,100,FR,all,1,H
35,1600,2800,1800,2800,1800,2800,1,100,FR,all,1,H
36,2400,3700,2600,3700,2600,3700,1,100,FR,all,1,H
37,1500,2700,1500,2600,1500,2600,1,100,FR,all,1,H
1,1500,2900,1600,2900,1500,3000,2,100,FR,all,1,H
2,2000,3500,2200,3400,2200,3500,2,100,FR,all,1,H
3,2200,3100,2300,2600,2300,2600,2,100,FR,all,1,H
4,1500,2800,1500,2800,1500,2800,2,100,FR,all,1,H
5,NA,NA,NA,NA,NA,NA,2,100,FR,all,1,H
6,1500,2800,1600,2800,1600,2800,2,100,FR,all,1,H
7,2400,3600,2500,3500,2500,3500,2,100,FR,all,1,H
8,1500,2900,1600,2900,1600,2900,2,100,FR,all,1,H
9,1500,2900,1600,2900,1600,2900,2,100,FR,all,1,H
10,2100,3600,2200,3500,2200,3500,2,100,FR,all,1,H
11,1600,2500,1600,2500,1600,2500,2,100,FR,all,1,H
12,2100,3600,2100,3500,2100,3500,2,100,FR,all,1,H
13,1800,3400,1900,3400,1900,3400,2,100,FR,all,1,H
14,1600,3200,1700,3200,1700,3200,2,100,FR,all,1,H
15,2100,2700,2200,2500,2200,2500,2,100,FR,all,1,H
16,1900,2800,2000,2800,2000,2800,2,100,FR,all,1,H
17,2100,3700,2200,3600,2200,3600,2,100,FR,all,1,H
18,1500,2800,1500,2800,1500,2800,2,100,FR,all,1,H
19,1500,2600,1500,2600,1500,2600,2,100,FR,all,1,H
20,1500,2800,1500,2800,1500,2800,2,100,FR,all,1,H
21,1500,2800,1500,2700,1500,2700,2,100,FR,all,1,H
22,1500,3100,1600,3000,1600,3000,2,100,FR,all,1,H
23,2200,3700,2600,3600,2600,3600,2,100,FR,all,1,H
24,1500,2300,1800,1900,1800,1900,2,100,FR,all,1,H
25,2500,3700,2500,3500,2500,3500,2,100,FR,all,1,H
26,1500,3700,1500,3700,1500,3700,2,100,FR,all,1,H
27,3100,3100,NA,NA,NA,NA,2,100,FR,all,1,H
28,1500,2800,1500,2800,1500,2800,2,100,FR,all,1,H
29,2200,2900,2200,2900,2200,2900,2,100,FR,all,1,H
30,2600,3700,2600,3500,2600,3500,2,100,FR,all,1,H
31,2600,3100,2700,2900,2700,2900,2,100,FR,all,1,H
32,1600,3300,1700,3300,1700,3300,2,100,FR,all,1,H
33,1500,2800,1500,2800,1500,2800,2,100,FR,all,1,H
34,1500,2900,1600,2600,1500,2700,2,100,FR,all,1,H
35,1600,2800,1900,2800,1900,2800,2,100,FR,all,1,H
36,2400,3700,2600,3600,2600,3600,2,100,FR,all,1,H
37,1500,2700,1500,2600,1500,2600,2,100,FR,all,1,H
1,1500,2900,1600,2600,1500,2700,3,100,FR,all,1,H
2,2000,3500,2000,3400,1900,3500,3,100,FR,all,1,H
3,2200,3100,2400,2700,2400,2700,3,100,FR,all,1,H
4,1500,2800,1600,2800,1600,2800,3,100,FR,all,1,H
5,NA,NA,NA,NA,NA,NA,3,100,FR,all,1,H
6,1500,2800,1600,2800,1600,2800,3,100,FR,all,1,H
7,2400,3600,2400,3500,2400,3500,3,100,FR,all,1,H
8,1500,2900,1500,2900,1500,2900,3,100,FR,all,1,H
9,1500,2900,1500,2900,1500,2900,3,100,FR,all,1,H
10,2100,3600,2200,3500,2200,3500,3,100,FR,all,1,H
11,1600,2500,1600,2500,1600,2500,3,100,FR,all,1,H
12,2100,3600,2200,3500,2200,3500,3,100,FR,all,1,H
13,1800,3400,1900,3400,1900,3400,3,100,FR,all,1,H
14,1600,3200,1700,3200,1700,3200,3,100,FR,all,1,H
15,2100,2700,2200,2500,2200,2500,3,100,FR,all,1,H
16,1900,2800,2000,2800,2000,2800,3,100,FR,all,1,H
17,2100,3700,2200,3700,2200,3700,3,100,FR,all,1,H
18,1500,2800,1500,2800,1500,2800,3,100,FR,all,1,H
19,1500,2600,1600,2600,1600,2600,3,100,FR,all,1,H
20,1500,2800,1500,2800,1500,2800,3,100,FR,all,1,H
21,1500,2800,1500,2700,1500,2700,3,100,FR,all,1,H
22,1500,3100,1500,3000,1500,3000,3,100,FR,all,1,H
23,2200,3700,2600,3600,2600,3600,3,100,FR,all,1,H
24,1500,2300,1800,2100,1800,2100,3,100,FR,all,1,H
25,2500,3700,2500,3600,2500,3600,3,100,FR,all,1,H
26,1500,3700,1500,3700,1500,3700,3,100,FR,all,1,H
27,3100,3100,NA,NA,NA,NA,3,100,FR,all,1,H
28,1500,2800,1500,2800,1500,2800,3,100,FR,all,1,H
29,2200,2900,2200,2900,2200,2900,3,100,FR,all,1,H
30,2600,3700,2600,3600,2600,3600,3,100,FR,all,1,H
31,2600,3100,2700,2900,2700,2900,3,100,FR,all,1,H
32,1600,3300,1700,3300,1700,3300,3,100,FR,all,1,H
33,1500,2800,1600,2800,1600,2800,3,100,FR,all,1,H
34,1500,2900,1600,2600,1500,2700,3,100,FR,all,1,H
35,1600,2800,1800,2800,1800,2800,3,100,FR,all,1,H
36,2400,3700,2600,3400,2600,3400,3,100,FR,all,1,H
37,1500,2700,1600,2600,1600,2600,3,100,FR,all,1,H
1,1500,2900,1700,2900,1700,2900,4,100,FR,all,1,H
2,2000,3500,2200,3400,2200,3400,4,100,FR,all,1,H
3,2200,3100,2300,3100,2300,3100,4,100,FR,all,1,H
4,1500,2800,1600,2800,1600,2800,4,100,FR,all,1,H
5,NA,NA,NA,NA,NA,NA,4,100,FR,all,1,H
6,1500,2800,1600,2800,1600,2800,4,100,FR,all,1,H
7,2400,3600,2500,3500,2500,3500,4,100,FR,all,1,H
8,1500,2900,1500,2900,1500,2900,4,100,FR,all,1,H
9,1500,2900,1500,2900,1500,2900,4,100,FR,all,1,H
10,2100,3600,2200,3500,2200,3500,4,100,FR,all,1,H
11,1600,2500,1600,2500,1600,2500,4,100,FR,all,1,H
12,2100,3600,2100,3500,2100,3500,4,100,FR,all,1,H
13,1800,3400,1900,3400,1900,3400,4,100,FR,all,1,H
14,1600,3200,1700,3200,1700,3200,4,100,FR,all,1,H
15,2100,2700,2200,2500,2200,2500,4,100,FR,all,1,H
16,1900,2800,2000,2700,2000,2700,4,100,FR,all,1,H
17,2100,3700,2200,3700,2200,3700,4,100,FR,all,1,H
18,1500,2800,1500,2800,1500,2800,4,100,FR,all,1,H
19,1500,2600,1500,2600,1500,2600,4,100,FR,all,1,H
20,1500,2800,1500,2800,1500,2800,4,100,FR,all,1,H
21,1500,2800,1600,2700,1600,2700,4,100,FR,all,1,H
22,1500,3100,1500,3000,1500,3000,4,100,FR,all,1,H
23,2200,3700,2600,3600,2600,3600,4,100,FR,all,1,H
24,1500,2300,1800,1900,1800,1900,4,100,FR,all,1,H
25,2500,3700,2500,3600,2500,3600,4,100,FR,all,1,H
26,1500,3700,1500,3700,1500,3700,4,100,FR,all,1,H
27,3100,3100,NA,NA,NA,NA,4,100,FR,all,1,H
28,1500,2800,1600,2800,1600,2800,4,100,FR,all,1,H
29,2200,2900,2200,2900,2200,2900,4,100,FR,all,1,H
30,2600,3700,2600,3500,2600,3500,4,100,FR,all,1,H
31,2600,3100,2700,2900,2700,2900,4,100,FR,all,1,H
32,1600,3300,1700,3300,1700,3300,4,100,FR,all,1,H
33,1500,2800,1500,2800,1500,2800,4,100,FR,all,1,H
34,1500,2900,1600,2800,1500,2800,4,100,FR,all,1,H
35,1600,2800,1800,2800,1800,2800,4,100,FR,all,1,H
36,2400,3700,2600,3700,2500,3700,4,100,FR,all,1,H
37,1500,2700,1600,2600,1600,2600,4,100,FR,all,1,H
1,1500,2900,1600,2900,1500,3000,5,100,FR,all,1,H
2,2000,3500,2100,3400,2000,3500,5,100,FR,all,1,H
3,2200,3100,2300,3000,2300,3000,5,100,FR,all,1,H
4,1500,2800,1500,2800,1500,2800,5,100,FR,all,1,H
5,NA,NA,NA,NA,NA,NA,5,100,FR,all,1,H
6,1500,2800,1500,2800,1500,2800,5,100,FR,all,1,H
7,2400,3600,2500,3500,2500,3500,5,100,FR,all,1,H
8,1500,2900,1500,2900,1500,2900,5,100,FR,all,1,H
9,1500,2900,1500,2900,1500,2900,5,100,FR,all,1,H
10,2100,3600,2200,3500,2200,3500,5,100,FR,all,1,H
11,1600,2500,1600,2500,1600,2500,5,100,FR,all,1,H
12,2100,3600,2100,3500,2100,3500,5,100,FR,all,1,H
13,1800,3400,1900,3400,1900,3400,5,100,FR,all,1,H
14,1600,3200,1700,3200,1700,3200,5,100,FR,all,1,H
15,2100,2700,2200,2500,2200,2500,5,100,FR,all,1,H
16,1900,2800,2000,2800,2000,2800,5,100,FR,all,1,H
17,2100,3700,2200,3700,2200,3700,5,100,FR,all,1,H
18,1500,2800,1600,2800,1600,2800,5,100,FR,all,1,H
19,1500,2600,1500,2600,1500,2600,5,100,FR,all,1,H
20,1500,2800,1600,2800,1600,2800,5,100,FR,all,1,H
21,1500,2800,1500,2700,1500,2700,5,100,FR,all,1,H
22,1500,3100,1500,3000,1500,3000,5,100,FR,all,1,H
23,2200,3700,2500,3600,2500,3600,5,100,FR,all,1,H
24,1500,2300,1800,1900,1800,1900,5,100,FR,all,1,H
25,2500,3700,2500,3500,2500,3500,5,100,FR,all,1,H
26,1500,3700,1500,3700,1500,3700,5,100,FR,all,1,H
