spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2400,2800,NA,NA,NA,NA,1,100,SJ,all,2,H
2,1600,3700,1800,3700,1800,3700,1,100,SJ,all,2,H
3,2100,3700,2200,3700,2100,3700,1,100,SJ,all,2,H
4,1500,2700,1500,2700,1500,2800,1,100,SJ,all,2,H
5,1800,2700,1900,2600,1900,2600,1,100,SJ,all,2,H
6,2300,3700,2400,3700,2400,3700,1,100,SJ,all,2,H
7,1500,3000,1500,2900,1500,3000,1,100,SJ,all,2,H
8,1900,3200,NA,NA,3000,3600,1,100,SJ,all,2,H
9,2400,3700,2400,2900,2300,3000,1,100,SJ,all,2,H
10,2000,3200,2100,2900,2000,3000,1,100,SJ,all,2,H
11,2200,3700,2200,3500,2200,3600,1,100,SJ,all,2,H
12,1500,2700,1500,2600,1500,2700,1,100,SJ,all,2,H
13,2400,3700,2400,2900,2400,3000,1,100,SJ,all,2,H
14,2300,3700,2400,3700,2400,3700,1,100,SJ,all,2,H
15,1500,3700,1500,2900,1500,3000,1,100,SJ,all,2,H
16,1500,2700,1500,2600,1500,2700,1,100,SJ,all,2,H
17,1500,2700,1500,2600,1500,2700,1,100,SJ,all,2,H
18,1500,2900,1600,2900,1500,3000,1,100,SJ,all,2,H
19,1500,2800,1500,2800,1500,2800,1,100,SJ,all,2,H
20,1500,3300,1500,3200,1500,3300,1,100,SJ,all,2,H
21,2200,3700,2200,3700,2200,3700,1,100,SJ,all,2,H
22,1500,3100,1500,3000,1500,3100,1,100,SJ,all,2,H
23,1500,2900,1500,2700,1500,2800,1,100,SJ,all,2,H
24,1500,2900,1500,2900,1500,3000,1,100,SJ,all,2,H
25,2300,3700,2400,3700,2400,3700,1,100,SJ,all,2,H
26,1500,2800,1500,2600,1500,2700,1,100,SJ,all,2,H
27,1900,3000,1900,2900,1800,3000,1,100,SJ,all,2,H
28,1500,2800,1500,2400,1500,2500,1,100,SJ,all,2,H
29,2400,3300,2400,3100,2400,3100,1,100,SJ,all,2,H
30,1500,3000,1500,2900,1500,3000,1,100,SJ,all,2,H
1,2400,2800,NA,NA,1800,3600,2,100,SJ,all,2,H
2,1600,3700,1800,3700,1800,3700,2,100,SJ,all,2,H
3,2100,3700,2200,2200,2200,2200,2,100,SJ,all,2,H
4,1500,2700,1500,2500,1500,2500,2,100,SJ,all,2,H
5,1800,2700,1800,2600,1800,2600,2,100,SJ,all,2,H
6,2300,3700,2400,3700,2400,3700,2,100,SJ,all,2,H
7,1500,3000,1500,2900,1500,3000,2,100,SJ,all,2,H
8,1900,3200,2400,2400,2400,2400,2,100,SJ,all,2,H
9,2400,3700,2400,2600,2400,2700,2,100,SJ,all,2,H
10,2000,3200,2100,3100,2100,3200,2,100,SJ,all,2,H
11,2200,3700,2200,3700,2200,3700,2,100,SJ,all,2,H
12,1500,2700,1500,2400,1500,2400,2,100,SJ,all,2,H
13,2400,3700,2500,2900,2500,3000,2,100,SJ,all,2,H
14,2300,3700,2400,3700,2400,3700,2,100,SJ,all,2,H
15,1500,3700,2200,3700,2100,3700,2,100,SJ,all,2,H
16,1500,2700,1500,2600,1500,2700,2,100,SJ,all,2,H
17,1500,2700,1500,2600,1500,2700,2,100,SJ,all,2,H
18,1500,2900,1500,2900,1500,3000,2,100,SJ,all,2,H
19,1500,2800,1500,2700,1500,2800,2,100,SJ,all,2,H
20,1500,3300,1500,3200,1500,3300,2,100,SJ,all,2,H
21,2200,3700,2200,3700,2200,3700,2,100,SJ,all,2,H
22,1500,3100,1500,2900,1500,3000,2,100,SJ,all,2,H
23,1500,2900,1500,2700,1500,2800,2,100,SJ,all,2,H
24,1500,2900,1500,2900,1500,3000,2,100,SJ,all,2,H
25,2300,3700,2400,3700,2400,3700,2,100,SJ,all,2,H
26,1500,2800,1500,2700,1500,2800,2,100,SJ,all,2,H
27,1900,3000,1900,2900,1900,3000,2,100,SJ,all,2,H
28,1500,2800,1500,2600,1500,2700,2,100,SJ,all,2,H
29,2400,3300,2400,2900,2400,3000,2,100,SJ,all,2,H
30,1500,3000,1500,2900,1500,3000,2,100,SJ,all,2,H
1,2400,2800,NA,NA,1800,3600,3,100,SJ,all,2,H
2,1600,3700,1800,3700,1800,3700,3,100,SJ,all,2,H
3,2100,3700,2200,3700,2200,3700,3,100,SJ,all,2,H
4,1500,2700,1500,2700,1500,2800,3,100,SJ,all,2,H
5,1800,2700,1800,2600,1800,2600,3,100,SJ,all,2,H
6,2300,3700,2400,3700,2400,3700,3,100,SJ,all,2,H
7,1500,3000,1500,2900,1500,3000,3,100,SJ,all,2,H
8,1900,3200,2200,2200,2200,2200,3,100,SJ,all,2,H
9,2400,3700,2700,3400,2600,3500,3,100,SJ,all,2,H
10,2000,3200,2100,3100,2100,3100,3,100,SJ,all,2,H
11,2200,3700,2200,3700,2200,3700,3,100,SJ,all,2,H
12,1500,2700,1500,2600,1500,2700,3,100,SJ,all,2,H
13,2400,3700,2400,3500,2300,3600,3,100,SJ,all,2,H
14,2300,3700,2400,3700,2400,3700,3,100,SJ,all,2,H
15,1500,3700,1600,2900,1500,3000,3,100,SJ,all,2,H
16,1500,2700,1500,2600,1500,2700,3,100,SJ,all,2,H
17,1500,2700,1500,2600,1500,2600,3,100,SJ,all,2,H
18,1500,2900,1500,2900,1500,3000,3,100,SJ,all,2,H
19,1500,2800,1500,2700,1500,2800,3,100,SJ,all,2,H
20,1500,3300,1500,3200,1500,3300,3,100,SJ,all,2,H
21,2200,3700,2200,3700,2200,3700,3,100,SJ,all,2,H
22,1500,3100,1500,2900,1500,3000,3,100,SJ,all,2,H
23,1500,2900,1500,2600,1500,2700,3,100,SJ,all,2,H
24,1500,2900,1500,2900,1500,3000,3,100,SJ,all,2,H
25,2300,3700,2400,3700,2400,3700,3,100,SJ,all,2,H
26,1500,2800,1500,2600,1500,2700,3,100,SJ,all,2,H
27,1900,3000,1900,2900,1900,3000,3,100,SJ,all,2,H
28,1500,2800,1500,2600,1500,2700,3,100,SJ,all,2,H
