spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2200,3100,2500,2800,2500,2800,1,100,SJ,all,1,C
2,1800,3600,2100,3600,2000,3600,1,100,SJ,all,1,C
3,2500,3400,2500,3200,2500,3200,1,100,SJ,all,1,C
4,1500,2800,1500,2800,1500,2800,1,100,SJ,all,1,C
5,2100,3600,2100,3600,2100,3600,1,100,SJ,all,1,C
6,2400,3600,2400,3600,2400,3600,1,100,SJ,all,1,C
7,1800,2300,1900,2300,1900,2300,1,100,SJ,all,1,C
8,1500,2700,1500,2600,1500,2600,1,100,SJ,all,1,C
9,2300,3600,2300,3600,2300,3600,1,100,SJ,all,1,C
10,2400,3300,2600,3300,2600,3300,1,100,SJ,all,1,C
11,2500,3600,2700,3600,2700,3600,1,100,SJ,all,1,C
12,2400,2600,NA,NA,1700,1700,1,100,SJ,all,1,C
13,2000,3600,2000,3600,2000,3600,1,100,SJ,all,1,C
14,2100,3600,2100,3600,2100,3600,1,100,SJ,all,1,C
15,1500,2500,1600,2400,1600,2400,1,100,SJ,all,1,C
16,1500,3600,1500,3600,1500,3600,1,100,SJ,all,1,C
17,2200,3600,2200,3600,2200,3600,1,100,SJ,all,1,C
18,1500,2700,1500,2700,1500,2700,1,100,SJ,all,1,C
19,1500,2600,1500,2600,1500,2600,1,100,SJ,all,1,C
20,1700,3000,1800,2900,1800,2900,1,100,SJ,all,1,C
21,1500,2600,1600,2600,1600,2700,1,100,SJ,all,1,C
22,1500,2900,1500,2900,1500,2900,1,100,SJ,all,1,C
23,1900,2700,2000,2600,2000,2600,1,100,SJ,all,1,C
24,1500,3000,1500,3000,1500,3000,1,100,SJ,all,1,C
25,1500,2400,1500,2300,1500,2300,1,100,SJ,all,1,C
26,1500,3400,1500,3400,1500,3400,1,100,SJ,all,1,C
27,1500,3600,1500,3500,1500,3500,1,100,SJ,all,1,C
28,1500,2300,1500,2200,1500,2200,1,100,SJ,all,1,C
29,1500,2600,1500,2500,1500,2500,1,100,SJ,all,1,C
30,1500,2600,1800,1800,1700,1800,1,100,SJ,all,1,C
1,2200,3100,2200,2800,2200,2800,2,100,SJ,all,1,C
2,1800,3600,2100,3600,2000,3600,2,100,SJ,all,1,C
3,2500,3400,2500,3100,2500,3100,2,100,SJ,all,1,C
4,1500,2800,1500,2800,1500,2800,2,100,SJ,all,1,C
5,2100,3600,2100,3600,2100,3600,2,100,SJ,all,1,C
6,2400,3600,2400,3600,2400,3600,2,100,SJ,all,1,C
7,1800,2300,1800,2300,1800,2300,2,100,SJ,all,1,C
8,1500,2700,1500,2600,1500,2600,2,100,SJ,all,1,C
9,2300,3600,2300,3600,2300,3600,2,100,SJ,all,1,C
10,2400,3300,2600,3300,2600,3300,2,100,SJ,all,1,C
11,2500,3600,2600,3600,2600,3600,2,100,SJ,all,1,C
12,2400,2600,NA,NA,1700,1700,2,100,SJ,all,1,C
13,2000,3600,2000,3600,2000,3600,2,100,SJ,all,1,C
14,2100,3600,2100,3600,2100,3600,2,100,SJ,all,1,C
15,1500,2500,1500,2500,1500,2500,2,100,SJ,all,1,C
16,1500,3600,1500,3600,1500,3600,2,100,SJ,all,1,C
17,2200,3600,2300,3600,2300,3600,2,100,SJ,all,1,C
18,1500,2700,1500,2700,1500,2700,2,100,SJ,all,1,C
19,1500,2600,1500,2600,1500,2600,2,100,SJ,all,1,C
20,1700,3000,1800,2900,1800,2900,2,100,SJ,all,1,C
21,1500,2600,1500,2600,1500,2700,2,100,SJ,all,1,C
22,1500,2900,1500,2900,1500,2900,2,100,SJ,all,1,C
23,1900,2700,1900,2600,1900,2600,2,100,SJ,all,1,C
24,1500,3000,1500,3000,1500,3000,2,100,SJ,all,1,C
25,1500,2400,1500,2400,1500,2400,2,100,SJ,all,1,C
26,1500,3400,1500,3400,1500,3400,2,100,SJ,all,1,C
27,1500,3600,1500,3400,1500,3400,2,100,SJ,all,1,C
28,1500,2300,1500,2200,1500,2200,2,100,SJ,all,1,C
29,1500,2600,1500,2600,1500,2700,2,100,SJ,all,1,C
30,1500,2600,1600,2600,1500,2700,2,100,SJ,all,1,C
1,2200,3100,2500,2800,2500,2800,3,100,SJ,all,1,C
2,1800,3600,2200,3600,2100,3600,3,100,SJ,all,1,C
3,2500,3400,2500,3400,2500,3400,3,100,SJ,all,1,C
4,1500,2800,1500,2800,1500,2800,3,100,SJ,all,1,C
5,2100,3600,2100,3600,2100,3600,3,100,SJ,all,1,C
