spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2350,3100,NA,NA,NA,NA,1,50,SJ,all,1,H
2,1450,2700,1650,2600,1550,2700,1,50,SJ,all,1,H
3,1450,3000,1650,2850,1600,2900,1,50,SJ,all,1,H
4,1450,3050,1450,2850,1450,2900,1,50,SJ,all,1,H
5,1550,2500,1650,2350,1600,2400,1,50,SJ,all,1,H
6,1450,2600,1450,2600,1450,2650,1,50,SJ,all,1,H
7,3250,3250,NA,NA,NA,NA,1,50,SJ,all,1,H
8,1450,3700,1450,3700,1450,3700,1,50,SJ,all,1,H
9,2375,2850,2550,2850,2450,2950,1,50,SJ,all,1,H
10,2350,3700,2450,3700,2400,3700,1,50,SJ,all,1,H
11,1700,2650,1750,2600,1700,2650,1,50,SJ,all,1,H
12,2000,3700,2050,3700,2000,3700,1,50,SJ,all,1,H
13,1850,3400,1850,3050,1750,3150,1,50,SJ,all,1,H
14,1750,3300,2100,2850,2000,2950,1,50,SJ,all,1,H
15,1450,2550,1500,2350,1450,2400,1,50,SJ,all,1,H
16,1950,2800,2000,2600,1950,2650,1,50,SJ,all,1,H
17,1450,2700,NA,NA,NA,NA,1,50,SJ,all,1,H
18,1450,2750,1450,2350,1450,2450,1,50,SJ,all,1,H
19,1600,2900,1650,2600,1600,2650,1,50,SJ,all,1,H
20,2650,3700,2700,3450,2600,3550,1,50,SJ,all,1,H
21,1950,2700,2150,2500,2100,2550,1,50,SJ,all,1,H
22,2100,3050,2250,2900,2200,2950,1,50,SJ,all,1,H
23,1450,2800,1450,2750,1450,2800,1,50,SJ,all,1,H
24,2500,2700,NA,NA,NA,NA,1,50,SJ,all,1,H
25,1450,2750,2100,2400,2050,2450,1,50,SJ,all,1,H
26,2350,3700,NA,NA,NA,NA,1,50,SJ,all,1,H
27,2050,3050,2400,2850,2300,2950,1,50,SJ,all,1,H
28,1450,2700,1450,2700,1450,2750,1,50,SJ,all,1,H
29,1450,2900,1450,2900,1450,3000,1,50,SJ,all,1,H
30,2250,2250,NA,NA,NA,NA,1,50,SJ,all,1,H
1,2350,3100,2350,2350,2300,2400,2,50,SJ,all,1,H
2,1450,2700,1450,2350,1450,2500,2,50,SJ,all,1,H
3,1450,3000,1600,2850,1550,2900,2,50,SJ,all,1,H
4,1450,3050,1450,2900,1450,3000,2,50,SJ,all,1,H
5,1550,2500,1650,2450,1600,2500,2,50,SJ,all,1,H
6,1450,2600,1450,2600,1450,2650,2,50,SJ,all,1,H
7,3250,3250,NA,NA,NA,NA,2,50,SJ,all,1,H
8,1450,3700,1450,3700,1450,3700,2,50,SJ,all,1,H
9,2375,2850,2550,2850,2450,2950,2,50,SJ,all,1,H
10,2350,3700,2450,3700,2400,3700,2,50,SJ,all,1,H
11,1700,2650,1750,2600,1650,2700,2,50,SJ,all,1,H
12,2000,3700,2100,3700,2000,3700,2,50,SJ,all,1,H
13,1850,3400,1850,3050,1750,3150,2,50,SJ,all,1,H
14,1750,3300,2150,2850,2050,2950,2,50,SJ,all,1,H
15,1450,2550,1600,2450,1500,2550,2,50,SJ,all,1,H
16,1950,2800,2050,2700,2000,2800,2,50,SJ,all,1,H
17,1450,2700,1450,1450,1450,1500,2,50,SJ,all,1,H
18,1450,2750,1450,2600,1450,2700,2,50,SJ,all,1,H
19,1600,2900,1650,2600,1600,2650,2,50,SJ,all,1,H
20,2650,3700,2700,3700,2600,3700,2,50,SJ,all,1,H
21,1950,2700,2100,2350,2000,2450,2,50,SJ,all,1,H
22,2100,3050,2250,3000,2200,3050,2,50,SJ,all,1,H
23,1450,2800,1450,2750,1450,2800,2,50,SJ,all,1,H
24,2500,2700,NA,NA,NA,NA,2,50,SJ,all,1,H
25,1450,2750,1450,2700,1450,2800,2,50,SJ,all,1,H
26,2350,3700,NA,NA,NA,NA,2,50,SJ,all,1,H
27,2050,3050,2850,2850,2800,2900,2,50,SJ,all,1,H
28,1450,2700,1450,2700,1450,2800,2,50,SJ,all,1,H
29,1450,2900,1450,2900,1450,3000,2,50,SJ,all,1,H
30,2250,2250,NA,NA,NA,NA,2,50,SJ,all,1,H
1,2350,3100,2350,3000,2200,3100,3,50,SJ,all,1,H
2,1450,2700,2100,2600,2000,2700,3,50,SJ,all,1,H
3,1450,3000,1650,2850,1600,2900,3,50,SJ,all,1,H
4,1450,3050,1450,2850,1450,2900,3,50,SJ,all,1,H
5,1550,2500,1650,2350,1600,2400,3,50,SJ,all,1,H
6,1450,2600,1450,2600,1450,2650,3,50,SJ,all,1,H
7,3250,3250,NA,NA,NA,NA,3,50,SJ,all,1,H
8,1450,3700,1450,3700,1450,3700,3,50,SJ,all,1,H
9,2375,2850,2550,2550,2500,2600,3,50,SJ,all,1,H
10,2350,3700,2400,3700,2350,3700,3,50,SJ,all,1,H
11,1700,2650,1850,2600,1800,2650,3,50,SJ,all,1,H
12,2000,3700,2050,3700,2000,3700,3,50,SJ,all,1,H
13,1850,3400,1850,3350,1750,3450,3,50,SJ,all,1,H
14,1750,3300,1900,2850,1800,2950,3,50,SJ,all,1,H
15,1450,2550,1650,2450,1550,2550,3,50,SJ,all,1,H
16,1950,2800,2100,2600,2050,2650,3,50,SJ,all,1,H
17,1450,2700,2100,2100,2050,2100,3,50,SJ,all,1,H
18,1450,2750,1450,2600,1450,2700,3,50,SJ,all,1,H
19,1600,2900,1650,2600,1600,2650,3,50,SJ,all,1,H
20,2650,3700,2700,3700,2600,3700,3,50,SJ,all,1,H
21,1950,2700,2100,2400,2050,2450,3,50,SJ,all,1,H
22,2100,3050,2250,2900,2200,2950,3,50,SJ,all,1,H
23,1450,2800,1450,2700,1450,2750,3,50,SJ,all,1,H
24,2500,2700,NA,NA,NA,NA,3,50,SJ,all,1,H
25,1450,2750,1450,2350,1450,2450,3,50,SJ,all,1,H
26,2350,3700,NA,NA,NA,NA,3,50,SJ,all,1,H
27,2050,3050,2750,2850,2700,2900,3,50,SJ,all,1,H
28,1450,2700,1450,2600,1450,2700,3,50,SJ,all,1,H
29,1450,2900,1450,2900,1450,3000,3,50,SJ,all,1,H
30,2250,2250,NA,NA,NA,NA,3,50,SJ,all,1,H
1,2350,3100,2350,2350,2350,2400,4,50,SJ,all,1,H
2,1450,2700,1450,2600,1450,2750,4,50,SJ,all,1,H
3,1450,3000,1600,2850,1550,2900,4,50,SJ,all,1,H
4,1450,3050,1450,2850,1450,2900,4,50,SJ,all,1,H
5,1550,2500,1650,2350,1600,2400,4,50,SJ,all,1,H
6,1450,2600,1450,2500,1450,2550,4,50,SJ,all,1,H
7,3250,3250,NA,NA,NA,NA,4,50,SJ,all,1,H
