spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2100,2800,2500,2500,2500,2500,1,100,SJ,all,0.5,H
2,1500,2600,1500,2400,1500,2500,1,100,SJ,all,0.5,H
3,1500,3100,1500,2900,1500,3000,1,100,SJ,all,0.5,H
4,1700,2900,1800,2600,1800,2700,1,100,SJ,all,0.5,H
5,1500,2900,1500,2900,1500,3000,1,100,SJ,all,0.5,H
6,1500,2900,1500,2900,1500,3000,1,100,SJ,all,0.5,H
7,2200,3000,2200,2900,2200,3000,1,100,SJ,all,0.5,H
8,1800,3700,1900,3700,1800,3700,1,100,SJ,all,0.5,H
9,NA,NA,NA,NA,1600,3600,1,100,SJ,all,0.5,H
10,1500,2700,1500,2400,1500,2500,1,100,SJ,all,0.5,H
11,1500,3000,1900,2400,1800,2500,1,100,SJ,all,0.5,H
12,1500,2600,1500,2400,1500,2500,1,100,SJ,all,0.5,H
13,1500,3000,1600,2900,1500,3000,1,100,SJ,all,0.5,H
14,1500,3100,1800,2900,1700,3000,1,100,SJ,all,0.5,H
15,1500,2700,1500,2400,1500,2500,1,100,SJ,all,0.5,H
16,2200,3700,2200,3700,2100,3700,1,100,SJ,all,0.5,H
17,1700,3100,1700,2900,1600,3000,1,100,SJ,all,0.5,H
18,1500,2900,1500,2600,1500,2700,1,100,SJ,all,0.5,H
19,1500,2700,1500,2600,1500,2700,1,100,SJ,all,0.5,H
20,2100,2300,2100,2100,2100,2100,1,100,SJ,all,0.5,H
21,2000,3400,2200,3400,2100,3500,1,100,SJ,all,0.5,H
22,1500,2800,1500,2400,1500,2500,1,100,SJ,all,0.5,H
23,2300,3700,2400,3700,2300,3700,1,100,SJ,all,0.5,H
24,1800,3200,1900,2900,1800,3000,1,100,SJ,all,0.5,H
25,2100,3700,2900,3500,2800,3600,1,100,SJ,all,0.5,H
26,1500,3200,1500,3100,1500,3200,1,100,SJ,all,0.5,H
27,1500,3600,1700,3500,1600,3600,1,100,SJ,all,0.5,H
28,1900,2700,2100,2500,2000,2500,1,100,SJ,all,0.5,H
29,1500,2800,1700,2700,1600,2800,1,100,SJ,all,0.5,H
30,NA,NA,NA,NA,1500,3600,1,100,SJ,all,0.5,H
1,2100,2800,2100,2500,2000,2600,2,100,SJ,all,0.5,H
2,1500,2600,1600,2400,1500,2500,2,100,SJ,all,0.5,H
3,1500,3100,1500,2900,1500,3000,2,100,SJ,all,0.5,H
4,1700,2900,1800,2700,1800,2800,2,100,SJ,all,0.5,H
5,1500,2900,1500,2900,1500,3000,2,100,SJ,all,0.5,H
6,1500,2900,1500,2900,1500,3000,2,100,SJ,all,0.5,H
7,2200,3000,2200,2900,2100,3000,2,100,SJ,all,0.5,H
8,1800,3700,1900,3700,1800,3700,2,100,SJ,all,0.5,H
9,NA,NA,NA,NA,2800,3600,2,100,SJ,all,0.5,H
10,1500,2700,1500,2500,1500,2600,2,100,SJ,all,0.5,H
11,1500,3000,NA,NA,1600,3600,2,100,SJ,all,0.5,H
12,1500,2600,1600,2500,1600,2500,2,100,SJ,all,0.5,H
