spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,2100,3750,2150,3750,2100,3750,1,50,FR,all,0.5,C
2,2300,3750,2450,3750,2400,3750,1,50,FR,all,0.5,C
3,2400,3550,2500,3500,2400,3600,1,50,FR,all,0.5,C
4,1550,2850,1650,2750,1550,2800,1,50,FR,all,0.5,C
5,1550,3000,1700,3000,1600,3050,1,50,FR,all,0.5,C
6,2500,2650,NA,NA,NA,NA,1,50,FR,all,0.5,C
7,2050,3100,2250,3000,2250,3000,1,50,FR,all,0.5,C
8,1950,3050,2100,3050,2050,3050,1,50,FR,all,0.5,C
9,1650,2900,1650,2800,1600,2800,1,50,FR,all,0.5,C
10,2350,3100,2850,3050,2800,3050,1,50,FR,all,0.5,C
11,1550,2700,1600,1850,1550,1950,1,50,FR,all,0.5,C
12,1550,2650,1550,2500,1550,2550,1,50,FR,all,0.5,C
13,2300,3750,2400,3750,2350,3750,1,50,FR,all,0.5,C
14,1550,2800,1650,2750,1600,2750,1,50,FR,all,0.5,C
15,1550,2750,1600,2450,1550,2500,1,50,FR,all,0.5,C
16,2250,3650,2450,3500,2400,3550,1,50,FR,all,0.5,C
17,1650,3000,1750,3000,1750,3000,1,50,FR,all,0.5,C
18,1800,2650,1800,2450,1800,2500,1,50,FR,all,0.5,C
19,2700,3200,NA,NA,NA,NA,1,50,FR,all,0.5,C
20,1550,2750,1550,2750,1550,2800,1,50,FR,all,0.5,C
21,1550,3050,1550,2950,1550,3000,1,50,FR,all,0.5,C
22,1900,2650,1950,2500,1900,2550,1,50,FR,all,0.5,C
23,1550,2700,1550,2450,1550,2500,1,50,FR,all,0.5,C
24,1550,3050,1700,3050,1650,3100,1,50,FR,all,0.5,C
25,1550,2850,1550,2850,1550,2900,1,50,FR,all,0.5,C
26,2600,3750,2600,3750,2550,3750,1,50,FR,all,0.5,C
27,1550,2700,1550,2450,1550,2500,1,50,FR,all,0.5,C
28,2150,2700,NA,NA,NA,NA,1,50,FR,all,0.5,C
29,2100,3600,2150,3500,2100,3550,1,50,FR,all,0.5,C
30,2850,3750,2850,3750,2800,3750,1,50,FR,all,0.5,C
31,1550,2800,1550,2650,1550,2750,1,50,FR,all,0.5,C
1,2100,3750,2100,3750,2050,3750,2,50,FR,all,0.5,C
2,2300,3750,2450,3750,2400,3750,2,50,FR,all,0.5,C
