spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1600,2700,1600,2700,1600,2700,1,100,FR,all,2,C
2,2500,3400,2500,3400,2500,3400,1,100,FR,all,2,C
3,1600,2700,1600,2700,1600,2700,1,100,FR,all,2,C
4,1700,3300,1800,3200,1800,3200,1,100,FR,all,2,C
5,1600,3700,1600,3700,1600,3700,1,100,FR,all,2,C
6,2600,3300,2600,3300,2600,3300,1,100,FR,all,2,C
7,2000,3200,2000,3200,2000,3200,1,100,FR,all,2,C
8,1600,3100,1600,3000,1600,3000,1,100,FR,all,2,C
9,1800,3000,1900,3000,1900,3000,1,100,FR,all,2,C
10,1600,2900,1600,2800,1600,2800,1,100,FR,all,2,C
11,1600,3000,1600,2800,1600,2800,1,100,FR,all,2,C
12,2700,3700,2700,3700,2700,3700,1,100,FR,all,2,C
13,1600,2900,1600,2900,1600,2900,1,100,FR,all,2,C
14,1800,3000,1800,3000,1800,3000,1,100,FR,all,2,C
15,1600,2800,1700,2800,1700,2800,1,100,FR,all,2,C
16,2000,2900,2000,2700,2000,2700,1,100,FR,all,2,C
17,1600,2700,1600,2700,1600,2700,1,100,FR,all,2,C
18,1800,2800,1800,2800,1800,2800,1,100,FR,all,2,C
19,1600,2800,1600,2800,1600,2800,1,100,FR,all,2,C
20,1600,2900,1700,2900,1700,2900,1,100,FR,all,2,C
21,1700,2900,1700,2900,1700,2900,1,100,FR,all,2,C
22,1600,3100,1600,3100,1600,3100,1,100,FR,all,2,C
23,2200,3200,2200,3200,2200,3200,1,100,FR,all,2,C
24,1600,3000,1600,3000,1600,3000,1,100,FR,all,2,C
25,1800,2800,1800,2700,1800,2700,1,100,FR,all,2,C
26,2200,2800,2500,2700,2500,2700,1,100,FR,all,2,C
27,1600,2700,1600,2500,1600,2500,1,100,FR,all,2,C
28,2100,2600,2300,2500,2300,2500,1,100,FR,all,2,C
29,1900,2900,2000,2900,2000,2900,1,100,FR,all,2,C
30,2200,3800,2400,3800,2400,3800,1,100,FR,all,2,C
31,1600,2900,1600,2900,1600,2900,1,100,FR,all,2,C
1,1600,2700,1700,2700,1700,2700,2,100,FR,all,2,C
2,2500,3400,2500,3400,2500,3400,2,100,FR,all,2,C
3,1600,2700,1600,2600,1600,2600,2,100,FR,all,2,C
4,1700,3300,1800,3200,1800,3200,2,100,FR,all,2,C
5,1600,3700,1600,3700,1600,3700,2,100,FR,all,2,C
6,2600,3300,2600,3300,2600,3300,2,100,FR,all,2,C
7,2000,3200,2000,3200,2000,3200,2,100,FR,all,2,C
8,1600,3100,1600,3000,1600,3000,2,100,FR,all,2,C
9,1800,3000,2000,3000,2000,3000,2,100,FR,all,2,C
10,1600,2900,1600,2800,1600,2800,2,100,FR,all,2,C
11,1600,3000,1600,2900,1600,2900,2,100,FR,all,2,C
12,2700,3700,2700,3700,2700,3700,2,100,FR,all,2,C
13,1600,2900,1600,2900,1600,2900,2,100,FR,all,2,C
14,1800,3000,1800,3000,1800,3000,2,100,FR,all,2,C
15,1600,2800,1600,2800,1600,2800,2,100,FR,all,2,C
16,2000,2900,2000,2700,2000,2700,2,100,FR,all,2,C
17,1600,2700,1600,2700,1600,2700,2,100,FR,all,2,C
18,1800,2800,1800,2800,1800,2800,2,100,FR,all,2,C
19,1600,2800,1600,2800,1600,2800,2,100,FR,all,2,C
20,1600,2900,1700,2900,1700,2900,2,100,FR,all,2,C
