spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1500,3500,1650,3150,1600,3200,1,50,FR,all,0.5,H
2,2500,3700,2650,3700,2600,3700,1,50,FR,all,0.5,H
3,2150,3700,2250,3550,2200,3600,1,50,FR,all,0.5,H
4,1500,2650,1500,2600,1500,2650,1,50,FR,all,0.5,H
5,2250,3700,2300,3400,2250,3450,1,50,FR,all,0.5,H
6,1800,2900,2500,2850,2450,2900,1,50,FR,all,0.5,H
7,1500,2750,1500,2700,1500,2700,1,50,FR,all,0.5,H
8,1900,3200,1900,3100,1850,3100,1,50,FR,all,0.5,H
9,1900,3700,2000,3450,1950,3500,1,50,FR,all,0.5,H
10,2250,3000,2300,2900,2250,2950,1,50,FR,all,0.5,H
11,1500,3700,1550,3600,1500,3650,1,50,FR,all,0.5,H
12,1700,2400,1800,2350,1750,2400,1,50,FR,all,0.5,H
13,2100,2850,2150,2800,2100,2800,1,50,FR,all,0.5,H
14,1500,2550,1500,2450,1500,2500,1,50,FR,all,0.5,H
15,1500,3100,1500,2900,1500,2950,1,50,FR,all,0.5,H
16,1500,2950,1500,2900,1500,2950,1,50,FR,all,0.5,H
17,1500,2900,1550,2750,1500,2800,1,50,FR,all,0.5,H
18,2250,3250,2550,3050,2500,3100,1,50,FR,all,0.5,H
19,1900,3300,1900,3150,1900,3200,1,50,FR,all,0.5,H
20,2900,3700,3000,3700,2950,3700,1,50,FR,all,0.5,H
21,1500,2700,1550,2650,1500,2700,1,50,FR,all,0.5,H
22,2350,2750,NA,NA,NA,NA,1,50,FR,all,0.5,H
23,1500,2650,1550,2600,1500,2650,1,50,FR,all,0.5,H
24,1500,2950,1550,2850,1500,2900,1,50,FR,all,0.5,H
25,2150,3000,NA,NA,NA,NA,1,50,FR,all,0.5,H
26,1500,3350,1550,3300,1500,3350,1,50,FR,all,0.5,H
27,2150,2700,NA,NA,NA,NA,1,50,FR,all,0.5,H
28,2000,3350,2150,3050,2100,3100,1,50,FR,all,0.5,H
29,1550,2750,1550,2750,1550,2750,1,50,FR,all,0.5,H
30,2700,2700,NA,NA,NA,NA,1,50,FR,all,0.5,H
31,1500,2500,1700,2500,1700,2500,1,50,FR,all,0.5,H
32,1500,2850,1550,2650,1500,2700,1,50,FR,all,0.5,H
33,1550,2850,1600,2750,1600,2800,1,50,FR,all,0.5,H
34,2500,3700,2600,3650,2600,3700,1,50,FR,all,0.5,H
35,1500,2950,1550,2800,1500,2850,1,50,FR,all,0.5,H
36,1500,2750,1550,2550,1500,2600,1,50,FR,all,0.5,H
37,1650,2900,1850,1850,1800,1900,1,50,FR,all,0.5,H
1,1500,3500,1650,3150,1600,3200,2,50,FR,all,0.5,H
2,2500,3700,2750,3700,2700,3700,2,50,FR,all,0.5,H
3,2150,3700,2250,3550,2200,3600,2,50,FR,all,0.5,H
4,1500,2650,1500,2600,1500,2650,2,50,FR,all,0.5,H
5,2250,3700,2300,3450,2250,3500,2,50,FR,all,0.5,H
6,1800,2900,2150,2650,2100,2700,2,50,FR,all,0.5,H
7,1500,2750,1550,2750,1550,2750,2,50,FR,all,0.5,H
8,1900,3200,2050,3000,2000,3050,2,50,FR,all,0.5,H
9,1900,3700,2000,3700,1950,3700,2,50,FR,all,0.5,H
10,2250,3000,2300,2900,2250,2950,2,50,FR,all,0.5,H
11,1500,3700,1550,3400,1500,3450,2,50,FR,all,0.5,H
12,1700,2400,2050,2350,2000,2400,2,50,FR,all,0.5,H
13,2100,2850,2150,2800,2100,2800,2,50,FR,all,0.5,H
14,1500,2550,1550,2450,1500,2500,2,50,FR,all,0.5,H
15,1500,3100,1500,2900,1500,2950,2,50,FR,all,0.5,H
16,1500,2950,1550,2900,1500,2950,2,50,FR,all,0.5,H
17,1500,2900,1550,2800,1500,2850,2,50,FR,all,0.5,H
18,2250,3250,2550,3100,2500,3150,2,50,FR,all,0.5,H
19,1900,3300,1900,3150,1900,3200,2,50,FR,all,0.5,H
20,2900,3700,3000,3550,2950,3600,2,50,FR,all,0.5,H
21,1500,2700,1550,2650,1500,2700,2,50,FR,all,0.5,H
22,2350,2750,NA,NA,NA,NA,2,50,FR,all,0.5,H
23,1500,2650,1500,2600,1500,2650,2,50,FR,all,0.5,H
24,1500,2950,1550,2850,1500,2850,2,50,FR,all,0.5,H
25,2150,3000,2600,3000,2600,3050,2,50,FR,all,0.5,H
26,1500,3350,1550,3300,1500,3350,2,50,FR,all,0.5,H
27,2150,2700,2300,2400,2250,2450,2,50,FR,all,0.5,H
28,2000,3350,2450,2850,2400,2900,2,50,FR,all,0.5,H
29,1550,2750,1750,2750,1750,2800,2,50,FR,all,0.5,H
30,2700,2700,NA,NA,3200,3200,2,50,FR,all,0.5,H
31,1500,2500,1700,2500,1700,2500,2,50,FR,all,0.5,H
32,1500,2850,1550,2650,1500,2700,2,50,FR,all,0.5,H
33,1550,2850,1600,2800,1600,2850,2,50,FR,all,0.5,H
34,2500,3700,2600,3650,2550,3700,2,50,FR,all,0.5,H
35,1500,2950,1500,2750,1500,2800,2,50,FR,all,0.5,H
36,1500,2750,1550,2600,1500,2650,2,50,FR,all,0.5,H
37,1650,2900,2850,2850,2800,2850,2,50,FR,all,0.5,H
1,1500,3500,1650,3150,1600,3200,3,50,FR,all,0.5,H
2,2500,3700,2700,3700,2650,3700,3,50,FR,all,0.5,H
3,2150,3700,2250,3650,2200,3700,3,50,FR,all,0.5,H
4,1500,2650,1550,2550,1500,2550,3,50,FR,all,0.5,H
5,2250,3700,2300,3500,2250,3550,3,50,FR,all,0.5,H
