bin,Elevation,spp,Abbrev,Y,Ytot,binsAway,distAway,distAway_sc,interpPatchy,spAbund,delta,era,mtn,set
1,1400,1,Mafla,0,0,9,450,-0.1708117464442334,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
2,1450,1,Mafla,0,192,8,400,-0.23781665143870231,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
3,1500,1,Mafla,0,130,7,350,-0.30482155643317127,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
4,1550,1,Mafla,0,1,6,300,-0.3718264614276402,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
5,1600,1,Mafla,0,0,5,250,-0.4388313664221092,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
6,1650,1,Mafla,0,2,4,200,-0.505836271416578,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
7,1700,1,Mafla,0,239,3,150,-0.572841176411047,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
8,1750,1,Mafla,0,154,2,100,-0.639846081405516,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
9,1800,1,Mafla,0,102,1,50,-0.7068509863999849,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
10,1850,1,Mafla,1,2,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
11,1900,1,Mafla,0,1,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
12,1950,1,Mafla,0,101,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
13,2000,1,Mafla,0,33,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
14,2050,1,Mafla,0,84,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
15,2100,1,Mafla,0,16,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
16,2150,1,Mafla,0,57,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
17,2200,1,Mafla,0,208,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
18,2250,1,Mafla,0,78,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
19,2300,1,Mafla,0,259,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
20,2350,1,Mafla,1,213,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
21,2400,1,Mafla,4,50,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
22,2450,1,Mafla,0,121,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
23,2500,1,Mafla,0,174,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
24,2550,1,Mafla,0,282,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
25,2600,1,Mafla,1,19,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
26,2650,1,Mafla,0,0,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
27,2700,1,Mafla,1,3,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
28,2750,1,Mafla,2,65,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
29,2800,1,Mafla,1,3,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
30,2850,1,Mafla,0,142,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
31,2900,1,Mafla,0,54,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
32,2950,1,Mafla,1,2,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
33,3000,1,Mafla,0,81,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
34,3050,1,Mafla,1,39,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
35,3100,1,Mafla,1,2,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
36,3150,1,Mafla,0,14,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
37,3200,1,Mafla,0,194,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
38,3250,1,Mafla,1,271,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
39,3300,1,Mafla,0,4,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
40,3350,1,Mafla,1,131,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
41,3400,1,Mafla,2,178,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
42,3450,1,Mafla,2,29,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
43,3500,1,Mafla,24,267,0,0,-0.7738558913944539,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
44,3550,1,Mafla,0,1,1,50,-0.7068509863999849,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
45,3600,1,Mafla,0,0,2,100,-0.639846081405516,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
46,3650,1,Mafla,0,0,3,150,-0.572841176411047,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
47,3700,1,Mafla,0,0,4,200,-0.505836271416578,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
48,3750,1,Mafla,0,0,5,250,-0.4388313664221092,0.5588235294117647,44,0.2366614650395876,C,SJ,SJ_C
1,1400,2,Necin,0,0,7,350,-0.30482155643317127,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
2,1450,2,Necin,0,192,6,300,-0.3718264614276402,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
3,1500,2,Necin,0,130,5,250,-0.4388313664221092,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
4,1550,2,Necin,0,1,4,200,-0.505836271416578,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
5,1600,2,Necin,0,0,3,150,-0.572841176411047,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
6,1650,2,Necin,0,2,2,100,-0.639846081405516,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
7,1700,2,Necin,0,239,1,50,-0.7068509863999849,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
8,1750,2,Necin,1,154,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
9,1800,2,Necin,0,102,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
10,1850,2,Necin,0,2,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
11,1900,2,Necin,0,1,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
12,1950,2,Necin,0,101,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
13,2000,2,Necin,0,33,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
14,2050,2,Necin,0,84,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
15,2100,2,Necin,0,16,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
16,2150,2,Necin,0,57,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
17,2200,2,Necin,0,208,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
18,2250,2,Necin,0,78,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
19,2300,2,Necin,0,259,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
20,2350,2,Necin,0,213,0,0,-0.7738558913944539,0.8235294117647058,8,0.2827196475075403,C,SJ,SJ_C
