bin,Elevation,spp,Abbrev,Y,Ytot,binsAway,distAway,distAway_sc,interpPatchy,spAbund,delta,era,mtn,set
1,1400,1,Mafla,0,39,18,900,0.40716886481698844,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
2,1450,1,Mafla,0,18,17,850,0.3390133663629982,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
3,1500,1,Mafla,0,11,16,800,0.27085786790900795,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
4,1550,1,Mafla,0,7,15,750,0.2027023694550177,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
5,1600,1,Mafla,0,45,14,700,0.13454687100102747,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
6,1650,1,Mafla,0,0,13,650,0.06639137254703723,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
7,1700,1,Mafla,0,11,12,600,-0.0017641259069530273,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
8,1750,1,Mafla,0,2,11,550,-0.06991962436094327,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
9,1800,1,Mafla,0,32,10,500,-0.13807512281493353,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
10,1850,1,Mafla,0,44,9,450,-0.20623062126892377,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
11,1900,1,Mafla,0,8,8,400,-0.27438611972291405,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
12,1950,1,Mafla,0,24,7,350,-0.34254161817690426,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
13,2000,1,Mafla,0,6,6,300,-0.41069711663089453,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
14,2050,1,Mafla,0,78,5,250,-0.47885261508488475,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
15,2100,1,Mafla,0,365,4,200,-0.547008113538875,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
16,2150,1,Mafla,0,18,3,150,-0.6151636119928653,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
17,2200,1,Mafla,0,23,2,100,-0.6833191104468556,0.7857142857142857,6,0.2366614650395876,H,SJ,SJ_H
